DiseaseID	DiseaseName
DOID:0001816	angiosarcoma
DOID:0002116	pterygium
DOID:0014667	disease of metabolism
DOID:0040007	abacavir allergy
DOID:0040085	bacterial sepsis
DOID:0040086	Polyomavirus-associated nephropathy
DOID:0040088	autoimmune uveitis
DOID:0040089	autoimmune optic neuritis
DOID:0040090	autoimmune gastritis
DOID:0040091	autoimmune pancreatitis
DOID:0040097	autoimmune vasculitis
DOID:0050012	chikungunya
DOID:0050013	obsolete carbohydrate metabolism disease
DOID:0050073	invasive aspergillosis
DOID:0050083	Keshan disease
DOID:0050117	disease by infectious agent
DOID:0050120	hemophagocytic lymphohistiocytosis
DOID:0050127	sinusitis
DOID:0050144	Kartagener syndrome
DOID:0050152	aspiration pneumonia
DOID:0050153	pulmonary aspergilloma
DOID:0050155	sensory system disease
DOID:0050156	idiopathic pulmonary fibrosis
DOID:0050157	cryptogenic organizing pneumonia
DOID:0050158	desquamative interstitial pneumonia
DOID:0050161	lower respiratory tract disease
DOID:0050167	autoimmune polyendocrine syndrome type 1
DOID:0050168	autoimmune polyendocrine syndrome type 2
DOID:0050169	cutaneous lupus erythematosus
DOID:0050175	tick-borne encephalitis
DOID:0050185	erythema multiforme
DOID:0050200	Korean hemorrhagic fever
DOID:0050204	Epstein-Barr virus hepatitis
DOID:0050211	swine influenza
DOID:0050214	Lambert-Eaton myasthenic syndrome
DOID:0050328	congenital hypothyroidism
DOID:0050331	LADD syndrome
DOID:0050332	enlarged vestibular aqueduct
DOID:0050335	bradyopsia
DOID:0050336	hypophosphatemia
DOID:0050338	primary bacterial infectious disease
DOID:0050340	opportunistic bacterial infectious disease
DOID:0050387	nonpapillary renal cell carcinoma
DOID:0050419	complement factor I deficiency
DOID:0050424	familial adenomatous polyposis
DOID:0050425	restless legs syndrome
DOID:0050426	Stevens-Johnson syndrome
DOID:0050427	xeroderma pigmentosum
DOID:0050428	nonepidermolytic palmoplantar keratoderma
DOID:0050429	Hailey-Hailey disease
DOID:0050430	multiple endocrine neoplasia type 2A
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy
DOID:0050432	Asperger syndrome
DOID:0050433	fatal familial insomnia
DOID:0050434	Andersen-Tawil syndrome
DOID:0050436	mulibrey nanism
DOID:0050437	Danon disease
DOID:0050438	Frasier syndrome
DOID:0050439	Usher syndrome
DOID:0050440	familial partial lipodystrophy
DOID:0050441	mucosulfatidosis
DOID:0050444	infantile Refsum disease
DOID:0050445	X-linked dominant hypophosphatemic rickets
DOID:0050448	hereditary mucosal leukokeratosis
DOID:0050449	pachyonychia congenita
DOID:0050450	Gitelman syndrome
DOID:0050452	mevalonic aciduria
DOID:0050453	lissencephaly
DOID:0050454	periventricular nodular heterotopia
DOID:0050456	Buruli ulcer disease
DOID:0050457	Sertoli cell-only syndrome
DOID:0050458	juvenile myelomonocytic leukemia
DOID:0050459	hyperphosphatemia
DOID:0050460	Wolf-Hirschhorn syndrome
DOID:0050461	aspartylglucosaminuria
DOID:0050462	Antley-Bixler syndrome
DOID:0050463	campomelic dysplasia
DOID:0050464	Farber lipogranulomatosis
DOID:0050465	Muir-Torre syndrome
DOID:0050466	Loeys-Dietz syndrome
DOID:0050467	erythrokeratodermia variabilis
DOID:0050469	Costello syndrome
DOID:0050470	Donohue syndrome
DOID:0050471	Carney complex
DOID:0050472	monilethrix
DOID:0050473	Alstrom syndrome
DOID:0050474	Netherton syndrome
DOID:0050475	Weill-Marchesani syndrome
DOID:0050476	Barth syndrome
DOID:0050477	Liddle syndrome
DOID:0050486	exanthem
DOID:0050489	multinodular goiter
DOID:0050523	adult T-cell leukemia
DOID:0050524	maturity-onset diabetes of the young
DOID:0050526	Gamstorp-Wohlfart syndrome
DOID:0050528	nonphotosensitive trichothiodystrophy 4
DOID:0050529	adult spinal muscular atrophy
DOID:0050530	intermediate spinal muscular atrophy
DOID:0050534	congenital stationary night blindness
DOID:0050535	exudative vitreoretinopathy
DOID:0050539	Charcot-Marie-Tooth disease type 2
DOID:0050540	Charcot-Marie-Tooth disease type 3
DOID:0050543	Charcot-Marie-Tooth disease intermediate type
DOID:0050544	hypermethioninemia
DOID:0050545	visceral heterotaxy
DOID:0050546	congenital adrenal insufficiency
DOID:0050547	familial medullary thyroid carcinoma
DOID:0050548	hereditary sensory neuropathy
DOID:0050553	JMP syndrome
DOID:0050554	X-linked sideroblastic anemia with ataxia
DOID:0050557	congenital muscular dystrophy
DOID:0050558	Ullrich congenital muscular dystrophy
DOID:0050559	Fukuyama congenital muscular dystrophy
DOID:0050560	Walker-Warburg syndrome
DOID:0050561	Lennox-Gastaut syndrome
DOID:0050562	West syndrome
DOID:0050563	nonsyndromic deafness
DOID:0050564	autosomal dominant nonsyndromic deafness
DOID:0050565	autosomal recessive nonsyndromic deafness
DOID:0050566	X-linked nonsyndromic deafness
DOID:0050567	orofacial cleft
DOID:0050568	spondylocostal dysostosis
DOID:0050569	Seckel syndrome
