DiseaseID	DiseaseName
DOID:363	uterinecancer
DOID:3371	chondrosarcoma
DOID:9256	colorectalcancer
DOID:0070003	blastoma
DOID:3571	livercancer
DOID:11934	headandneckcancer
DOID:10534	stomachcancer
DOID:1909	melanoma
DOID:10283	prostatecancer
DOID:1793	pancreaticcancer
DOID:3070	malignantglioma
DOID:1324	lungcancer
DOID:3963	thyroidcarcinoma
DOID:3277	thymuscancer
DOID:1612	breastcancer
DOID:263	kidneycancer
DOID:4362	cervicalcancer
DOID:11054	urinarybladdercancer
DOID:1115	sarcoma
DOID:2994	germcellcancer
DOID:2394	ovariancancer
DOID:5041	esophagealcancer
DOID:184	bonecancer
DOID:3953	adrenalglandcancer
DOID:2531	hematologiccancer
DOID:1790	malignantmesothelioma
DOID:169	neuroendocrinetumor
DOID:1319	braincancer
DOID:4159	skincancer
DOID:0060119	pharynxcancer
DOID:2596	larynxcancer
DOID:8618	oralcavitycancer
DOID:1540	parathyroidcarcinoma
DOID:4606	bileductcancer
DOID:2998	testicularcancer
DOID:305	carcinoma
DOID:3119	gastrointestinalsystemcancer
DOID:1781	thyroidcancer
DOID:0060103	neuroectodernalneoplasm
DOID:2174	ocularcancer
DOID:119	vaginalcancer
