DiseaseID	DiseaseName
NCIT:C100054	primary_acquired_melanosis
NCIT:C102872	carcinoma squamous_cell_carcinoma
NCIT:C104373	pseudoangiomatous_stromal_hyperplasia
NCIT:C111786	bile_duct_proliferation
NCIT:C112117	Overgrowth_syndrome Proteus_syndrome
NCIT:C114828	malignant_melanoma
NCIT:C116318	carcinoma small_cell_carcinoma
NCIT:C118828	malignant_melanoma
NCIT:C121153	adenoma LH
NCIT:C121583	leiomyosarcoma
NCIT:C121655	rhabdomyosarcoma sclerosing
NCIT:C121668	haemangioendothelioma pseudomyogenic
NCIT:C121671	angiosarcoma
NCIT:C121681	palisaded_encapsulated_neuroma
NCIT:C121687	neuromuscular_choristoma
NCIT:C121831	fibro-osseous_lesion_NOS
NCIT:C121929	nonossifying_fibroma
NCIT:C121932	giant_cell_tumour
NCIT:C121953	sex_cord-stromal_tumour microcystic_stromal_tumour
NCIT:C121955	angiomyoadenomatous_tumour
NCIT:C121963	cribriform_neuroepithelial_tumour
NCIT:C121967	meningioangiomatosis
NCIT:C121968	neurocristic_hamartoma
NCIT:C121970	pancreaticobiliary_malunion
NCIT:C121974	lymphoid_neoplasm acute_lymphoblastic_B_cell_leukaemia
NCIT:C122985	chondromesenchymal_hamartoma
NCIT:C12313	normal
NCIT:C123384	carcinoma mammary_analogue_secretory_carcinoma_of_salivary_glands
NCIT:C12370	normal
NCIT:C12437	normal
NCIT:C12471	normal
NCIT:C126357	solitary_fibrous_tumour
NCIT:C126358	desmoid_tumour-fibromatosis
NCIT:C126359	epithelioid_inflammatory_myofibroblastic_sarcoma
NCIT:C126449	carcinoma serous_carcinoma
NCIT:C126769	carcinoma dedifferentiated_carcinoma
NCIT:C127058	rhabdomyosarcoma
NCIT:C12801	normal
NCIT:C128045	carcinoma neuroendocrine_carcinoma
NCIT:C128046	leiomyoma
NCIT:C128050	malignant_peripheral_nerve_sheath_tumour
NCIT:C128079	myofibroblastoma
NCIT:C128165	fibroepithelial_neoplasm phyllodes_tumour
NCIT:C128240	adnexal_tumour hidradenoma_papilliferum
NCIT:C128242	fibroepithelial_neoplasm fibroadenoma
NCIT:C128295	germ_cell_tumour yolk_sac_tumour
NCIT:C128847	carcinoma micropapillary_adenocarcinoma
NCIT:C129309	glioma diffuse_midline_glioma
NCIT:C129327	glioma astrocytoma_Grade_III
NCIT:C129431	rosette-forming_glioneuronal_tumour
NCIT:C129444	primitive_neuroectodermal_tumour-medulloblastoma non_WNT-non_SHH_subtype
NCIT:C129526	solitary_fibrous_tumour
NCIT:C129548	desmoid_tumour-fibromatosis
NCIT:C129782	haematopoietic_neoplasm acute_myeloid_leukaemia
NCIT:C129783	haematopoietic_neoplasm acute_myeloid_leukaemia_associated_with_MDS
NCIT:C129785	haematopoietic_neoplasm acute_myeloid_leukaemia
NCIT:C129863	dysplasia
NCIT:C13049	normal
NCIT:C13051	normal
NCIT:C13076	normal
NCIT:C131760	haemangioma anastomosing
NCIT:C13272	normal
NCIT:C133091	adenofibroma
NCIT:C133187	malignant_melanoma
NCIT:C133252	carcinoma squamous_cell_carcinoma
NCIT:C135565	Brunner_gland_hyperplasia
NCIT:C136624	carcinoma mixed_adenosquamous_carcinoma
NCIT:C136709	carcinoma invasive_mucinous_adenocarcinoma
NCIT:C136710	carcinoma enteric_adenocarcinoma
NCIT:C139012	lymphoid_neoplasm breast_implant_associated_anaplastic_large_cell_lymphoma_in_situ
NCIT:C139546	fibroepithelial_neoplasm fibroadenoma
NCIT:C139547	fibroepithelial_neoplasm fibroadenoma
NCIT:C139548	mixed_fibroadenoma-hidradenoma
NCIT:C142783	perivascular_epithelioid_cell_tumour_(PEComa)
NCIT:C142825	intimal_sarcoma
NCIT:C154324	carcinoma poorly_differentiated_carcinoma
NCIT:C156457	carcinoma small_cell_carcinoma
NCIT:C157067	lymphoid_neoplasm primary_central_nervous_system_lymphoma
NCIT:C159507	carcinoma carcinosarcoma-malignant_mesodermal_mixed_tumour
NCIT:C159663	malignant_melanoma
NCIT:C159669	rhabdomyosarcoma alveolar
NCIT:C161022	carcinoma intraductal_carcinoma
NCIT:C162485	solid_pseudopapillary_neoplasm
NCIT:C162966	sex_cord-stromal_tumour signet_ring_stromal_cell_tumour
NCIT:C164141	carcinoma adenocarcinoma
NCIT:C165261	solid_pseudopapillary_neoplasm
NCIT:C166399	malignant_melanoma
NCIT:C166405	malignant_melanoma nodular
NCIT:C172129	haematopoietic_neoplasm acute_leukaemic_transformation_of_chronic_neutrophilic_leukaemia
NCIT:C172813	carcinoma micropapillary_adenocarcinoma
NCIT:C173094	teratocarcinosarcoma
NCIT:C173125	angiosarcoma
NCIT:C176467	chondrosarcoma synovial
NCIT:C176515	angiosarcoma
NCIT:C176516	carcinoma ductal_carcinoma
NCIT:C178245	schwannoma epithelioid
NCIT:C178437	malignant_melanoma
NCIT:C178441	malignant_melanoma
NCIT:C178443	malignant_melanoma
NCIT:C178507	atypical_teratoid-rhabdoid_tumour desmoplastic_myxoid_tumour_SMARCB1_mutant
NCIT:C178517	malignant_melanoma
NCIT:C178519	malignant_melanoma
NCIT:C178521	malignant_melanoma
NCIT:C178522	malignant_melanoma
NCIT:C178523	germ_cell_tumour yolk_sac_tumour
NCIT:C179218	periductal_stromal_tumour
NCIT:C179229	myxoid_glioneuronal_tumour
NCIT:C179230	myxoid_glioneuronal_tumour
NCIT:C179320	carcinoma mesonephric-like_adenocarcinoma
NCIT:C179888	carcinoma squamous_cell_carcinoma
NCIT:C179932	gastrointestinal_stromal_tumour dedifferentiated
NCIT:C25765	haematopoietic_neoplasm acute_leukaemic_transformation_of_primary_myelofibrosis
NCIT:C26712	carcinoma mucinous_carcinoma
NCIT:C26749	carcinoid-endocrine_tumour vipoma
NCIT:C26765	enteritis_cystica_profunda
NCIT:C26780	gastritis
NCIT:C26783	reactive_gliosis
NCIT:C26869	fibrosis
NCIT:C26876	fibrosis
NCIT:C26894	chronic_thyroiditis
NCIT:C26997	hypertrophic_scar
NCIT:C27004	carcinoma sarcomatoid_carcinoma
NCIT:C27005	sarcoma spindle
NCIT:C27007	benign_melanocytic_nevus Spitz
NCIT:C27094	adnexal_tumour cylindroma
NCIT:C27122	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C27125	adnexal_tumour tricholemmal_cyst
NCIT:C27132	adnexal_tumour trichoepithelioma
NCIT:C27134	haematopoietic_neoplasm
NCIT:C27178	secondary_erythrocytosis
NCIT:C27191	chronic_thyroiditis Hashimotos_thyroiditis
NCIT:C27253	adenoma
NCIT:C27255	adnexal_tumour malignant_adnexal_tumour
NCIT:C27257	cellular_angiofibroma
NCIT:C27262	haematopoietic_neoplasm myelodysplastic-myeloproliferative_neoplasm
NCIT:C27273	adnexal_tumour poroma
NCIT:C27280	haematopoietic_neoplasm myelodysplastic_transformation_of_essential_thrombocythaemia
NCIT:C27291	biphenotypic_sarcoma_with_myogenic_and_neural_differentiation
NCIT:C27293	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NCIT:C27350	haematopoietic_neoplasm myeloproliferative_neoplasm_unclassifiable
NCIT:C27390	carcinoma small_cell_carcinoma
NCIT:C27394	malignant_melanoma
NCIT:C27398	ameloblastoma
NCIT:C27409	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C27425	intraepithelial_neoplasia
NCIT:C27440	lymphoid_neoplasm mantle_cell_lymphoma
NCIT:C27456	adenoma tubular
NCIT:C27458	adenoma
NCIT:C27459	dysplasia
NCIT:C27462	dysplasia
NCIT:C27465	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C27475	lipoma
NCIT:C27476	schwannoma
NCIT:C27479	angiofibroma
NCIT:C27483	lipoblastoma
NCIT:C27485	angiomyolipoma
NCIT:C27493	rhabdomyosarcoma alveolar
NCIT:C27502	chondrosarcoma myxoid
NCIT:C27510	haemangioendothelioma kaposiform
NCIT:C27514	lymphoid_neoplasm juvenile_xanthogranuloma
NCIT:C27515	desmoplastic_fibroblastoma
NCIT:C27521	adnexal_tumour trichilemmoma
NCIT:C27527	adnexal_tumour apocrine_adenoma
NCIT:C27531	in_situ_epithelial_neoplasm
NCIT:C27605	pingueculum
NCIT:C27628	endometriosis
NCIT:C27720	carcinoid-endocrine_tumour islet_cell
NCIT:C27722	haematopoietic_neoplasm myelodysplastic_syndrome_therapy_related
NCIT:C27723	lichen_sclerosus
NCIT:C27735	gastrointestinal_stromal_tumour diffuse_interstitial_cell_of Cajal_hyperplasia
NCIT:C27780	haematopoietic_neoplasm myelodysplastic-myeloproliferative_neoplasm-unclassifiable
NCIT:C27789	endometrial_intraepithelial_neoplasia
NCIT:C27790	in_situ_neoplasm carcinoma_in_situ
NCIT:C27792	gastrointestinal_stromal_tumour spindle
NCIT:C27793	gastrointestinal_stromal_tumour spindle_and_epithelioid
NCIT:C27794	apparent_erythrocytosis
NCIT:C27813	carcinoma adenocarcinoma
NCIT:C27814	carcinoma
NCIT:C27835	Barrett_oesophagus
NCIT:C27838	carcinoma serous_carcinoma
NCIT:C27878	hyperplasia flat_urothelial
NCIT:C27891	carcinoma melanotic
NCIT:C27892	carcinoma renal_cell_carcinoma_unclassified
NCIT:C27893	carcinoma sarcomatoid_renal_cell_carcinoma
NCIT:C27907	lymphoid_neoplasm B_cell_lymphoma_unspecified
NCIT:C27908	lymphoid_neoplasm indolent_T_cell_lymphoproliferative_disease
NCIT:C27911	lymphoid_neoplasm chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma
NCIT:C27912	haematopoietic_neoplasm acute_myeloid_leukaemia_myelodysplastic_syndrome_therapy_related_NOS
NCIT:C27914	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C27915	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C27941	hyperplasia ductal_epithelial_hyperplasia-hyperplasia_of_usual_type
NCIT:C2852	carcinoma adenocarcinoma
NCIT:C2854	malignant_Warthin_tumour
NCIT:C2858	adrenal_cortical_neoplasm virilizing_syndrome_producing
NCIT:C2859	neoplasm
NCIT:C2862	haematopoietic_neoplasm primary_myelofibrosis
NCIT:C2874	Overgrowth_syndrome CLOVES_syndrome
NCIT:C2880	sex_cord-stromal_tumour Sertoli-Leydig_cell_tumour
NCIT:C2891	Barrett_oesophagus
NCIT:C2895	benign_epithelial_tumour
NCIT:C2897	hyperplasia
NCIT:C2901	neoplasm
NCIT:C2907	neoplasm
NCIT:C2910	neoplasm
NCIT:C2912	lymphoid_neoplasm Burkitt_lymphoma
NCIT:C2915	carcinoid-endocrine_tumour
NCIT:C2916	carcinoma
NCIT:C2917	undifferentiated_carcinoma_in_situ
NCIT:C2918	carcinoma other_carcinoma
