COSMIC_PHENOTYPE_ID,SITE_PRIMARY,SITE_SUBTYPE1,SITE_SUBTYPE2,SITE_SUBTYPE3,HISTOLOGY,HIST_SUBTYPE1,HIST_SUBTYPE2,HIST_SUBTYPE3,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC,NCI,EFO
COSO29935643,lung,left_lower_lobe,NS,NS,adenocarcinoma,acinar,NS,NS,lung,left_lower_lobe,NS,NS,carcinoma,acinar_adenocarcinoma,NS,NS,C5649,
COSO29935333,lung,left_lower_lobe,NS,NS,carcinoma,small_cell,NS,NS,lung,left_lower_lobe,NS,NS,carcinoma,small_cell_carcinoma,NS,NS,C4917,http://www.ebi.ac.uk/efo/EFO_0000702
COSO28165222,bone,humerus,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,humerus,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO57515222,bone,metatarsus,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,metatarsus,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO28125222,bone,fibula,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,fibula,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO38285222,bone,scapula,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,scapula,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO37995222,bone,mandible,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,mandible,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO28065222,chest_wall,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO28065222,thumb,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO52145222,chest_wall,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO52145222,muscle,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO313711033,soft_tissue,paravertebral,NS,NS,small_round_cell_tumour,NS,NS,NS,soft_tissue,NS,NS,NS,small_round_cell_tumour,NS,NS,NS,C4867,http://purl.obolibrary.org/obo/MONDO_0024637
COSO28066810,bone,NS,NS,NS,osteosarcoma,small_cell,NS,NS,bone,NS,NS,NS,osteosarcoma,small_cell,NS,NS,C4023,
COSO582911033,soft_tissue,shoulder,NS,NS,small_round_cell_tumour,NS,NS,NS,soft_tissue,NS,shoulder,NS,small_round_cell_tumour,NS,NS,NS,C4867,http://purl.obolibrary.org/obo/MONDO_0024637
COSO579611033,soft_tissue,intrapelvis,NS,NS,small_round_cell_tumour,NS,NS,NS,soft_tissue,NS,pelvis,NS,small_round_cell_tumour,NS,NS,NS,C4867,http://purl.obolibrary.org/obo/MONDO_0024637
COSO584911033,soft_tissue,thigh,NS,NS,small_round_cell_tumour,NS,NS,NS,soft_tissue,NS,upper_leg,NS,small_round_cell_tumour,NS,NS,NS,C4867,http://purl.obolibrary.org/obo/MONDO_0024637
COSO345010969,soft_tissue,neck,NS,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,neck,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,C8300,http://www.ebi.ac.uk/efo/EFO_1000895
COSO563710969,soft_tissue,face,NS,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,face,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,C8300,http://www.ebi.ac.uk/efo/EFO_1000895
COSO563710969,soft_tissue,periorbital,NS,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,face,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,C8300,http://www.ebi.ac.uk/efo/EFO_1000895
COSO58006015,upper_aerodigestive_tract,head_neck,orbit,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,upper_aerodigestive_tract,head_neck,orbit,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C2970,http://www.ebi.ac.uk/efo/EFO_0000231
COSO29726015,upper_aerodigestive_tract,larynx,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,upper_aerodigestive_tract,larynx,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C9462,http://www.ebi.ac.uk/efo/EFO_1000319
COSO32406015,upper_aerodigestive_tract,mouth,mouth_roof,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,salivary_gland,mouth_roof,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C8026,http://purl.obolibrary.org/obo/MONDO_0003175
COSO32386015,upper_aerodigestive_tract,mouth,mouth_floor,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,salivary_gland,mouth_floor,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C8026,http://purl.obolibrary.org/obo/MONDO_0003175
COSO32516015,upper_aerodigestive_tract,mouth,mandible,submandibular,carcinoma,adenoid_cystic_carcinoma,NS,NS,salivary_gland,submandibular,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C5935,http://www.ebi.ac.uk/efo/EFO_1000555
COSO32506015,upper_aerodigestive_tract,mouth,tongue,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,salivary_gland,tongue,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C8026,http://purl.obolibrary.org/obo/MONDO_0003175
COSO36346015,upper_aerodigestive_tract,trachea,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,upper_aerodigestive_tract,trachea,NS,NS,carcinoma,adenoid_cystic_carcinoma,NS,NS,C6051,http://www.ebi.ac.uk/efo/EFO_1000598
COSO28894826,colorectal,left,NS,NS,carcinoma,NS,NS,NS,large_intestine,left,NS,NS,carcinoma,adenocarcinoma,NS,NS,C5105,http://www.ebi.ac.uk/efo/EFO_0000365
COSO279811020,blood_bone_marrow,NS,NS,NS,leukaemia,acute_myeloid,core-binding_factor,NS,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,core-binding_factor,NS,C3171,http://www.ebi.ac.uk/efo/EFO_0000222
COSO52145222,soft_tissue,supraclavicular,NS,NS,PNET,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO28225222,bone,tibia,NS,NS,PNET,NS,NS,NS,bone,tibia,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C35871,
COSO521410967,chest_wall,NS,NS,NS,PNET,NS,NS,NS,bone,extraskeletal,NS,NS,Askins_tumour,NS,NS,NS,C7542,http://www.ebi.ac.uk/efo/EFO_1000095
COSO52145222,shoulder,NS,NS,NS,PNET,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO353710969,forearm,NS,NS,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,forearm,NS,desmoplastic_small_round_cell_tumour,NS,NS,NS,C8300,http://www.ebi.ac.uk/efo/EFO_1000895
COSO52145222,soft_tissue,orbit,NS,NS,PNET,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO58205226,forearm,NS,NS,NS,sarcoma,undifferentiated,NS,NS,soft_tissue,NS,forearm,NS,sarcoma,NS,NS,NS,C9306,http://www.ebi.ac.uk/efo/EFO_1001968
COSO52145222,soft_tissue,postauricular,NS,NS,PNET,NS,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
