DiseaseID	DiseaseName
NCIT:C100054	primary_acquired_melanosis/other
NCIT:C102872	carcinoma/carcinoma
NCIT:C104373	pseudoangiomatous_stromal_hyperplasia/other
NCIT:C111786	bile_duct_proliferation/other
NCIT:C112117	capillary_vascular_malformation/Overgrowth_syndrome
NCIT:C114828	melanoma/malignant_melanoma
NCIT:C116318	carcinoma/carcinoma
NCIT:C118828	melanoma/malignant_melanoma
NCIT:C121153	adenoma/adenoma
NCIT:C121583	leiomyosarcoma/leiomyosarcoma
NCIT:C121655	rhabdomyosarcoma/rhabdomyosarcoma
NCIT:C121668	haemangioendothelioma/haemangioendothelioma
NCIT:C121671	angiosarcoma/angiosarcoma
NCIT:C121681	palisaded_encapsulated_neuroma/palisaded_encapsulated_neuroma
NCIT:C121687	neuromuscular_choristoma/other
NCIT:C121831	fibro-osseous_lesion/fibro-osseous_lesion_NOS
NCIT:C121929	nonossifying_fibroma/other
NCIT:C121932	giant_cell_tumour/other
NCIT:C121953	microcystic_stromal_tumour/sex_cord-stromal_tumour
NCIT:C121955	angiomyoadenomatous_tumour/other
NCIT:C121963	cribriform_neuroepithelial_tumour/other
NCIT:C121967	meningioangiomatosis/other
NCIT:C121968	hamartoma/other
NCIT:C121970	NS/other
NCIT:C121974	leukaemia/lymphoid_neoplasm
NCIT:C122985	hamartoma/other
NCIT:C12313	normal/other
NCIT:C123384	carcinoma/carcinoma
NCIT:C12370	NORMAL: NON-TUMOUR/other
NCIT:C12437	NORMAL: NON-TUMOUR/other
NCIT:C12471	NORMAL: NON-TUMOUR/other
NCIT:C126357	solitary_fibrous_tumour/solitary_fibrous_tumour
NCIT:C126358	desmoid_tumour/desmoid_tumour-fibromatosis
NCIT:C126359	sarcoma/epithelioid_inflammatory_myofibroblastic_sarcoma
NCIT:C126449	carcinoma/carcinoma
NCIT:C126769	carcinoma/carcinoma
NCIT:C127058	rhabdomyosarcoma/rhabdomyosarcoma
NCIT:C12801	NORMAL: NON-TUMOUR/other
NCIT:C128045	carcinoma/carcinoma
NCIT:C128046	leiomyoma/leiomyoma
NCIT:C128050	malignant_peripheral_nerve_sheath_tumour/malignant_peripheral_nerve_sheath_tumour
NCIT:C128079	myofibroblastoma/myofibroblastoma
NCIT:C128165	phyllodes_tumour/fibroepithelial_neoplasm
NCIT:C128240	hidradenoma_papilliferum/adnexal_tumour
NCIT:C128242	fibroadenoma/fibroepithelial_neoplasm
NCIT:C128295	yolk_sac_tumour/germ_cell_tumour
NCIT:C128847	adenocarcinoma/carcinoma
NCIT:C129309	glioma/glioma
NCIT:C129327	glioma/glioma
NCIT:C129431	rosette-forming_glioneuronal_tumour/other
NCIT:C129444	medulloblastoma/primitive_neuroectodermal_tumour-medulloblastoma
NCIT:C129526	solitary_fibrous_tumour/solitary_fibrous_tumour
NCIT:C129548	fibromatosis/desmoid_tumour-fibromatosis
NCIT:C129782	leukaemia/haematopoietic_neoplasm
NCIT:C129783	leukaemia/haematopoietic_neoplasm
NCIT:C129785	leukaemia/haematopoietic_neoplasm
NCIT:C129863	dysplasia/other
NCIT:C13049	NORMAL: NON-TUMOUR/other
NCIT:C13051	NORMAL: NON-TUMOUR/other
NCIT:C13076	NORMAL: NON-TUMOUR/other
NCIT:C131760	haemangioma/haemangioma
NCIT:C13272	NORMAL: NON-TUMOUR/other
NCIT:C133091	adenofibroma/other
NCIT:C133187	melanoma/malignant_melanoma
NCIT:C133252	carcinoma/carcinoma
NCIT:C135565	hyperplasia/other
NCIT:C136624	carcinoma/carcinoma
NCIT:C136709	adenocarcinoma/carcinoma
NCIT:C136710	adenocarcinoma/carcinoma
NCIT:C139012	lymphoma/lymphoid_neoplasm
NCIT:C139546	fibroadenoma/fibroepithelial_neoplasm
NCIT:C139547	fibroadenoma/fibroepithelial_neoplasm
NCIT:C139548	mixed_fibroadenoma-hidradenoma/other
NCIT:C142783	perivascular_epithelioid_cell_tumour_(PEComa)/perivascular_epithelioid_cell_tumour_(PEComa)
NCIT:C142825	sarcoma/other
NCIT:C154324	carcinoma/carcinoma
NCIT:C156457	carcinoma/carcinoma
NCIT:C157067	lymphoma/lymphoid_neoplasm
NCIT:C159507	carcinosarcoma/carcinoma
NCIT:C159663	melanoma/malignant_melanoma
NCIT:C159669	rhabdomyosarcoma/rhabdomyosarcoma
NCIT:C161022	carcinoma/carcinoma
NCIT:C162485	neoplasm/other
NCIT:C162966	stromal_tumour/sex_cord-stromal_tumour
NCIT:C164141	adenocarcinoma/carcinoma
NCIT:C165261	neoplasm/other
NCIT:C166399	melanoma/malignant_melanoma
NCIT:C166405	melanoma/malignant_melanoma
NCIT:C172129	leukaemia/haematopoietic_neoplasm
NCIT:C172813	carcinoma/carcinoma
NCIT:C173094	teratocarcinosarcoma/other
NCIT:C173125	angiosarcoma/angiosarcoma
NCIT:C176467	chondrosarcoma/chondrosarcoma
NCIT:C176515	angiosarcoma/angiosarcoma
NCIT:C176516	cancerization/carcinoma
NCIT:C178245	schwannoma/schwannoma
NCIT:C178437	melanoma/malignant_melanoma
NCIT:C178441	melanoma/malignant_melanoma
NCIT:C178443	melanoma/malignant_melanoma
NCIT:C178507	desmoplastic_myxoid_tumour/atypical_teratoid-rhabdoid_tumour
NCIT:C178517	melanoma/malignant_melanoma
NCIT:C178519	melanoma/malignant_melanoma
NCIT:C178521	melanoma/malignant_melanoma
NCIT:C178522	melanoma/malignant_melanoma
NCIT:C178523	sarcoma/germ_cell_tumour
NCIT:C179218	stromal_tumour/other
NCIT:C179229	glioneuronal_tumour/other
NCIT:C179230	glioneuronal_tumour/other
NCIT:C179320	adenocarcinoma/carcinoma
NCIT:C179888	carcinoma_cuniculatum/carcinoma
NCIT:C179932	gastrointestinal_stromal_tumour/gastrointestinal_stromal_tumour
NCIT:C25765	leukaemia/haematopoietic_neoplasm
NCIT:C26712	cystadenocarcinoma/carcinoma
NCIT:C26749	neuroendocrine_tumour/carcinoid-endocrine_tumour
NCIT:C26765	polyp/other
NCIT:C26780	gastritis/other
NCIT:C26783	reactive_gliosis/other
NCIT:C26869	fibrosis/other
NCIT:C26876	fibrosis/other
NCIT:C26894	chronic_thyroiditis/chronic_thyroiditis
NCIT:C26997	hypertrophic_scar/hypertrophic_scar
NCIT:C27004	carcinoma/carcinoma
NCIT:C27005	sarcoma/sarcoma
NCIT:C27007	nevus/benign_melanocytic_nevus
NCIT:C27094	cylindroma/adnexal_tumour
NCIT:C27122	lymphoma/lymphoid_neoplasm
NCIT:C27125	tricholemmal_cyst/adnexal_tumour
NCIT:C27132	trichoepithelioma/adnexal_tumour
NCIT:C27134	leukaemia/haematopoietic_neoplasm
NCIT:C27178	secondary_polyglobulia/other
NCIT:C27191	neoplasm/chronic_thyroiditis
NCIT:C27253	nephroma/other
NCIT:C27255	carcinoma/adnexal_tumour
NCIT:C27257	angiofibroma/cellular_angiofibroma
NCIT:C27262	myelodysplastic-myeloproliferative_disease/haematopoietic_neoplasm
NCIT:C27273	poroma/adnexal_tumour
NCIT:C27280	myelodysplastic_syndrome/haematopoietic_neoplasm
NCIT:C27291	sarcoma/biphenotypic_sarcoma_with_myogenic_and_neural_differentiation
NCIT:C27293	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour/Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NCIT:C27350	myeloproliferative_neoplasm/haematopoietic_neoplasm
NCIT:C27390	carcinoma/carcinoma
NCIT:C27394	melanoma/malignant_melanoma
NCIT:C27398	ameloblastoma/other
NCIT:C27409	lymphoma/lymphoid_neoplasm
NCIT:C27425	intraepithelial_neoplasia/other
NCIT:C27440	lymphoma/lymphoid_neoplasm
NCIT:C27456	adenocarcinoma/adenoma
NCIT:C27458	adenoma/adenoma
NCIT:C27459	dysplasia/other
NCIT:C27462	dysplasia/other
NCIT:C27465	lymphoma/lymphoid_neoplasm
NCIT:C27475	lipoma/lipoma
NCIT:C27476	schwannoma/schwannoma
NCIT:C27479	angiofibroma/angiofibroma
NCIT:C27483	lipoblastoma/lipoblastoma
NCIT:C27485	angiomyolipoma/other
NCIT:C27493	rhabdomyosarcoma/rhabdomyosarcoma
NCIT:C27502	chondrosarcoma/chondrosarcoma
