DiseaseID	DiseaseName
MESH:C000591739	Familial gynecomastia, due to increased aromatase activity
MESH:C000596385	Jalili syndrome
MESH:C000597569	Typical Teratoid Rhabdoid Tumor
MESH:C000598640	Retinoschisis, Autosomal Dominant
MESH:C000598644	Leukoencephalopathy Brain Calcifications and Cysts
MESH:C000598645	Spheroid body myopathy
MESH:C000598744	Idiopathic inflammatory myopathy, familial
MESH:C000598941	Keratoactinomycosis
MESH:C000600608	Ehlers-Danlos Syndrome, musculocontractural type 1
MESH:C000601856	Non ketotic hyperglycinemia syndrome
MESH:C000603735	Congenital Nongoitrous Hypothyroidism
MESH:C000604661	Sinus Tarsi Syndrome
MESH:C000608733	Postmastectomy Angiosarcoma
MESH:C000608854	Bilateral Optic Nerve Meningioma
MESH:C000610012	Thyrotropin deficiency, isolated
MESH:C000613206	Poroid hidradenoma
MESH:C000623088	Congenital disorder of glycosylation type 1I
MESH:C000625499	calcifying aponeurotic fibroma
MESH:C000626124	NGLY1 deficiency
MESH:C000626393	Erosive Adenomatosis of the Nipple
MESH:C000629404	acute flaccid myelitis
MESH:C000630779	Jugular foramen syndrome
MESH:C000631768	Pediatric acute-onset neuropsychiatric syndrome
MESH:C000631847	Osteogenesis Imperfecta, Type IV
MESH:C000632444	Aniridia, Partial, with Unilateral Renal Agenesis and Psychomotor Retardation
MESH:C000632664	Microcystic adnexal carcinoma
MESH:C000633744	chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature
MESH:C000654764	Amoebic gill disease
MESH:C000655084	red meat allergy
MESH:C000655292	unicuspid aortic valve
MESH:C000655384	aorto-atrial tunnel
MESH:C000656784	adiaspiromycosis
MESH:C000656785	entomophthoromycosis
MESH:C000656804	chlorellosis
MESH:C000656805	protothecosis
MESH:C000656806	Prototheca mastitis
MESH:C000656824	tinea manus
MESH:C000656825	tinea barbae
MESH:C000656844	dermatophytid reaction
MESH:C000656845	tinea incognita
MESH:C000656864	Candida auris infection
MESH:C000656865	talaromycosis
MESH:C000656884	emmonsiosis
MESH:C000656904	tinea nigra
MESH:C000656905	Saprochaete clavata infection
MESH:C000656906	Sarocladium kiliense infection
MESH:C000656907	Exserohilum infection
MESH:C000656924	scedosporiosis
MESH:C000656944	Rhizopus infection
MESH:C000656945	Mucor infection
MESH:C000656946	Cunninghamella bertholletiae infection
MESH:C000656947	Absidia corymbifera infection
MESH:C000656948	Saksenaea infection
MESH:C000656949	Rhizomucor pusillus infection
MESH:C000656964	Aspergillus meningitis
MESH:C000657744	postintensive care syndrome
MESH:C000657784	Lattice Corneal Dystrophy, Type II
MESH:C000705127	COVID-19 drug treatment
MESH:C000705128	COVID-19 serotherapy
MESH:C000705207	Brachytelephalangic Chondrodysplasia Punctata
MESH:C000705427	Middle East respiratory syndrome vaccine
MESH:C000705607	dermatophilosis
MESH:C000705967	pediatric multisystem inflammatory disease, COVID-19 related
MESH:C000711409	post-acute COVID-19 syndrome
MESH:C000711429	COVID-19 post-intensive care syndrome
MESH:C000711430	COVID-19 stress syndrome
MESH:C000711512	post laminectomy syndrome
MESH:C000711527	hikikomori
MESH:C000711528	taijin kyofusho
MESH:C000711529	olfactory reference syndrome
MESH:C000711530	shubo-kyofu
MESH:C000711547	imposter syndrome
MESH:C000711647	brain fag
MESH:C000711648	latah syndrome
MESH:C000711649	dhat syndrome
MESH:C000711650	shenjing shuairuo
MESH:C000715309	restless sleep disorder
MESH:C000715347	Congenital tracheal stenosis
MESH:C000715747	Telangiectasia macularis eruptiva perstans
MESH:C000715748	Hereditary alpha-tryptasemia syndrome
MESH:C000715927	avian vacuolar myelinopathy
MESH:C000717167	rhupus syndrome
MESH:C000718087	adult multisystem inflammatory disease, COVID-19 related
MESH:C000718127	COVID-19 breakthrough infections
MESH:C000718787	AA amyloidosis
MESH:C000718907	Ansa pancreatica
MESH:C000718908	Meandering main pancreatic duct
MESH:C000719188	Acrophobia
MESH:C000719189	Aerophobia
MESH:C000719190	Anthrophobia
MESH:C000719191	Anthropophobia
MESH:C000719193	Arachnophobia
MESH:C000719194	Barophobia
MESH:C000719195	Belonephobia
MESH:C000719196	Chromophobia
MESH:C000719197	Chronophobia
MESH:C000719198	Coulrophobia
MESH:C000719200	Dentophobia
MESH:C000719201	Entomophobia
MESH:C000719202	Gamophobia
MESH:C000719203	Glossophobia
MESH:C000719204	Hemophobia
MESH:C000719205	Iatrophobia
MESH:C000719206	Mysophobia
MESH:C000719207	Necrophobia
MESH:C000719208	Nyctophobia
MESH:C000719209	Obesophobia
MESH:C000719210	Ophidiophobia
MESH:C000719212	Pathophobia
MESH:C000719213	Philophobia
MESH:C000719214	Phobophobia
MESH:C000719215	Scoptophobia
MESH:C000719216	Selenophobia
MESH:C000719218	Technophobia
MESH:C000719219	Trypophobia
MESH:C000719220	Zoophobia
MESH:C000719328	smoker's inclusion bodies
MESH:C000719407	Midline brainstem cleft
MESH:C000719531	misophonia
MESH:C000719624	fetal inflammatory response syndrome
MESH:C000720119	Galeazzi fractures
MESH:C000721267	Digital ulcers
MESH:C000721268	Isolated left subclavian artery
MESH:C000721288	Cleft eyelid
MESH:C000721289	Malar hypoplasia
MESH:C000721322	Coarse facial features
MESH:C000721324	Right-sided bronchial isomerism
MESH:C000721327	Lemon and banana signs
MESH:C000721349	Air crescent sign
MESH:C000721350	Silhouette sign
