"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"A2ML1","HGNC:23336","https://search.clinicalgenome.org/kb/genes/HGNC:23336","Noonan syndrome","MONDO:0018997","https://search.clinicalgenome.org/kb/conditions/MONDO:0018997","Autosomal dominant inheritance","","","","","disputing (06/07/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d910a9d8-516e-443d-acba-8d61f7574792-2018-06-07T160000.000Z","RASopathy","","",""
"AAGAB","HGNC:25662","https://search.clinicalgenome.org/kb/genes/HGNC:25662","palmoplantar keratoderma, punctate type 1A","MONDO:0007858","https://search.clinicalgenome.org/kb/conditions/MONDO:0007858","N/A","3 - Sufficient Evidence for Haploinsufficiency (02/28/2013)","0 - No Evidence for Haploinsufficiency (02/28/2013)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25662","Dosage Working Group","","","","","",""
"AARS1","HGNC:20","https://search.clinicalgenome.org/kb/genes/HGNC:20","undetermined early-onset epileptic encephalopathy","MONDO:0018614","https://search.clinicalgenome.org/kb/conditions/MONDO:0018614","Autosomal recessive inheritance","0 - No Evidence for Haploinsufficiency (01/11/2018)","0 - No Evidence for Haploinsufficiency (01/11/2018)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:20","Dosage Working Group","limited evidence (11/20/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ac62fe65-ee56-4146-9fe4-00dc1db2d958-2018-11-20T170000.000Z","Epilepsy","","",""
"AARS2","HGNC:21022","https://search.clinicalgenome.org/kb/genes/HGNC:21022","leukoencephalopathy, progressive, with ovarian failure","MONDO:0014387","https://search.clinicalgenome.org/kb/conditions/MONDO:0014387","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21022","Dosage Working Group","","","","","",""
"AASS","HGNC:17366","https://search.clinicalgenome.org/kb/genes/HGNC:17366","hyperlysinemia","MONDO:0009388","https://search.clinicalgenome.org/kb/conditions/MONDO:0009388","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17366","Dosage Working Group","moderate evidence (06/29/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92e04f9e-f03e-4295-baac-e9fb6b48a258-2020-06-29T174543.477Z","Aminoacidopathy","","",""
"ABAT","HGNC:23","https://search.clinicalgenome.org/kb/genes/HGNC:23","developmental and epileptic encephalopathy","MONDO:0100062","https://search.clinicalgenome.org/kb/conditions/MONDO:0100062","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23","Dosage Working Group","moderate evidence (04/19/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3a5138ad-d4b8-4ea1-aa78-b5d1f07b2b82-2022-04-19T160000.000Z","Epilepsy","","",""
"ABAT","HGNC:23","https://search.clinicalgenome.org/kb/genes/HGNC:23","GABA aminotransferase deficiency","MONDO:0013166","https://search.clinicalgenome.org/kb/conditions/MONDO:0013166","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23","Dosage Working Group","","","","","",""
"ABCB11","HGNC:42","https://search.clinicalgenome.org/kb/genes/HGNC:42","progressive familial intrahepatic cholestasis type 2","MONDO:0011156","https://search.clinicalgenome.org/kb/conditions/MONDO:0011156","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (07/08/2020)","0 - No Evidence for Haploinsufficiency (07/08/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:42","Dosage Working Group","","","","","",""
"ABCC4","HGNC:55","https://search.clinicalgenome.org/kb/genes/HGNC:55","qualitative platelet defect","MONDO:0001197","https://search.clinicalgenome.org/kb/conditions/MONDO:0001197","Autosomal recessive inheritance","","","","","moderate evidence (05/25/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2828abac-5b4a-4dad-a703-10c0daf35dbd-2022-05-25T160000.000Z","Hemostasis Thrombosis","","",""
"ABCC8","HGNC:59","https://search.clinicalgenome.org/kb/genes/HGNC:59","monogenic diabetes","MONDO:0015967","https://search.clinicalgenome.org/kb/conditions/MONDO:0015967","Semidominant inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (02/24/2012)","0 - No Evidence for Haploinsufficiency (02/24/2012)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","Dosage Working Group","definitive evidence (07/24/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_33c0dfa5-c6ea-42fd-8118-be6ff97beb3e-2022-07-24T160000.000Z","Monogenic Diabetes","","",""
