DiseaseID	gene_symbol	hgnc_id	gene_url	DiseaseName	disease_url	mode_of_inheritance	dosage_haploinsufficiency_assertion	dosage_triplosensitivity_assertion	dosage_report	dosage_group	gene_disease_validity_assertion_classifications	gene_disease_validity_assertion_reports	gene_disease_validity_gceps	actionability_assertion_classifications	actionability_assertion_reports	actionability_groups
MONDO:0000030	CHRNA2	HGNC:1956	https://search.clinicalgenome.org/kb/genes/HGNC:1956	sleep-related hypermotor epilepsy	https://search.clinicalgenome.org/kb/conditions/MONDO:0000030	Autosomal dominant inheritance					limited evidence (12/25/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f832b8a-af5a-494e-bfdb-70cc619addf1-2020-12-25T015652.186Z	Epilepsy			
MONDO:0000152	SLC25A19	HGNC:14409	https://search.clinicalgenome.org/kb/genes/HGNC:14409	thiamine-responsive dysfunction syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0000152		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14409	Dosage Working Group						
MONDO:0000188	SLC2A1	HGNC:11005	https://search.clinicalgenome.org/kb/genes/HGNC:11005	GLUT1 deficiency syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0000188	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (03/24/2016)	0 - No Evidence for Haploinsufficiency (03/24/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11005	Dosage Working Group	definitive evidence (04/18/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a20a0bc0-49d5-41fc-9507-cec19a43bd81-2019-04-18T123454.696Z	Intellectual Disability and Autism			
MONDO:0000208	TRMT10A	HGNC:28403	https://search.clinicalgenome.org/kb/genes/HGNC:28403	microcephaly, short stature, and impaired glucose metabolism 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0000208		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:28403	Dosage Working Group						
MONDO:0000448	SDHA	HGNC:10680	https://search.clinicalgenome.org/kb/genes/HGNC:10680	paraganglioma	https://search.clinicalgenome.org/kb/conditions/MONDO:0000448									Moderate Actionability (10/31/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC150	Adult Actionability Working Group
MONDO:0000453	CACNA1C	HGNC:1390	https://search.clinicalgenome.org/kb/genes/HGNC:1390	short QT syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0000453	Autosomal dominant inheritance	1 - Little Evidence for Haploinsufficiency (03/24/2016)	0 - No Evidence for Haploinsufficiency (03/24/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1390	Dosage Working Group	disputing (08/03/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_51dae85e-8745-48c1-8fb9-cabc2501d3fb-2020-08-03T160000.000Z	Short QT Syndrome			
MONDO:0000507	VCP	HGNC:12666	https://search.clinicalgenome.org/kb/genes/HGNC:12666	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	https://search.clinicalgenome.org/kb/conditions/MONDO:0000507	Autosomal dominant inheritance					definitive evidence (12/23/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6ea2bc4d-3b58-4b59-a5bc-9d8a96c452cb-2021-12-23T223510.433Z	Amyotrophic Lateral Sclerosis Spectrum Disorders			
MONDO:0000508	ACTB	HGNC:132	https://search.clinicalgenome.org/kb/genes/HGNC:132	syndromic intellectual disability	https://search.clinicalgenome.org/kb/conditions/MONDO:0000508		0 - No Evidence for Haploinsufficiency (02/08/2022)	0 - No Evidence for Haploinsufficiency (02/08/2022)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:132	Dosage Working Group						
MONDO:0000509	PRSS12	HGNC:9477	https://search.clinicalgenome.org/kb/genes/HGNC:9477	non-syndromic intellectual disability	https://search.clinicalgenome.org/kb/conditions/MONDO:0000509	Autosomal recessive inheritance					limited evidence (08/04/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d98f99d6-b1df-4cad-a53b-c94cfb532167-2021-08-04T160000.000Z	Intellectual Disability and Autism			
MONDO:0000572	RAG1	HGNC:9831	https://search.clinicalgenome.org/kb/genes/HGNC:9831	recombinase activating gene 1 deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0000572	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:9831	Dosage Working Group	definitive evidence (06/17/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f08ada81-650b-4764-99e4-f3156f67cbc9-2021-06-17T160000.000Z	SCID-CID			
MONDO:0000573	RAG2	HGNC:9832	https://search.clinicalgenome.org/kb/genes/HGNC:9832	recombinase activating gene 2 deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0000573	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:9832	Dosage Working Group	definitive evidence (08/19/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4e9918ba-b94a-4526-bd99-09abef894225-2021-08-19T140520.555Z	SCID-CID			
MONDO:0000591	ACTN2	HGNC:164	https://search.clinicalgenome.org/kb/genes/HGNC:164	intrinsic cardiomyopathy	https://search.clinicalgenome.org/kb/conditions/MONDO:0000591	Autosomal dominant inheritance					moderate evidence (08/06/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6710e329-d391-4355-85a5-02d03f8791a3-2018-08-06T130831.379Z	Hypertrophic Cardiomyopathy			
MONDO:0000700	SCN1A	HGNC:10585	https://search.clinicalgenome.org/kb/genes/HGNC:10585	familial hemiplegic migraine	https://search.clinicalgenome.org/kb/conditions/MONDO:0000700	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (07/06/2012)	0 - No Evidence for Haploinsufficiency (07/06/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:10585	Dosage Working Group	moderate evidence (09/14/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8c1e158-983d-4547-a739-7781961e5bb8-2021-09-14T163408.306Z	Epilepsy			
MONDO:0000820	CCM2	HGNC:21708	https://search.clinicalgenome.org/kb/genes/HGNC:21708	cerebral cavernous malformation	https://search.clinicalgenome.org/kb/conditions/MONDO:0000820									Assertion Pending (04/04/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC116	Adult Actionability Working Group
MONDO:0000904	TUBB2B	HGNC:30829	https://search.clinicalgenome.org/kb/genes/HGNC:30829	complex cortical dysplasia with other brain malformations	https://search.clinicalgenome.org/kb/conditions/MONDO:0000904	Autosomal dominant inheritance					definitive evidence (04/26/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_81ced164-4ef1-4256-a727-84e79930efcc-2020-04-26T040000.000Z	Brain Malformations			
MONDO:0000909	CLCNKA	HGNC:2026	https://search.clinicalgenome.org/kb/genes/HGNC:2026	Bartter disease type 4B	https://search.clinicalgenome.org/kb/conditions/MONDO:0000909		30 - Gene Associated with Autosomal Recessive Phenotype (05/17/2012)	0 - No Evidence for Haploinsufficiency (05/17/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:2026	Dosage Working Group						
MONDO:0000914	NOTCH3	HGNC:7883	https://search.clinicalgenome.org/kb/genes/HGNC:7883	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0000914									Assertion Pending (07/28/2016)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC099	Adult Actionability Working Group
MONDO:0001071	ANK3	HGNC:494	https://search.clinicalgenome.org/kb/genes/HGNC:494	intellectual disability	https://search.clinicalgenome.org/kb/conditions/MONDO:0001071	Autosomal recessive inheritance					moderate evidence (10/07/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_668a89e3-477d-434c-8ab4-0bc9ec3504de-2020-10-07T160000.000Z	Intellectual Disability and Autism			
MONDO:0001149	AKT3	HGNC:393	https://search.clinicalgenome.org/kb/genes/HGNC:393	microcephaly	https://search.clinicalgenome.org/kb/conditions/MONDO:0001149	Autosomal dominant inheritance	1 - Little Evidence for Haploinsufficiency (04/15/2016)	0 - No Evidence for Haploinsufficiency (04/15/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:393	Dosage Working Group	limited evidence (10/26/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6e3b524c-5d27-43d6-a0db-4f8f7cf1f872-2021-10-26T150030.155Z	Brain Malformations			
MONDO:0001197	ABCC4	HGNC:55	https://search.clinicalgenome.org/kb/genes/HGNC:55	qualitative platelet defect	https://search.clinicalgenome.org/kb/conditions/MONDO:0001197	Autosomal recessive inheritance					moderate evidence (08/25/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2828abac-5b4a-4dad-a703-10c0daf35dbd-2021-08-25T170551.779Z	Hemostasis Thrombosis			
MONDO:0001475	ELANE	HGNC:3309	https://search.clinicalgenome.org/kb/genes/HGNC:3309	neutropenia	https://search.clinicalgenome.org/kb/conditions/MONDO:0001475	Autosomal dominant inheritance					definitive evidence (05/14/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_259c43d2-b114-43bd-9e4e-a7beeb644323-2020-05-14T000924.456Z	Hereditary Cancer			
MONDO:0001586	IDUA	HGNC:5391	https://search.clinicalgenome.org/kb/genes/HGNC:5391	mucopolysaccharidosis type 1	https://search.clinicalgenome.org/kb/conditions/MONDO:0001586	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:5391	Dosage Working Group	definitive evidence (05/27/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_042f8964-a8e1-4880-b873-73460088e8bf-2020-05-27T160000.000Z	General Gene Curation	Moderate Actionability (08/08/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC006	Pediatric Actionability Working Group
MONDO:0001734	TSC1	HGNC:12362	https://search.clinicalgenome.org/kb/genes/HGNC:12362	tuberous sclerosis	https://search.clinicalgenome.org/kb/conditions/MONDO:0001734	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (10/13/2020)	0 - No Evidence for Haploinsufficiency (10/13/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:12362	Dosage Working Group	definitive evidence (01/23/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_61b07bb0-1385-4344-8b6c-571f6a271000-2019-01-23T170000.000Z	General Gene Curation	Assertion Pending (07/21/2015)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC026	Adult Actionability Working Group
MONDO:0001761	G6PD	HGNC:4057	https://search.clinicalgenome.org/kb/genes/HGNC:4057	favism	https://search.clinicalgenome.org/kb/conditions/MONDO:0001761									Moderate Actionability (08/18/2021) | Moderate Actionability (08/18/2021)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1043 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1043	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0001999	BMPR2	HGNC:1078	https://search.clinicalgenome.org/kb/genes/HGNC:1078	primary pulmonary hypertension	https://search.clinicalgenome.org/kb/conditions/MONDO:0001999		3 - Sufficient Evidence for Haploinsufficiency (08/26/2020)	0 - No Evidence for Haploinsufficiency (08/26/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1078	Dosage Working Group				Moderate Actionability (09/11/2017)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC146	Adult Actionability Working Group
MONDO:0002244	F7	HGNC:3544	https://search.clinicalgenome.org/kb/genes/HGNC:3544	factor VII deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0002244	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)		https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3544	Dosage Working Group	definitive evidence (07/24/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_43fb4e99-e97a-4d9c-af11-79c2b09ecd2e-2019-07-24T160000.000Z	Hemostasis Thrombosis	Strong Actionability (05/29/2021) | Strong Actionability (05/29/2021)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1038 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1038	Adult Actionability Working Group | Pediatric Actionability Working Group
