DiseaseID	DiseaseName
MONDO:0000030	sleep-related hypermotor epilepsy
MONDO:0000119	congenital heart defects, multiple types
MONDO:0000152	thiamine-responsive dysfunction syndrome
MONDO:0000188	GLUT1 deficiency syndrome
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1
MONDO:0000448	paraganglioma
MONDO:0000453	short QT syndrome
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000508	syndromic intellectual disability
MONDO:0000509	non-syndromic intellectual disability
MONDO:0000572	recombinase activating gene 1 deficiency
MONDO:0000573	recombinase activating gene 2 deficiency
MONDO:0000591	intrinsic cardiomyopathy
MONDO:0000700	familial hemiplegic migraine
MONDO:0000820	cerebral cavernous malformation
MONDO:0000904	complex cortical dysplasia with other brain malformations
MONDO:0000909	Bartter disease type 4B
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1
MONDO:0001071	intellectual disability
MONDO:0001149	microcephaly
MONDO:0001197	qualitative platelet defect
MONDO:0001475	neutropenia
MONDO:0001586	mucopolysaccharidosis type 1
MONDO:0001734	tuberous sclerosis
MONDO:0001761	favism
MONDO:0001999	primary pulmonary hypertension
MONDO:0002244	factor VII deficiency
MONDO:0002413	glycogen storage disease I
MONDO:0002441	Jervell and Lange-Nielsen syndrome
MONDO:0002442	long QT syndrome
MONDO:0002457	Treacher-Collins syndrome
MONDO:0003582	hereditary breast ovarian cancer syndrome
MONDO:0003789	hereditary papillary renal cell carcinoma
MONDO:0004691	autosomal dominant polycystic kidney disease
MONDO:0004976	amyotrophic lateral sclerosis
MONDO:0005021	dilated cardiomyopathy
MONDO:0005027	epilepsy
MONDO:0005045	hypertrophic cardiomyopathy
MONDO:0005090	schizophrenia
MONDO:0005180	Parkinson disease
MONDO:0005212	rhabdomyosarcoma
MONDO:0005233	non-small cell lung carcinoma
MONDO:0005258	autism spectrum disorder
MONDO:0005308	ciliopathy
MONDO:0005395	movement disorder
MONDO:0005501	congenital disorder of glycosylation type II
MONDO:0005503	developmental disorder of mental health
MONDO:0005711	congenital diaphragmatic hernia
MONDO:0005775	G6PD deficiency
MONDO:0005835	Lynch syndrome
MONDO:0007029	branchio-oto-renal syndrome
MONDO:0007034	Adams-Oliver syndrome
MONDO:0007037	achondroplasia
MONDO:0007039	neurofibromatosis type 2
MONDO:0007041	apert syndrome
MONDO:0007042	Saethre-Chotzen syndrome
MONDO:0007043	Pfeiffer syndrome
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency
MONDO:0007068	adenylosuccinate lyase deficiency
MONDO:0007100	familial amyloid neuropathy
MONDO:0007103	amyotrophic lateral sclerosis type 1
MONDO:0007105	frontotemporal dementia and/or amyotrophic lateral sclerosis 1
MONDO:0007110	Diamond-Blackfan anemia 1
MONDO:0007113	Angelman syndrome
MONDO:0007129	tooth agenesis, selective, 1
MONDO:0007134	Cooks syndrome
MONDO:0007160	Stickler syndrome type 1
MONDO:0007163	episodic ataxia type 2
MONDO:0007187	nevoid basal cell carcinoma syndrome
MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome
MONDO:0007205	diaphyseal medullary stenosis-bone malignancy syndrome
MONDO:0007221	brachydactyly type C
MONDO:0007236	branchiootorenal syndrome 1
MONDO:0007251	campomelic dysplasia
MONDO:0007266	hypertrophic cardiomyopathy 2
MONDO:0007267	hypertrophic cardiomyopathy 3
MONDO:0007268	hypertrophic cardiomyopathy 4
MONDO:0007269	dilated cardiomyopathy 1A
MONDO:0007270	cardiomyopathy, familial restrictive, 1
MONDO:0007273	paragangliomas 4
MONDO:0007293	leukocyte adhesion deficiency 1
MONDO:0007298	spinocerebellar ataxia type 29
MONDO:0007299	Sotos syndrome 1
MONDO:0007307	Charcot-Marie-Tooth disease type 1B
MONDO:0007308	Charcot-Marie-Tooth disease type 2A1
MONDO:0007309	Charcot-Marie-Tooth disease type 1A
MONDO:0007311	Charcot-Marie-Tooth disease type 1E
MONDO:0007333	van der Woude syndrome 1
MONDO:0007336	isolated cleft palate
MONDO:0007352	renal coloboma syndrome
MONDO:0007355	uveal coloboma-cleft lip and palate-intellectual disability
MONDO:0007356	Lynch syndrome 1
MONDO:0007365	seizures, benign familial neonatal, 1
MONDO:0007387	Cornelia de Lange syndrome 1
MONDO:0007399	TWIST1-related craniosynostosis
MONDO:0007405	Crouzon syndrome
MONDO:0007412	Beare-Stevenson cutis gyrata syndrome
MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy
MONDO:0007436	dentin dysplasia type I
MONDO:0007471	Doyne honeycomb retinal dystrophy
MONDO:0007481	Leri-Weill dyschondrosteosis
MONDO:0007495	dystonia 5
MONDO:0007510	Clouston syndrome
MONDO:0007522	Ehlers-Danlos syndrome, classic type
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type
MONDO:0007534	Beckwith-Wiedemann syndrome
MONDO:0007540	multiple endocrine neoplasia type 1
MONDO:0007566	multiple self-healing squamous epithelioma
MONDO:0007585	exostoses, multiple, type 1
MONDO:0007586	exostoses, multiple, type 2
MONDO:0007589	exudative vitreoretinopathy 1
MONDO:0007601	familial Mediterranean fever, autosomal dominant
MONDO:0007607	Birt-Hogg-Dube syndrome
MONDO:0007614	congenital fibrosis of extraocular muscles
MONDO:0007617	Coffin-Siris syndrome 1
MONDO:0007640	Sorsby fundus dystrophy
MONDO:0007648	hereditary diffuse gastric adenocarcinoma
MONDO:0007661	Tourette syndrome
MONDO:0007669	renal cysts and diabetes syndrome
MONDO:0007672	glomuvenous malformation
MONDO:0007681	goiter, multinodular 1, with or without Sertoli-Leydig cell tumors
MONDO:0007686	gray platelet syndrome
MONDO:0007688	Myhre syndrome
MONDO:0007700	hawkinsinuria
MONDO:0007723	Hirschsprung disease, susceptibility to, 1
MONDO:0007732	Holt-Oram syndrome
MONDO:0007733	holoprosencephaly 3
MONDO:0007734	holoprosencephaly 4
MONDO:0007739	Huntington disease
MONDO:0007740	Wagner disease
MONDO:0007747	isolated hyperchlorhidrosis
MONDO:0007750	hypercholesterolemia, familial, 1
MONDO:0007751	hypercholesterolemia, autosomal dominant, type B
MONDO:0007768	hyperparathyroidism 2 with jaw tumors
MONDO:0007783	malignant hyperthermia, susceptibility to, 1
MONDO:0007797	hypoparathyroidism-deafness-renal disease syndrome
MONDO:0007798	obsolete adult hypophosphatasia
MONDO:0007818	hyper-IgE recurrent infection syndrome 1
MONDO:0007841	coxopodopatellar syndrome
MONDO:0007843	Kabuki syndrome 1
MONDO:0007844	hypogonadotropic hypogonadism 2 with or without anosmia
MONDO:0007846	KBG syndrome
MONDO:0007856	palmoplantar keratoderma-esophageal carcinoma syndrome
MONDO:0007858	palmoplantar keratoderma, punctate type 1A
MONDO:0007872	LADD syndrome
MONDO:0007888	hereditary leiomyomatosis and renal cell cancer
