DiseaseID	GeneID  AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	DiseaseMIM	LastUpdated	a	LastModified	Category
HP:0000002			C4025901	Abnormality of body height	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000003			C3714581	Multicystic kidney dysplasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000005			C1708511	Mode of inheritance	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000008			C4025900	Abnormal morphology of female internal genitalia	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000009			C3806583	Functional abnormality of the bladder	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000010			C0262655	Recurrent urinary tract infections	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000011			C0005697	Neurogenic bladder	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000012			C0085606	Urinary urgency	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000014			C0149632	Abnormality of the bladder	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000016			C0080274	Urinary retention	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000017			C0028734	Nocturia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000019			C0152032	Urinary hesitancy	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000020			C0042024	Urinary incontinence	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000021			C1855311	Megacystis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000022			C4025899	Abnormality of male internal genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000023			C0019294	Inguinal hernia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000024			C0033581	Prostatitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000025			C4025898	Functional abnormality of male internal genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000026			C0151721	Male hypogonadism	Human Phenotype Ontology			241100.0	16 Feb 2016	Disease
HP:0000027			C0004509	Azoospermia	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000028	INSL3		C0010417	Cryptorchidism	Human Phenotype Ontology	219050.0	Apr  4 2018			
HP:0000029			C0156312	Testicular atrophy	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000030			C1515283	Testicular gonadoblastoma	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000031			C0014534	Epididymitis	Human Phenotype Ontology				16 Feb 2016	Infectious disease
HP:0000032			C4025897	Abnormality of male external genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000033			C4021823	Ambiguous genitalia, male	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000034			C1720771	Hydrocele testis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000035			C4759656	Abnormal testis morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000036			C4025896	Abnormal penis morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000037			C0238395	Male pseudohermaphroditism	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000040			C0269011	Long penis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000041			C0221182	Chordee	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000042			C1848869	Absent external genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000045			C4025895	Abnormality of the scrotum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000046			C0431659	Scrotal hypoplasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000048			C0341787	Bifid scrotum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000049			C1858539	Shawl scrotum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000050			C1852534	Hypoplastic male external genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000051			C0452148	Perineal hypospadias	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000052			C4025894	Urethral atresia, male	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000053			C1263023	Macroorchidism	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000054			C4551492	Micropenis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000055			C4021822	Abnormality of female external genitalia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000056			C4025893	Abnormality of the clitoris	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000058			C4025892	Abnormal labia morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000059			C0566899	Hypoplastic labia majora	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000060			C1844527	Clitoral hypoplasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000061			C4025891	Ambiguous genitalia, female	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000062			C0266362	Ambiguous genitalia	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000063			C1837532	Fused labia minora	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000064			C1849295	Hypoplastic labia minora	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000065			C0404531	Labial hypertrophy	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000066			C1850325	Labial hypoplasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000067			C4025890	Urethral atresia, female	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000068			C1610065	Urethral atresia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000069			C1840382	Abnormality of the ureter	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000070			C0041960	Ureterocele	Human Phenotype Ontology			191650.0	16 Feb 2016	Disease
HP:0000071			C0521618	Ureteral stenosis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000072			C0521620	Hydroureter	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000073			C0221365	Ureteral duplication	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000074			C0521619	Ureteropelvic junction obstruction	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000075			C0266298	Renal duplication	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000076		ROBO2	C0042580	Vesicoureteral reflux	Human Phenotype Ontology		16 Feb 2016			
HP:0000077			C0266292	Abnormality of the kidney	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000078			C0744356	Abnormality of the genital system	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000079			C4021821	Abnormality of the urinary system	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000080			C4021820	Abnormality of reproductive system physiology	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000081			C1858565	Duplicated collecting system	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000083			C1565489	Renal insufficiency	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000085			C0221353	Horseshoe kidney	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000086			C0238207	Ectopic kidney	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000090	IFT172		C0687120	Nephronophthisis	Human Phenotype Ontology		Feb 16 2016			
HP:0000091			C4021826	Abnormal renal tubule morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000092			C1858395	Renal tubular atrophy	Human Phenotype Ontology				23 Nov 2021	Finding
HP:0000093			C0033687	Proteinuria	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000095			C4025889	Abnormal renal glomerulus morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000096			C0178664	Glomerular sclerosis	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000097		ACTN4	C0017668	Focal segmental glomerulosclerosis	Human Phenotype Ontology		16 Feb 2016			
HP:0000098			C0241240	Tall stature	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000099			C0017658	Glomerulonephritis	Human Phenotype Ontology				01 Sep 2021	Disease
HP:0000100			C0027720	Nephrosis	Human Phenotype Ontology				22 Jan 2021	Disease
HP:0000103			C0032617	Polyuria	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000104			C0542519	Renal agenesis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000105			C0542518	Enlarged kidney	Human Phenotype Ontology				02 Apr 2017	Finding
HP:0000107			C3887499	Renal cyst	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000108			C1968619	Renal corticomedullary cysts	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000110			C3536714	Renal dysplasia	Human Phenotype Ontology				19 Nov 2021	Disease
HP:0000111			C1866496	Renal juxtaglomerular cell hypertrophy/hyperplasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000112			C1408258	Kidney damage	Human Phenotype Ontology				19 Jul 2021	Finding
HP:0000113			C0022680	Polycystic kidney disease	Human Phenotype Ontology				19 Apr 2022	Disease
HP:0000114			C1839603	Proximal tubulopathy	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000117			C1845169	Renal phosphate wasting	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000119			C0042063	Abnormality of the genitourinary system	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000121			C0027709	Nephrocalcinosis	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000122			C0266294	Unilateral renal agenesis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000123			C0027697	Nephritis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000124			C0151747	Renal tubular dysfunction	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000125			C0221209	Pelvic kidney	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000126			C0020295	Hydronephrosis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000127			C1846347	Renal salt wasting	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000128			C1846348	Renal potassium wasting	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000131			C0042133	Uterine leiomyoma	Human Phenotype Ontology			150699.0	16 Feb 2016	Disease
HP:0000132			C0025323	Menorrhagia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000133			C0018051	Gonadal dysgenesis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000134			C0271578	Female hypogonadism	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000135			C0020619	Hypogonadism	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000136			C1850327	Bifid uterus	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000137			C4021818	Abnormality of the ovary	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000138			C0029927	Ovarian cyst	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000139			C0042140	Uterine prolapse	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000140			C4025888	Abnormality of the menstrual cycle	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000141			C0002453	Amenorrhea	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000142			C1856023	Abnormal vagina morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000143			C0034895	Rectovaginal fistula	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000144			C0729353	Decreased fertility	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000145			C1856006	Transverse vaginal septum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000147			C0032460	Polycystic ovaries	Human Phenotype Ontology			184700.0	16 Feb 2016	Disease
HP:0000148			C1321884	Vaginal atresia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000149			C1518716	Ovarian gonadoblastoma	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000150			C0206661	Gonadoblastoma	Human Phenotype Ontology			424500.0	16 Feb 2016	Disease
HP:0000151			C0425913	Aplasia of the uterus	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000152			C4021817	Abnormality of head or neck	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000153			C0026633	Abnormality of the mouth	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000154			C0024433	Wide mouth	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000155			C0149745	Oral ulcer	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000157			C0878638	Abnormality of the tongue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000159			C2183966	Abnormal lip morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000160			C0026034	Narrow mouth	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000161			C1850256	Median cleft lip	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000162			C0267048	Glossoptosis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000163			C4025887	Abnormal oral cavity morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000164			C0262444	Abnormality of the dentition	Human Phenotype Ontology				04 Apr 2018	Finding
HP:0000166			C4025886	Severe periodontitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000168			C4021816	Abnormality of the gingiva	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000169		REST	C0399440	Hereditary gingival fibromatosis	Human Phenotype Ontology		16 Feb 2016			
HP:0000171			C0025988	Microglossia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000172			C4025885	Abnormal uvula morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000174			C4021815	Abnormal palate morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000175			C2981150	Cleft palate	Human Phenotype Ontology				29 Feb 2016	Disease
HP:0000176			C0432103	Submucous cleft hard palate	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000177			C4025884	Abnormality of upper lip	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000178			C4025883	Abnormality of lower lip	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000179			C1839739	Thick lower lip vermilion	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000180			C0431564	Lobulated tongue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000182			C4025882	Movement abnormality of the tongue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000183			C1853406	Difficulty in tongue movements	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000185			C0432098	Cleft soft palate	Human Phenotype Ontology			119570.0	18 Nov 2021	Disease
HP:0000187			C1857500	Broad alveolar ridges	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000188			C1848977	Short upper lip	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000189			C1398312	Narrow palate	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000190			C4025881	Abnormal oral frenulum morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000191			C4021814	Accessory oral frenulum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000193			C4551488	Bifid uvula	Human Phenotype Ontology			192100.0	18 Nov 2021	Disease
HP:0000194			C0240379	Open mouth	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000196			C1861544	Lower lip pit	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000197			C4025880	Abnormal parotid gland morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000198			C1858569	Absence of Stensen duct	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000199			C0241438	Tongue nodules	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000200			C0426501	Short lingual frenulum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000202			C4021813	Oral cleft	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000204			C0008924	Cleft upper lip	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000205			C1832130	Pursed lips	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000206			C0017675	Glossitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000207			C1849341	Triangular mouth	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000211			C0041105	Trismus	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000212		REST	C0376480	Gingival overgrowth	Human Phenotype Ontology		18 Nov 2021			
HP:0000214			C1857697	Lip telangiectasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000215			C1846423	Thick upper lip vermilion	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000216			C1839276	Broad secondary alveolar ridge	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000217			C0043352	Xerostomia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000218			C0240635	High palate	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000219			C1865017	Thin upper lip vermilion	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000220			C0042454	Velopharyngeal insufficiency	Human Phenotype Ontology			167500.0	26 Jan 2022	Disease
HP:0000221			C0040412	Furrowed tongue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000222			C1857013	Gingival hyperkeratosis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000223			C4025879	Abnormality of taste sensation	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000224			C0151934	Hypogeusia	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000225			C0017565	Gingival bleeding	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000227			C4025878	Tongue telangiectasia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000228			C4025877	Oral cavity telangiectasia	Human Phenotype Ontology				02 Apr 2017	Finding
HP:0000230			C0017574	Gingivitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000232			C1853246	Everted lower lip vermilion	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000233			C0578038	Thin vermilion border	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000234			C4021812	Abnormality of the head	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000235			C4025876	Abnormality of the fontanelles or cranial sutures	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000236			C4025875	Abnormality of the anterior fontanelle	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000237			C1859455	Small anterior fontanelle	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000238		CCDC88C	C0020255	Hydrocephalus	Human Phenotype Ontology		16 Feb 2016			
HP:0000239			C0456132	Large fontanelles	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000240			C4025874	Abnormality of skull size	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000242			C1857126	Parietal bossing	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000243			C0265535	Trigonocephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000244			C1857484	Brachyturricephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000245			C4025873	Abnormal paranasal sinus morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000246			C0037199	Sinusitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000248			C0221356	Brachycephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000250			C1854834	Dense calvaria	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000252			C4551563	Microcephaly	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000253			C1850456	Progressive microcephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000255			C0149512	Acute sinusitis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000260			C1866134	Wide anterior fontanel	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000262			C5399823	Turricephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000263			C4551646	Oxycephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000264			C4025872	Abnormality of the mastoid	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000265			C0024904	Mastoiditis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000267			C1860245	Cranial asymmetry	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000268			C0221358	Dolichocephaly	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000269			C1853737	Prominent occiput	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000270			C0277828	Delayed cranial suture closure	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000271			C4025871	Abnormality of the face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000272			C1858085	Malar flattening	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000273			C0234853	Facial grimacing	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000274			C1855538	Small face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000275			C1837463	Narrow face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000276			C1836047	Long face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000277			C4025870	Abnormal mandible morphology	Human Phenotype Ontology				31 Mar 2022	Finding
HP:0000278			C0035353	Retrognathia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000280			C1845847	Coarse facial features	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000282			C0542571	Facial edema	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000283			C1859680	Broad face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000286			C0678230	Epicanthal fold	Human Phenotype Ontology			131500.0	19 Apr 2022	Disease
HP:0000287			C4025868	Increased facial adipose tissue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000288			C1857045	Abnormality of the philtrum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000289			C1854111	Broad philtrum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000290			C4025867	Abnormality of the forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000291			C4025866	Abnormality of facial adipose tissue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000292			C1837767	Loss of facial adipose tissue	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000293			C1866231	Full cheeks	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000294			C1842366	Low anterior hairline	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000295			C1856361	Doll-like facies	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000297			C1845251	Facial hypotonia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000298			C0424448	Mask-like facies	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000300			C1849025	Oval face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000301			C4025865	Abnormality of facial musculature	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000303			C0399526	Mandibular prognathia	Human Phenotype Ontology			176700.0	16 Feb 2016	Finding
HP:0000306			C4025864	Abnormality of the chin	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000307			C1844505	Pointed chin	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000308			C1839546	Microretrognathia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000309			C4021811	Abnormality of the midface	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000311			C0239479	Round face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000315			C4025863	Abnormality of the orbital region	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000316			C0020534	Hypertelorism	Human Phenotype Ontology			145400.0	16 Feb 2016	Disease
HP:0000317			C0270871	Facial myokymia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000319			C1142533	Smooth philtrum	Human Phenotype Ontology				04 Apr 2018	Finding
HP:0000320			C1837758	Bird-like facies	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000321			C1832127	Square face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000322			C1861324	Short philtrum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000324			C1306710	Facial asymmetry	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000325			C1835884	Triangular face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000326			C4025862	Abnormality of the maxilla	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000327			C0240310	Hypoplasia of the maxilla	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000329			C1861443	Facial hemangioma	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000331			C3697248	Short chin	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000336			C1842060	Prominent supraorbital ridges	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000337			C1849089	Broad forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000338			C0813217	Hypomimic face	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000339			C1846011	Pugilistic facies	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000340			C1857679	Sloping forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000341			C1839758	Narrow forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000343			C1865014	Long philtrum	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000346			C1848473	Whistling appearance	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000347			C0025990	Micrognathia	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000348			C0239676	High forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000349			C1853486	Widow's peak	Human Phenotype Ontology			194000.0	16 Feb 2016	Finding
HP:0000350			C1845250	Small forehead	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000356			C1846460	Abnormality of the outer ear	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000357			C4021810	Abnormal location of ears	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000358			C0431478	Posteriorly rotated ears	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000359			C4021809	Abnormality of the inner ear	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000360			C0040264	Tinnitus	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000362			C0029899	Otosclerosis	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000363			C4021808	Abnormal earlobe morphology	Human Phenotype Ontology				31 Mar 2022	Finding
HP:0000364			C4025860	Hearing abnormality	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000365			C0339789	Congenital deafness	Human Phenotype Ontology				16 Feb 2016	Disease
HP:0000366			C0265736	Abnormality of the nose	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000368			C1857486	Low-set, posteriorly rotated ears	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000369			C0239234	Low-set ears	Human Phenotype Ontology				16 Feb 2016	Finding
