Previous ConceptID	Current ConceptID	Date Of Action
CN074177  	C3150169	01 Jan 2012
CN071819 	C0012236	04 Jan 2012
CN043601	No longer reported	07 Jan 2012
C2930872	C1842870	11 Jan 2012
CN071422	C0268338	12 Jan 2012
CN070804 	C3161174	13 Jan 2012
C2608079	C0750384	13 Jan 2012
CN074285	C0016751	13 Jan 2012
CN074285	C0016751	13 Jan 2012
CN074003	C0268490	13 Jan 2012
C1857424 	C3806255	14 Jan 2012
CN068432 	C0751435	14 Jan 2012
CN120379 	C3280715	14 Jan 2012
CN068437	C0086651	15 Jan 2012
C0030044 	C4551902	15 Jan 2012
CN074160 	C3150942	15 Jan 2012
CN120490 	C0270215	16 Jan 2012
CN120493 	C1868720	17 Jan 2012
CN069942	C1868111	18 Jan 2012
C1867610 	C0085261	20 Jan 2012
CN074231 	C2931042	25 Jan 2012
CN120582 	C0152419	25 Jan 2012
CN069657 	C2936858	25 Jan 2012
CN068576 	C1856304	05 Feb 2012
CN121477	C1859317	19 Feb 2012
CN121782	C4012454	19 Feb 2012
CN031586	No longer reported	19 Feb 2012
C1854443	C0153594	19 Feb 2012
CN077589	C2931008	23 Feb 2012
C2676677	C2676676	24 Feb 2012
C2675521	C2675520	24 Feb 2012
C1853800	CN033288	27 Feb 2012
CN074153 	C3150896	29 Feb 2012
CN034270 	C0796238	04 Mar 2012
CN121472	No longer reported	11 Mar 2012
CN077970 	C2674941	11 Mar 2012
CN122546 	C3281105	15 Mar 2012
CN074255	C4049650	29 Mar 2012
CN074250 	C2931482	20 Apr 2012
CN123717	No longer reported	22 Apr 2012
CN121947 	C3281027	24 Apr 2012
CN123902 	C5542829	30 Apr 2012
CN123920	CN078017	05 May 2012
CN123919	CN077995	05 May 2012
C1845569	C5399971	06 May 2012
C1864970	C1862177	06 May 2012
C0795793	C1835265	06 May 2012
C2676454	C1864445	06 May 2012
C1854586	C1849718	06 May 2012
C2675208	C1841837	06 May 2012
C2675213	C5234852	06 May 2012
CN068428	C4692546	08 May 2012
CN068440	C2713442	08 May 2012
CN068441	C0017097	08 May 2012
CN068645	C4551864	08 May 2012
CN069553	C0008533	08 May 2012
CN070122	No longer reported	08 May 2012
CN070166	C1841621	08 May 2012
CN068399	No longer reported	08 May 2012
CN068797	No longer reported	08 May 2012
CN069298	No longer reported	08 May 2012
CN069328	No longer reported	08 May 2012
CN077588	C0268601	09 May 2012
CN077614 	C3151405	09 May 2012
CN077683 	C4310803	09 May 2012
CN121479 	C3148929	10 May 2012
CN123926	No longer reported	10 May 2012
C0268357	C0023931	11 May 2012
CN074194 	C0221054	11 May 2012
C1842024	C1869115	11 May 2012
C0403556	C0403557	12 May 2012
C1970878	C1845861	12 May 2012
C1833907	C4551774	12 May 2012
C1838257	C0917715	12 May 2012
CN124885 	No longer reported	15 May 2012
CN035360	C1858479	16 May 2012
CN069387	C3714753	16 May 2012
CN074269	C0342394	17 May 2012
CN074316 	C0268490	17 May 2012
CN120504 	C0268634	18 May 2012
CN074200	C1969443	18 May 2012
C1829844 	C1263739	18 May 2012
