DiseaseID	GeneID  AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	DiseaseMIM	LastUpdated
OMIM:106300	HLA-B		C1862852	Spondyloarthropathy, susceptibility to, 1	OMIM	106300.0	Jun  8 2021
OMIM:111150	KLF1		C1292231	BLOOD GROUP--LUTHERAN INHIBITOR	OMIM	111150.0	Feb 16 2016
OMIM:111200	BCAM		C0024171	BLOOD GROUP--LUTHERAN SYSTEM	OMIM	111200.0	Feb 16 2016
OMIM:111300	GYPA		C0026327	BLOOD GROUP, MN	OMIM	111300.0	Mar 30 2018
OMIM:111380	BSG		C1862209	BLOOD GROUP--OK	OMIM	111380.0	Feb 16 2016
OMIM:111740	GYPB		C4551874	BLOOD GROUP, Ss	OMIM	111740.0	Mar 30 2018
OMIM:112010	SLC4A1		C1862191	BLOOD GROUP--WALDNER TYPE	OMIM	112010.0	Feb 16 2016
OMIM:112050	SLC4A1		C1862190	BLOOD GROUP--WRIGHT ANTIGEN	OMIM	112050.0	Feb 16 2016
OMIM:179620	CD151		C1867341	RAPH BLOOD GROUP SYSTEM	OMIM	179620.0	Feb 16 2016
OMIM:226400	TMC6		C4722564	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 1	OMIM	226400.0	Jan 27 2020
OMIM:228520	COL11A1		C3278138	Fibrochondrogenesis 1	OMIM	228520.0	Nov 16 2019
OMIM:262890	ANO6		C0796149	SCOTT SYNDROME	OMIM	262890.0	May  9 2016
OMIM:265100	SLC34A2		C0155912	PULMONARY ALVEOLAR MICROLITHIASIS	OMIM	265100.0	May 26 2016
OMIM:272120	SCN5A		C0038644	SUDDEN INFANT DEATH SYNDROME	OMIM	272120.0	May 25 2016
OMIM:278800	ERCC6		C0265201	DE SANCTIS-CACCHIONE SYNDROME	OMIM	278800.0	May 13 2016
OMIM:301066	TFE3		CN301092	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, WITH PIGMENTARY MOSAICISM AND COARSE FACIES	OMIM	301066.0	Oct 28 2021
OMIM:301072	PIGA		CN307964	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND HEMOCHROMATOSIS	OMIM	301072.0	Apr  7 2022
OMIM:301074	ELF4		CN307999	AUTOINFLAMMATORY SYNDROME, FAMILIAL, X-LINKED, BEHCET-LIKE 2	OMIM	301074.0	Apr 10 2022
OMIM:301076	GLRA2		CN308206	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, PILORGE TYPE	OMIM	301076.0	Apr 16 2022
OMIM:301077	GCNA		CN308093	SPERMATOGENIC FAILURE, X-LINKED, 4	OMIM	301077.0	Apr 13 2022
OMIM:309585	LAS1L		C1839736	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, WILSON-TURNER TYPE	OMIM	309585.0	Mar 29 2022
OMIM:601550	SLC4A1		C1832169	BLOOD GROUP--SWANN SYSTEM	OMIM	601550.0	Feb 16 2016
OMIM:601551	SLC4A1		C1832168	BLOOD GROUP--FROESE	OMIM	601551.0	Feb 16 2016
OMIM:601606	CYLD		CN296585	Trichoepithelioma, multiple familial, 1	OMIM	601606.0	May  7 2021
OMIM:602588	EYA1		C1865143	Branchiootic syndrome 1	OMIM	602588.0	Feb 22 2021
OMIM:607457	AQP3		C1843889	GIL BLOOD GROUP	OMIM	607457.0	Feb 16 2016
OMIM:607486	CR1		C1292327	KNOPS BLOOD GROUP SYSTEM	OMIM	607486.0	Feb 16 2016
OMIM:609027	CD44		C1292298	INDIAN BLOOD GROUP SYSTEM	OMIM	609027.0	Feb 16 2016
