DiseaseID	DiseaseName	SourceName	ConceptID	a	LastModified	Category
HP:0000002	Abnormality of body height	Human Phenotype Ontology	C4025901		16 Feb 2016	Finding
HP:0000003	Multicystic kidney dysplasia	Human Phenotype Ontology	C3714581		16 Feb 2016	Finding
HP:0000005	Mode of inheritance	Human Phenotype Ontology	C1708511		18 Nov 2021	Finding
HP:0000008	Abnormal morphology of female internal genitalia	Human Phenotype Ontology	C4025900		18 Nov 2021	Finding
HP:0000009	Functional abnormality of the bladder	Human Phenotype Ontology	C3806583		16 Feb 2016	Finding
HP:0000010	Recurrent urinary tract infections	Human Phenotype Ontology	C0262655		16 Feb 2016	Finding
HP:0000011	Neurogenic bladder	Human Phenotype Ontology	C0005697		16 Feb 2016	Finding
HP:0000012	Urinary urgency	Human Phenotype Ontology	C0085606		16 Feb 2016	Finding
HP:0000014	Abnormality of the bladder	Human Phenotype Ontology	C0149632		16 Feb 2016	Finding
HP:0000016	Urinary retention	Human Phenotype Ontology	C0080274		16 Feb 2016	Finding
HP:0000017	Nocturia	Human Phenotype Ontology	C0028734		16 Feb 2016	Finding
HP:0000019	Urinary hesitancy	Human Phenotype Ontology	C0152032		16 Feb 2016	Finding
HP:0000020	Urinary incontinence	Human Phenotype Ontology	C0042024		16 Feb 2016	Finding
HP:0000021	Megacystis	Human Phenotype Ontology	C1855311		16 Feb 2016	Finding
HP:0000022	Abnormality of male internal genitalia	Human Phenotype Ontology	C4025899		16 Feb 2016	Finding
HP:0000023	Inguinal hernia	Human Phenotype Ontology	C0019294		16 Feb 2016	Finding
HP:0000024	Prostatitis	Human Phenotype Ontology	C0033581		16 Feb 2016	Finding
HP:0000025	Functional abnormality of male internal genitalia	Human Phenotype Ontology	C4025898		16 Feb 2016	Finding
HP:0000026	Male hypogonadism	Human Phenotype Ontology	C0151721	241100.0	16 Feb 2016	Disease
HP:0000027	Azoospermia	Human Phenotype Ontology	C0004509		16 Feb 2016	Disease
HP:0000028	Cryptorchidism	Human Phenotype Ontology	C0010417	219050.0	04 Apr 2018	Disease
HP:0000029	Testicular atrophy	Human Phenotype Ontology	C0156312		16 Feb 2016	Finding
HP:0000030	Testicular gonadoblastoma	Human Phenotype Ontology	C1515283		16 Feb 2016	Finding
HP:0000031	Epididymitis	Human Phenotype Ontology	C0014534		16 Feb 2016	Infectious disease
HP:0000032	Abnormality of male external genitalia	Human Phenotype Ontology	C4025897		16 Feb 2016	Finding
HP:0000033	Ambiguous genitalia, male	Human Phenotype Ontology	C4021823		16 Feb 2016	Finding
HP:0000034	Hydrocele testis	Human Phenotype Ontology	C1720771		16 Feb 2016	Finding
HP:0000035	Abnormal testis morphology	Human Phenotype Ontology	C4759656		18 Nov 2021	Finding
HP:0000036	Abnormal penis morphology	Human Phenotype Ontology	C4025896		18 Nov 2021	Finding
HP:0000037	Male pseudohermaphroditism	Human Phenotype Ontology	C0238395		16 Feb 2016	Finding
HP:0000040	Long penis	Human Phenotype Ontology	C0269011		16 Feb 2016	Finding
HP:0000041	Chordee	Human Phenotype Ontology	C0221182		16 Feb 2016	Finding
HP:0000042	Absent external genitalia	Human Phenotype Ontology	C1848869		16 Feb 2016	Finding
HP:0000045	Abnormality of the scrotum	Human Phenotype Ontology	C4025895		16 Feb 2016	Finding
HP:0000046	Scrotal hypoplasia	Human Phenotype Ontology	C0431659		16 Feb 2016	Finding
HP:0000048	Bifid scrotum	Human Phenotype Ontology	C0341787		16 Feb 2016	Finding
HP:0000049	Shawl scrotum	Human Phenotype Ontology	C1858539		16 Feb 2016	Finding
HP:0000050	Hypoplastic male external genitalia	Human Phenotype Ontology	C1852534		16 Feb 2016	Finding
HP:0000051	Perineal hypospadias	Human Phenotype Ontology	C0452148		16 Feb 2016	Finding
HP:0000052	Urethral atresia, male	Human Phenotype Ontology	C4025894		16 Feb 2016	Finding
HP:0000053	Macroorchidism	Human Phenotype Ontology	C1263023		16 Feb 2016	Finding
HP:0000054	Micropenis	Human Phenotype Ontology	C4551492		16 Feb 2016	Finding
HP:0000055	Abnormality of female external genitalia	Human Phenotype Ontology	C4021822		16 Feb 2016	Finding
HP:0000056	Abnormality of the clitoris	Human Phenotype Ontology	C4025893		16 Feb 2016	Finding
HP:0000058	Abnormal labia morphology	Human Phenotype Ontology	C4025892		18 Nov 2021	Finding
HP:0000059	Hypoplastic labia majora	Human Phenotype Ontology	C0566899		16 Feb 2016	Finding
HP:0000060	Clitoral hypoplasia	Human Phenotype Ontology	C1844527		16 Feb 2016	Finding
HP:0000061	Ambiguous genitalia, female	Human Phenotype Ontology	C4025891		16 Feb 2016	Finding
HP:0000062	Ambiguous genitalia	Human Phenotype Ontology	C0266362		16 Feb 2016	Disease
HP:0000063	Fused labia minora	Human Phenotype Ontology	C1837532		16 Feb 2016	Finding
HP:0000064	Hypoplastic labia minora	Human Phenotype Ontology	C1849295		16 Feb 2016	Finding
HP:0000065	Labial hypertrophy	Human Phenotype Ontology	C0404531		16 Feb 2016	Finding
HP:0000066	Labial hypoplasia	Human Phenotype Ontology	C1850325		16 Feb 2016	Finding
HP:0000067	Urethral atresia, female	Human Phenotype Ontology	C4025890		16 Feb 2016	Finding
HP:0000068	Urethral atresia	Human Phenotype Ontology	C1610065		16 Feb 2016	Finding
HP:0000069	Abnormality of the ureter	Human Phenotype Ontology	C1840382		16 Feb 2016	Finding
HP:0000070	Ureterocele	Human Phenotype Ontology	C0041960	191650.0	16 Feb 2016	Disease
HP:0000071	Ureteral stenosis	Human Phenotype Ontology	C0521618		16 Feb 2016	Finding
HP:0000072	Hydroureter	Human Phenotype Ontology	C0521620		16 Feb 2016	Finding
HP:0000073	Ureteral duplication	Human Phenotype Ontology	C0221365		16 Feb 2016	Finding
HP:0000074	Ureteropelvic junction obstruction	Human Phenotype Ontology	C0521619		16 Feb 2016	Finding
HP:0000075	Renal duplication	Human Phenotype Ontology	C0266298		16 Feb 2016	Finding
HP:0000076	Vesicoureteral reflux	Human Phenotype Ontology	C0042580		16 Feb 2016	Disease
HP:0000077	Abnormality of the kidney	Human Phenotype Ontology	C0266292		16 Feb 2016	Finding
HP:0000078	Abnormality of the genital system	Human Phenotype Ontology	C0744356		16 Feb 2016	Finding
HP:0000079	Abnormality of the urinary system	Human Phenotype Ontology	C4021821		16 Feb 2016	Finding
HP:0000080	Abnormality of reproductive system physiology	Human Phenotype Ontology	C4021820		16 Feb 2016	Finding
HP:0000081	Duplicated collecting system	Human Phenotype Ontology	C1858565		16 Feb 2016	Finding
HP:0000083	Renal insufficiency	Human Phenotype Ontology	C1565489		16 Feb 2016	Finding
HP:0000085	Horseshoe kidney	Human Phenotype Ontology	C0221353		16 Feb 2016	Finding
HP:0000086	Ectopic kidney	Human Phenotype Ontology	C0238207		16 Feb 2016	Finding
HP:0000090	Nephronophthisis	Human Phenotype Ontology	C0687120		16 Feb 2016	Disease
HP:0000091	Abnormal renal tubule morphology	Human Phenotype Ontology	C4021826		18 Nov 2021	Finding
HP:0000092	Renal tubular atrophy	Human Phenotype Ontology	C1858395		23 Nov 2021	Finding
HP:0000093	Proteinuria	Human Phenotype Ontology	C0033687		16 Feb 2016	Finding
HP:0000095	Abnormal renal glomerulus morphology	Human Phenotype Ontology	C4025889		18 Nov 2021	Finding
HP:0000096	Glomerular sclerosis	Human Phenotype Ontology	C0178664		18 Nov 2021	Finding
HP:0000097	Focal segmental glomerulosclerosis	Human Phenotype Ontology	C0017668		16 Feb 2016	Finding
HP:0000098	Tall stature	Human Phenotype Ontology	C0241240		16 Feb 2016	Finding
HP:0000099	Glomerulonephritis	Human Phenotype Ontology	C0017658		01 Sep 2021	Disease
HP:0000100	Nephrosis	Human Phenotype Ontology	C0027720		22 Jan 2021	Disease
HP:0000103	Polyuria	Human Phenotype Ontology	C0032617		16 Feb 2016	Finding
HP:0000104	Renal agenesis	Human Phenotype Ontology	C0542519		16 Feb 2016	Finding
HP:0000105	Enlarged kidney	Human Phenotype Ontology	C0542518		02 Apr 2017	Finding
HP:0000107	Renal cyst	Human Phenotype Ontology	C3887499		16 Feb 2016	Finding
HP:0000108	Renal corticomedullary cysts	Human Phenotype Ontology	C1968619		16 Feb 2016	Finding
HP:0000110	Renal dysplasia	Human Phenotype Ontology	C3536714		19 Nov 2021	Disease
