DiseaseID	DiseaseName	SourceName	SourceID
UMLS:C0000727	Acute abdomen	Human Phenotype Ontology	HP:0033400
UMLS:C0000729	Abdominal cramps	Human Phenotype Ontology	HP:0032155
UMLS:C0000731	Abdominal distention	Human Phenotype Ontology	HP:0003270
UMLS:C0000734	Abdominal mass	Human Phenotype Ontology	HP:0031500
UMLS:C0000737	Abdominal pain	Human Phenotype Ontology	HP:0002027
UMLS:C0000744	Abetalipoproteinaemia		
UMLS:C0000765	excessive weight gain		
UMLS:C0000768	Congenital abnormality	MONDO	MONDO:0000839
UMLS:C0000772	Multiple congenital anomalies		
UMLS:C0000774	Gastrin secretion abnormality	MONDO	MONDO:0001770
UMLS:C0000778	ABO blood group system		
UMLS:C0000820	Therapeutic abortion	Human Phenotype Ontology	HP:0030449
UMLS:C0000832	Placental abruption	MONDO	MONDO:0004846
UMLS:C0000833	Abscess	MONDO	MONDO:0005227
UMLS:C0000880	Acanthamoeba keratitis	MONDO	MONDO:0005629
UMLS:C0000887	Acantholysis	Human Phenotype Ontology	HP:0100792
UMLS:C0000889	Acanthosis nigricans	MONDO	MONDO:0007035
UMLS:C0001075	Achlorhydria	MONDO	MONDO:0043465
UMLS:C0001079	Achondrogenesis	MONDO	MONDO:0019648
UMLS:C0001080	Achondroplasia	MONDO	MONDO:0007037
UMLS:C0001118	Abnormality of acid-base homeostasis	Human Phenotype Ontology	HP:0004360
UMLS:C0001122	Acidosis	Human Phenotype Ontology	HP:0001941
UMLS:C0001125	Lactic acidosis	MONDO	MONDO:0006040
UMLS:C0001126	Renal tubular acidosis	MONDO	MONDO:0001909
UMLS:C0001127	Respiratory acidosis	Human Phenotype Ontology	HP:0005972
UMLS:C0001139	Acinetobacter infectious disease	MONDO	MONDO:0006635
UMLS:C0001145	Acne keloid	MONDO	MONDO:0043468
UMLS:C0001163	Vestibulocochlear nerve disorder	MONDO	MONDO:0001563
UMLS:C0001169	Acquired coagulation factor deficiency	MONDO	MONDO:0020599
UMLS:C0001175	AIDS	MONDO	MONDO:0012268
UMLS:C0001193	Acrocephalosyndactyly type I		
UMLS:C0001197	Acrodermatitis	MONDO	MONDO:0006523
UMLS:C0001202	Acrokeratosis	Human Phenotype Ontology	HP:0200016
UMLS:C0001206	Acromegaly	MONDO	MONDO:0019933
UMLS:C0001231	Ectopic ACTH secretion syndrome	MONDO	MONDO:0043472
UMLS:C0001255	Actinomycetales infectious disease	MONDO	MONDO:0006921
UMLS:C0001261	Actinomycotic infection		
UMLS:C0001264	Cervicofacial actinomycosis	MONDO	MONDO:0005699
UMLS:C0001309	Angelucci syndrome	MONDO	MONDO:0001224
UMLS:C0001311	Acute bronchiolitis	MONDO	MONDO:0020680
UMLS:C0001314	Acute disease	MONDO	MONDO:0020683
UMLS:C0001327	Acute laryngitis	MONDO	MONDO:0004777
UMLS:C0001339	Acute pancreatitis	MONDO	MONDO:0006515
UMLS:C0001342	Acute pericementitis	MONDO	MONDO:0001028
UMLS:C0001344	Acute pharyngitis	MONDO	MONDO:0020600
UMLS:C0001349	Acute phase response	Human Phenotype Ontology	HP:0033331
UMLS:C0001360	Acute thyroiditis	MONDO	MONDO:0001949
UMLS:C0001361	Acute tonsillitis	MONDO	MONDO:0020686
UMLS:C0001363	Acute intestinal ischemia	MONDO	MONDO:0004613
UMLS:C0001396	Adams-Stokes syndrome	MONDO	MONDO:0043475
UMLS:C0001403	Primary adrenocortical insufficiency		
UMLS:C0001418	Adenocarcinoma	MONDO	MONDO:0004970
UMLS:C0001420	Papillary adenocarcinoma	MONDO	MONDO:0002512
UMLS:C0001422	Adenofibroma	MONDO	MONDO:0006071
UMLS:C0001427	Adenoiditis	MONDO	MONDO:0000261
UMLS:C0001429	Warthin tumor	MONDO	MONDO:0006493
UMLS:C0001430	Adenoma	MONDO	MONDO:0004972
UMLS:C0001431	Pituitary gland basophil adenoma	MONDO	MONDO:0006673
UMLS:C0001432	Chromophobe adenoma	MONDO	MONDO:0006701
UMLS:C0001433	Pituitary gland acidophil adenoma	MONDO	MONDO:0006634
UMLS:C0001442	Adenosarcoma	MONDO	MONDO:0005636
UMLS:C0001486	Adenoviridae infectious disease	MONDO	MONDO:0043479
UMLS:C0001519	Holmes-Adie syndrome	MONDO	MONDO:0018690
UMLS:C0001529	Lipomatosis dolorosa		
UMLS:C0001539	adjustment disorder with depressed mood		
UMLS:C0001541	adjustment disorder with mixed disturbance of emotions and conduct		
UMLS:C0001546	adjustment disorder		
UMLS:C0001614	Adrenal cortex disorder	MONDO	MONDO:0002816
UMLS:C0001618	Neoplasm of the adrenal cortex	Human Phenotype Ontology	HP:0100641
UMLS:C0001622	Hypercortisolism	Human Phenotype Ontology	HP:0003118
UMLS:C0001623	Adrenal insufficiency	Human Phenotype Ontology	HP:0000846
UMLS:C0001624	Neoplasm of the adrenal gland	Human Phenotype Ontology	HP:0100631
UMLS:C0001627	Congenital adrenal hyperplasia	MONDO	MONDO:0018479
UMLS:C0001630	Adrenal rest tumor	MONDO	MONDO:0002110
UMLS:C0001727	Afferent loop syndrome	MONDO	MONDO:0006641
UMLS:C0001733	Afibrinogenemia	NCBI curation	
UMLS:C0001768	Agammaglobulinemia	MONDO	MONDO:0015977
UMLS:C0001807	Aggressive behavior	Human Phenotype Ontology	HP:0000718
UMLS:C0001811	Aging		
UMLS:C0001815	Myelofibrosis	MONDO	MONDO:0044903
UMLS:C0001816	Agnosia	MONDO	MONDO:0005638
UMLS:C0001818	Agoraphobia	MONDO	MONDO:0003709
UMLS:C0001824	Agranulocytosis	MONDO	MONDO:0001609
UMLS:C0001825	Agraphia	MONDO	MONDO:0000716
UMLS:C0001849	Dementia associated with AIDS		
UMLS:C0001857	AIDS related complex	MONDO	MONDO:0005639
UMLS:C0001860	Ainhum	MONDO	MONDO:0007074
UMLS:C0001883	Airway obstruction	Human Phenotype Ontology	HP:0006536
UMLS:C0001889	Akinetic mutism	MONDO	MONDO:0005640
UMLS:C0001906	Variola minor infection	MONDO	MONDO:0004720
UMLS:C0001916	Albinism	MONDO	MONDO:0043209
UMLS:C0001925	Albuminuria	Human Phenotype Ontology	HP:0012592
UMLS:C0001940	Alcohol amnestic disorder	MONDO	MONDO:0021702
UMLS:C0001957	Alcohol withdrawal delirium	MONDO	MONDO:0006642
UMLS:C0001973	Alcohol dependence	MONDO	MONDO:0007079
