DiseaseID	a	b	DiseaseName	c	d	link
DOID:9643	18S_rRNA	18S_rRNA	Babesiosis	7.16	3.58	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
DOID:1733	18S_rRNA	18S_rRNA	Cryptosporidiosis	6.046	3.023	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1733
DOID:12365	18S_rRNA	18S_rRNA	Malaria	6.001	3.0	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:12365
DOID:9640	18S_rRNA	18S_rRNA	Sarcocystosis	5.987	2.994	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9640
DOID:3733	18S_rRNA	18S_rRNA	Theileriasis	5.971	2.986	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:3733
DOID:162	18S_rRNA	18S_rRNA	Cancer	5.489	2.744	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:162
DOID:0050242	18S_rRNA	18S_rRNA	Primary amebic meningoencephalitis	5.153	2.576	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0050242
DOID:4109	18S_rRNA	18S_rRNA	Tick infestation	4.851	2.425	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:4109
DOID:850	18S_rRNA	18S_rRNA	Lung disease	4.805	2.402	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:850
DOID:9351	18S_rRNA	18S_rRNA	Diabetes mellitus	4.751	2.376	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9351
DOID:409	18S_rRNA	18S_rRNA	Liver disease	4.713	2.356	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:409
DOID:2355	18S_rRNA	18S_rRNA	Anemia	4.674	2.337	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2355
DOID:3463	18S_rRNA	18S_rRNA	Breast disease	4.643	2.322	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:3463
DOID:13250	18S_rRNA	18S_rRNA	Diarrhea	4.614	2.307	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:13250
DOID:4677	18S_rRNA	18S_rRNA	Keratitis	4.588	2.294	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:4677
DOID:936	18S_rRNA	18S_rRNA	Brain disease	4.571	2.285	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:936
DOID:9970	18S_rRNA	18S_rRNA	Obesity	4.515	2.258	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9970
DOID:12750	18S_rRNA	18S_rRNA	Cyclosporiasis	4.506	2.253	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:12750
DOID:417	18S_rRNA	18S_rRNA	Autoimmune disease	4.403	2.201	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:417
DOID:37	18S_rRNA	18S_rRNA	Skin disease	4.401	2.201	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:37
DOID:557	18S_rRNA	18S_rRNA	Kidney disease	4.265	2.132	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:557
DOID:1289	18S_rRNA	18S_rRNA	Neurodegenerative disease	4.242	2.121	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1289
DOID:75	18S_rRNA	18S_rRNA	Lymphatic system disease	4.196	2.098	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:75
DOID:9065	18S_rRNA	18S_rRNA	Leishmaniasis	4.152	2.076	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9065
DOID:883	18S_rRNA	18S_rRNA	Parasitic helminthiasis infectious disease	4.067	2.034	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:883
DOID:848	18S_rRNA	18S_rRNA	Arthritis	4.06	2.03	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:848
DOID:10763	18S_rRNA	18S_rRNA	Hypertension	4.013	2.006	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10763
DOID:5353	18S_rRNA	18S_rRNA	Colonic disease	4.002	2.001	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:5353
DOID:47	18S_rRNA	18S_rRNA	Prostate disease	3.991	1.996	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:47
DOID:10242	18S_rRNA	18S_rRNA	Ehrlichiosis	3.979	1.989	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10242
DOID:114	18S_rRNA	18S_rRNA	Heart disease	3.859	1.93	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:114
DOID:4195	18S_rRNA	18S_rRNA	Hyperglycemia	3.859	1.93	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:4195
DOID:13564	18S_rRNA	18S_rRNA	Aspergillosis	3.853	1.927	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:13564
DOID:1100	18S_rRNA	18S_rRNA	Ovarian disease	3.852	1.926	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1100
DOID:8469	18S_rRNA	18S_rRNA	Influenza	3.849	1.924	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:8469
DOID:1936	18S_rRNA	18S_rRNA	Atherosclerosis	3.843	1.921	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1936
DOID:0050589	18S_rRNA	18S_rRNA	Inflammatory bowel disease	3.84	1.92	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0050589
DOID:12140	18S_rRNA	18S_rRNA	Chagas disease	3.822	1.911	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:12140
DOID:946	18S_rRNA	18S_rRNA	Dientamoebiasis	3.821	1.911	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:946
DOID:635	18S_rRNA	18S_rRNA	Acquired immunodeficiency syndrome	3.819	1.909	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:635
DOID:345	18S_rRNA	18S_rRNA	Uterine disease	3.751	1.876	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:345
DOID:10718	18S_rRNA	18S_rRNA	Giardiasis	3.746	1.873	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10718
DOID:76	18S_rRNA	18S_rRNA	Stomach disease	3.72	1.86	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:76
DOID:1947	18S_rRNA	18S_rRNA	Trichomoniasis	3.69	1.845	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1947
