DiseaseID	DiseaseName
AmyCo:16	Localized insulin-derived Amyloidosis
AmyCo:17	Apolipoprotein A-I associated Amyloidosis
AmyCo:19	Hereditary fibrinogen A alpha-chain Amyloidosis
AmyCo:20	Hereditary lysozyme Amyloidosis
AmyCo:22	Apolipoprotein A-II associated Amyloidosis
AmyCo:23	AH Amyloidosis
AmyCo:24	AHL Amyloidosis
AmyCo:25	Apolipoprotein C-II associated Amyloidosis
AmyCo:26	Apolipoprotein C-III associated Amyloidosis
AmyCo:27	Leukocyte chemotactic factor 2 Amyloidosis
AmyCo:28	Apolipoprotein A-IV associated Amyloidosis
AmyCo:29	AA Amyloidosis
AmyCo:30	Wild-type transthyretin-related Amyloidosis
AmyCo:33	Wild type beta-2-microglobulin-related Amyloidosis
AmyCo:35	Calcifying Epithelial Odontogenic Tumor
AmyCo:36	Variably Protease-Sensitive Prionopathy
AmyCo:37	Isolated Atrial Amyloidosis
AmyCo:40	Medin Amyloidosis
AmyCo:63	Enfuvirtide-induced Amyloidosis
AmyCo:67	PrP Systemic Amyloidosis
AmyCo:73	Senile Seminal Vesicle Amyloidosis
AmyCo:75	Hereditary beta-2-microglobulin-related Amyloidosis
AmyCo:8	Immunoglobulin Light-chain Amyloidosis
DOID:0001816	Angiosarcoma
DOID:0002116	Pterygium
DOID:0014667	Disease of metabolism
DOID:0040001	Shrimp allergy
DOID:0040002	Aspirin allergy
DOID:0040003	Benzylpenicillin allergy
DOID:0040004	Amoxicillin allergy
DOID:0040005	Ceftriaxone allergy
DOID:0040006	Carbamazepine allergy
DOID:0040007	Abacavir allergy
DOID:0040008	Isoniazide allergy
DOID:0040009	Lidocaine allergy
DOID:0040012	Phenytoin allergy
DOID:0040014	Corticosteroid allergy
DOID:0040015	Sulfonamide allergy
DOID:0040016	Sulfamethoxazole allergy
DOID:0040018	Thiopental allergy
DOID:0040021	Cephalosporin allergy
DOID:0040023	Cefaclor allergy
DOID:0040024	Ceftazidime allergy
DOID:0040025	Cefuroxime allergy
DOID:0040026	Chlorhexidine allergy
DOID:0040029	Trimethoprim allergy
DOID:0040031	Diclofenac allergy
DOID:0040032	Carbapenem allergy
DOID:0040034	Rocuronium allergy
DOID:0040037	Aztreonam allergy
DOID:0040046	Nickel allergic contact dermatitis
DOID:0040055	Palladium allergic contact dermatitis
DOID:0040056	Chromium allergic contact dermatitis
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis
DOID:0040062	Chloramine T respiratory allergy
DOID:0040066	Melphalan allergy
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis
DOID:0040070	co-trimoxazole allergy
DOID:0040082	Oxirane allergy
DOID:0040085	Bacterial sepsis
DOID:0040086	Polyomavirus-associated nephropathy
DOID:0040087	Autoimmune peripheral neuropathy
DOID:0040088	Autoimmune uveitis
DOID:0040089	Autoimmune optic neuritis
DOID:0040090	Autoimmune gastritis
DOID:0040091	Autoimmune pancreatitis
DOID:0040092	Juvenile ankylosing spondylitis
DOID:0040093	drug-induced lupus erythematosus
DOID:0040094	Autoimmune glomerulonephritis
DOID:0040095	Autoimmune cardiomyopathy
DOID:0040096	Autoimmune atherosclerosis
DOID:0040097	Autoimmune vasculitis
DOID:0040099	Livedoid vasculitis
DOID:0040100	Hirata disease
DOID:0050012	Chikungunya
DOID:0050013	Carbohydrate metabolism disease
DOID:0050025	Human granulocytic anaplasmosis
DOID:0050026	Human monocytic ehrlichiosis
DOID:0050032	Mineral metabolism disease
DOID:0050035	African tick-bite fever
DOID:0050041	Astrakhan spotted fever
DOID:0050042	Indian tick typhus
DOID:0050043	Israeli tick typhus
DOID:0050046	Far Eastern spotted fever
DOID:0050047	Flinders Island spotted fever
DOID:0050050	Japanese spotted fever
DOID:0050052	Rocky Mountain spotted fever
DOID:0050059	Oropharyngeal anthrax
DOID:0050061	Erysipeloid
DOID:0050072	Adiaspiromycosis
DOID:0050073	Invasive aspergillosis
DOID:0050083	Keshan disease
DOID:0050096	Tinea barbae
DOID:0050116	Tinea imbricata
DOID:0050117	Disease by infectious agent
DOID:0050118	La Crosse encephalitis
DOID:0050120	Hemophagocytic lymphohistiocytosis
DOID:0050125	Dengue shock syndrome
DOID:0050127	Sinusitis
DOID:0050129	Secretory diarrhea
DOID:0050130	Osmotic diarrhea
DOID:0050131	motility-related diarrhea
DOID:0050132	Inflammatory diarrhea
DOID:0050133	Superficial mycosis
DOID:0050134	Cutaneous mycosis
DOID:0050135	Subcutaneous mycosis
DOID:0050136	Systemic mycosis
DOID:0050138	Podoconiosis
DOID:0050140	Acute diarrhea
DOID:0050141	Intestinal botulism
DOID:0050143	Asymptomatic dengue
DOID:0050144	Kartagener syndrome
DOID:0050145	Adenoiditis
DOID:0050147	Otomycosis
DOID:0050148	Laryngotracheitis
DOID:0050150	Pontiac fever
DOID:0050152	Aspiration pneumonia
DOID:0050153	Pulmonary aspergilloma
DOID:0050155	Sensory system disease
DOID:0050156	Idiopathic pulmonary fibrosis
DOID:0050157	Cryptogenic organizing pneumonia
DOID:0050158	Desquamative interstitial pneumonia
DOID:0050159	Lymphoid interstitial pneumonia
DOID:0050160	Inhalation anthrax
