diseaseId	name	vocabulary	code	vocabularyName
UMLS:C0018923	Hemangiosarcoma	DO	0001816	angiosarcoma
UMLS:C0854893	Angiosarcoma non-metastatic	DO	0001816	angiosarcoma
UMLS:C0033999	Pterygium	DO	0002116	pterygium
UMLS:C0025517	Metabolic Diseases	DO	0014667	disease of metabolism
UMLS:C0155862	Streptococcal pneumonia	DO	0040084	Streptococcus pneumonia
UMLS:C0243026	Sepsis	DO	0040085	bacterial sepsis
UMLS:C1697878	BK virus nephropathy	DO	0040086	Polyomavirus-associated nephropathy
UMLS:C2609129	Autoimmune pancreatitis	DO	0040091	autoimmune pancreatitis
UMLS:C0409675	Juvenile ankylosing spondylitis	DO	0040092	juvenile ankylosing spondylitis
UMLS:C1328843	Autoimmune vasculitis	DO	0040097	autoimmune vasculitis
UMLS:C0019343	Pemphigoid Gestationis	DO	0040098	pemphigus gestationis
UMLS:C0162819	Skin Diseases, Vascular	DO	0040099	livedoid vasculitis
UMLS:C0343081	Livedoid vasculitis	DO	0040099	livedoid vasculitis
UMLS:C0854359	Insulin autoimmune syndrome	DO	0040100	Hirata disease
UMLS:C0008055	Chikungunya Fever	DO	0050012	chikungunya
UMLS:C0035793	Rocky Mountain Spotted Fever	DO	0050052	Rocky Mountain spotted fever
UMLS:C0268095	Keshan disease	DO	0050083	Keshan disease
UMLS:C0276379	La Crosse Encephalitis	DO	0050118	La Crosse encephalitis
UMLS:C0272199	Familial Hemophagocytic Lymphocytosis	DO	0050120	hemophagocytic lymphohistiocytosis
UMLS:C0024291	Lymphohistiocytosis, Hemophagocytic	DO	0050120	hemophagocytic lymphohistiocytosis
UMLS:C3887558	Hemophagocytic Syndrome	DO	0050120	hemophagocytic lymphohistiocytosis
UMLS:C0037199	Sinusitis	DO	0050127	sinusitis
UMLS:C0040247	Tinea	DO	0050133	superficial mycosis
UMLS:C0011630	Dermatomycoses	DO	0050133	superficial mycosis
UMLS:C0011636	Dermatophytosis	DO	0050133	superficial mycosis
UMLS:C0013882	Elephantiasis	DO	0050138	podoconiosis
UMLS:C0022521	Kartagener Syndrome	DO	0050144	Kartagener syndrome
UMLS:C4551906	Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus	DO	0050144	Kartagener syndrome
UMLS:C0396023	Chronic adenoiditis	DO	0050145	adenoiditis
UMLS:C0023076	Laryngotracheitis	DO	0050148	laryngotracheitis
UMLS:C0032290	Aspiration Pneumonia	DO	0050152	aspiration pneumonia
UMLS:C1761609	Aspiration pneumonitis	DO	0050152	aspiration pneumonia
UMLS:C4721509	Usual Interstitial Pneumonia	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C3812396	Chronic idiopathic pulmonary fibrosis	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C1800706	Idiopathic Pulmonary Fibrosis	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C4721508	Hamman-Rich Disease	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C4721952	Familial Idiopathic Pulmonary Fibrosis	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C0085786	Hamman-Rich syndrome	DO	0050156	idiopathic pulmonary fibrosis
UMLS:C0242770	Bronchiolitis Obliterans Organizing Pneumonia	DO	0050157	cryptogenic organizing pneumonia
UMLS:C0238378	Desquamative interstitial pneumonia	DO	0050158	desquamative interstitial pneumonia
UMLS:C1855868	Polyglandular Deficiency Syndrome, Persian-Jewish Type	DO	0050167	autoimmune polyendocrine syndrome type 1
