DiseaseID	DiseaseName	vocabulary	code
UMLS:C0000727	Abdomen, Acute	ICD10	R10.0
UMLS:C0000729	Abdominal Cramps	MSH	D003085
UMLS:C0000731	Abdomen distended	HPO	0003270
UMLS:C0000734	Abdominal mass	HPO	0031500
UMLS:C0000735	Abdominal Neoplasms	MSH	D000008
UMLS:C0000737	Abdominal Pain	EFO	0003766
UMLS:C0000744	Abetalipoproteinemia	DO	1386
UMLS:C0000768	Congenital Abnormality	ICD10	Q89.9
UMLS:C0000771	Abnormalities, Drug-Induced	MONDO	0016677
UMLS:C0000772	Multiple congenital anomalies	ICD10CM	Q89.7
UMLS:C0000786	Spontaneous abortion	EFO	1001255
UMLS:C0000809	Abortion, Habitual	EFO	1000954
UMLS:C0000821	Threatened abortion	DO	9667
UMLS:C0000822	Abortion, Tubal	ICD10CM	O00.1
UMLS:C0000832	Abruptio Placentae	DO	9667
UMLS:C0000833	Abscess	EFO	0003030
UMLS:C0000846	Agenesis	MSH	Q000002
UMLS:C0000880	Acanthamoeba Keratitis	EFO	0007126
UMLS:C0000887	Acantholysis	HPO	0100792
UMLS:C0000889	Acanthosis Nigricans	DO	3138
UMLS:C0000921	Accidental Falls	ICD10CM	W19
UMLS:C0001075	Achlorhydria	ICD10CM	K31.83
UMLS:C0001079	Achondrogenesis	ICD10	Q77.0
UMLS:C0001080	Achondroplasia	DO	0080041
UMLS:C0001122	Acidosis	DO	3650
UMLS:C0001125	Acidosis, Lactic	DO	3650
UMLS:C0001126	Renal tubular acidosis	DO	14219
UMLS:C0001127	Acidosis, Respiratory	DO	3650
UMLS:C0001139	Acinetobacter Infections	EFO	1000792
UMLS:C0001144	Acne Vulgaris	DO	6543
UMLS:C0001145	Acne Keloid	ICD10	L73.0
UMLS:C0001175	Acquired Immunodeficiency Syndrome	DO	526
UMLS:C0001193	Apert syndrome	DO	0060229
UMLS:C0001197	Acrodermatitis	DO	2722
UMLS:C0001202	Acrokeratosis	HPO	0200016
UMLS:C0001206	Acromegaly	DO	2449
UMLS:C0001231	ACTH Syndrome, Ectopic	DO	0060890
UMLS:C0001249	Actinobacillus Infections	DO	4974
UMLS:C0001261	Actinomycosis	DO	8478
UMLS:C0001306	Acute alcoholic liver disease	DO	12351
UMLS:C0001308	Acute and subacute liver necrosis (disorder)	DO	2237
UMLS:C0001311	Acute bronchiolitis	EFO	0009661
UMLS:C0001338	Herpetic Acute Necrotizing Encephalitis	MSH	D020803
UMLS:C0001339	Acute pancreatitis	DO	2913
UMLS:C0001342	Acute periodontitis	DO	10423
UMLS:C0001344	Acute pharyngitis	DO	2275
UMLS:C0001349	Acute-Phase Reaction	MSH	D000210
UMLS:C0001361	Acute tonsillitis	ICD10	J03
UMLS:C0001363	Acute vascular insufficiency of intestine (disorder)	DO	8590
UMLS:C0001364	Massive Hepatic Necrosis	MSH	D047508
UMLS:C0001403	Addison Disease	DO	10493
UMLS:C0001416	Adenitis	MSH	D008199
UMLS:C0001418	Adenocarcinoma	DO	299
UMLS:C0001420	Papillary adenocarcinoma	DO	3112
UMLS:C0001422	Adenofibroma	DO	2683
UMLS:C0001429	Adenolymphoma	EFO	1000625
UMLS:C0001430	Adenoma	DO	3172
UMLS:C0001432	Adenoma, Chromophobe	DO	3828
UMLS:C0001433	Adenoma, Acidophil	DO	5392
UMLS:C0001442	Adenosarcoma	DO	1974
UMLS:C0001486	Adenovirus Infections	EFO	1001259
UMLS:C0001511	Tissue Adhesions	MSH	D000267
UMLS:C0001529	Adiposis Dolorosa	DO	3153
UMLS:C0001539	Adjustment disorder with depressed mood	ICD10CM	F43.21
UMLS:C0001546	Adjustment Disorders	DO	4964
UMLS:C0001576	Adnexal Diseases	MSH	D000291
UMLS:C0001614	Adrenal Cortex Diseases	DO	3952
UMLS:C0001618	Tumors of Adrenal Cortex	DO	660
UMLS:C0001621	Adrenal Gland Diseases	DO	9553
UMLS:C0001622	Adrenal Gland Hyperfunction	DO	3947
UMLS:C0001623	Adrenal gland hypofunction	DO	10493
UMLS:C0001624	Adrenal Gland Neoplasms	DO	3953
UMLS:C0001627	Congenital adrenal hyperplasia	DO	0050811
UMLS:C0001630	Adrenal Rest Tumor	DO	1786
UMLS:C0001723	Affective Disorders, Psychotic	DO	3324
UMLS:C0001726	Affective Symptoms	MSH	D000342
UMLS:C0001733	Afibrinogenemia	DO	2236
UMLS:C0001752	African swine fever	MONDO	0025377
UMLS:C0001768	Agammaglobulinemia	DO	2583
UMLS:C0001787	Osteoporosis, Age-Related	MSH	D010024
UMLS:C0001807	Aggressive behavior	EFO	0003015
UMLS:C0001811	Aging	MSH	D000375
UMLS:C0001815	Primary Myelofibrosis	DO	4971
UMLS:C0001816	Agnosia	DO	4090
UMLS:C0001818	Agoraphobia	DO	593
UMLS:C0001824	Agranulocytosis	DO	0050590
UMLS:C0001825	Agraphia	DO	0060223
UMLS:C0001828	Agricultural Workers' Diseases	MSH	D000382
UMLS:C0001849	AIDS Dementia Complex	EFO	0002608
UMLS:C0001857	AIDS related complex	DO	526
UMLS:C0001883	Airway Obstruction	MSH	D000402
UMLS:C0001889	Akinetic Mutism	DO	4267
UMLS:C0001890	Akinetic Petit Mal	MSH	D004832
UMLS:C0001916	Albinism	DO	0050632
UMLS:C0001925	Albuminuria	DO	576
UMLS:C0001948	Alcohol consumption	EFO	0004329
UMLS:C0001956	Alcohol Use Disorder	MSH	D000437
UMLS:C0001957	Alcohol Withdrawal Delirium	EFO	1000800
UMLS:C0001969	Alcoholic Intoxication	MSH	D000435
UMLS:C0001973	Alcoholic Intoxication, Chronic	DO	0050741
UMLS:C0002016	Aleutian Mink Disease	DO	2934
UMLS:C0002018	Alexia	DO	13417
UMLS:C0002020	Alexithymia	HPO	0031433
UMLS:C0002063	Alkalosis	HPO	0001948
UMLS:C0002064	Alkalosis, Respiratory	HPO	0001950
UMLS:C0002066	Alkaptonuria	DO	14223
UMLS:C0002103	Atopic rhinitis	DO	4481
UMLS:C0002152	Alloxan Diabetes	MSH	D003921
UMLS:C0002170	Alopecia	DO	987
UMLS:C0002171	Alopecia Areata	DO	986
UMLS:C0002312	alpha-Thalassemia	DO	0110029
UMLS:C0002351	Altitude Sickness	EFO	1000782
UMLS:C0002382	Alveolar Bone Loss	HPO	0006308
UMLS:C0002390	Extrinsic allergic alveolitis	DO	841
UMLS:C0002395	Alzheimer's Disease	DO	0080348
UMLS:C0002418	Amblyopia	DO	10375
UMLS:C0002438	Amebiasis	DO	9181
UMLS:C0002447	Amelia	HPO	0009827
UMLS:C0002448	Ameloblastoma	DO	0050894
UMLS:C0002452	Amelogenesis Imperfecta	DO	0110052
UMLS:C0002453	Amenorrhea	DO	13938
UMLS:C0002514	Amino Acid Metabolism, Inborn Errors	DO	9252
UMLS:C0002534	Renal Aminoacidurias	EFO	1001149
UMLS:C0002622	Amnesia	DO	10914
UMLS:C0002624	Retrograde amnesia	DO	4543
UMLS:C0002625	Amnestic Disorder	DO	10914
UMLS:C0002631	Infection of amniotic cavity	ICD9CM	658.4
UMLS:C0002690	Amputation Stumps	MSH	D000672
UMLS:C0002726	Amyloidosis	DO	9120
UMLS:C0002735	Oppenheim's Disease	MONDO	0056822
UMLS:C0002736	Amyotrophic Lateral Sclerosis	DO	332
UMLS:C0002768	Congenital Pain Insensitivity	DO	0070145
UMLS:C0002792	anaphylaxis	HPO	0100845
UMLS:C0002793	Anaplasia	MSH	D000708
UMLS:C0002797	Bovine Anaplasmosis	MONDO	0025303
UMLS:C0002831	Ancylostomiasis	DO	12841
UMLS:C0002871	Anemia	DO	2355
UMLS:C0002873	Anemia of chronic disease	ICD9CM	285.2
UMLS:C0002874	Aplastic Anemia	DO	12449
UMLS:C0002875	Cooley's anemia	DO	12241
UMLS:C0002876	Congenital dyserythropoietic anemia	DO	1338
UMLS:C0002878	Anemia, Hemolytic	DO	583
UMLS:C0002879	Anemia, Hemolytic, Acquired	EFO	0005558
UMLS:C0002880	Autoimmune hemolytic anemia	DO	1098
UMLS:C0002881	Anemia, Hemolytic, Congenital	DO	589
UMLS:C0002882	Anemia, Hemolytic, Congenital Nonspherocytic	DO	2861
