"gene symbol","gene mim","disease name","disease mim","confidence category","allelic requirement","mutation consequence",phenotypes,"organ specificity list",pmids,panel,"prev symbols","hgnc id","gene disease pair entry date","cross cutting modifier","mutation consequence flag","confidence value flag",comments,"variant consequence","disease ontology"
DSC2,125645,"DSC2-related ARVC","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,17963498;33831308;24070718;17186466;19863551;24793512;20031616;21636032;23911551;17033975;34400560;31028357;23863954;31402444;26310507,Cardiac,DSC3,3036,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;NMD_triggering,MONDO:0012506
DSC2,125645,"DSC2-related ARVC","No disease mim",definitive,biallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,17963498;33831308;24070718;17186466;19863551;24793512;20031616;21636032;23911551;17033975;34400560;31028357;23863954;31402444;26310507,Cardiac,DSC3,3036,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;NMD_triggering,MONDO:0012506
DSG2,125671,"DSG2-related ARVC","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,25616645;33831308;33917638;24070718;27532257;30790397;21636032;16505173;34400560;30454721;27170944;16823493,Cardiac,,3049,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;NMD_escaping;stop_gained_NMD_triggering,MONDO:0012434
DSG2,125671,"DSG2-related ARVC","No disease mim",definitive,biallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,25616645;33831308;33917638;24070718;27532257;30790397;21636032;16505173;34400560;30454721;27170944;16823493,Cardiac,,3049,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;stop_gained_NMD_escaping,MONDO:0012434
DSP,125647,"DSP-related ARVC","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,33831308;20716751;27532257;33275305;27761164;21636032;31319917;32372669;31514951;23810894;20940358;22795705;24503780;26604139;23137101;11063735;32808748;30382575,Cardiac,,3052,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011831
DSP,125647,"DSP-related ARVC","No disease mim",definitive,biallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,33831308;20716751;27532257;33275305;27761164;21636032;31319917;32372669;31514951;23810894;20940358;22795705;24503780;26604139;23137101;11063735;32808748;30382575,Cardiac,,3052,"2022-04-25 12:45:20",,,,"Expert review done on 05/01/2022",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011831
PKP2,602861,"PKP2-related  ARVC","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,17041889;25616645;33831308;23736219;24070718;22781308;20301310;24704780;30619891;28740174;17010805;21636032;30830208;34120153,Cardiac,,9024,"2022-04-25 12:45:21",,,,"Expert review done on 05/01/2022",splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0012180
TMEM43,612048,"TMEM43-related  ARVC","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25343256;29980933;33831308;32062046;20301310;22725725;18313022;23812740;21214875;24598986;21391237,Cardiac,ARVD5,28472,"2022-04-25 12:45:21",,,,"Expert review done on 05/01/2022",missense_variant,MONDO:0011459
JUP,173325,"JUP-related Naxos disease","No disease mim",strong,biallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25820315;21320868;25705887;17924338;10902626;11691526;20031617;21673311;32966140;8858175;20130592;28098346;15851108;8954745;31402444,Cardiac,CTNNG,6207,"2022-04-25 12:45:21",,,,"Expert review done on 05/01/2022",missense_variant;inframe_deletion;frameshift_variant_NMD_escaping,MONDO:0011017
CALM1,114180,"CALM1-related CPVT","No disease mim",strong,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;26309258;31983240;24563457;23040497;25557436;32929985,Cardiac,CALML2,1442,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",missense_variant,MONDO:0013966
CALM2,114182,"CALM2-related CPVT","No disease mim",strong,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;26309258;24917665;31983240;25557436;27100291,Cardiac,,1445,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",missense_variant,MONDO:0017990
CALM3,114183,"CALM3-related CPVT","No disease mim",strong,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;31983240;27516456,Cardiac,,1449,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",missense_variant,MONDO:0017990
TECRL,617242,"TERCL-related CPVT","No disease mim",definitive,biallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,33367594;30790670;32173957;27861123,Cardiac,,27365,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering,MONDO:0013529
TRDN,603283,"TRDN-related CPVT","No disease mim",definitive,biallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25922419;26768964;22422768;30479949;26200674,Cardiac,,12261,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",missense_variant;intron_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0014191
SCN5A,600163,"SCN5A-related BrS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,32850980;9521325;20564468;32533946;20031634;17075016;17442746;25905440;11748104;20129283;29959160;33164571;33131149;25829473;30203441;32893267;29798782,Cardiac,CMD1E,10593,"2022-04-25 12:45:21",,,,"Expert review done on 21/07/2021",splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011001
CASQ2,114251,"CASQ2-related CPVT","No disease mim",moderate,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,16908766;32693635;12386154;15176429;21618644;27157848,Cardiac,,1513,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",splice_region_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0012762
CASQ2,114251,"CASQ2-related CPVT","No disease mim",definitive,biallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,16908766;32693635;12386154;15176429;21618644;27157848,Cardiac,,1513,"2022-04-25 12:45:21",,,,"Expert review done on 19/05/2021",splice_region_variant;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0012762
KCNH2,152427,"KCNH2-related SQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,29876509;21130771;30582453;30175559;29759541;29016797;9547387;18692916;14676148;25974115;7889573;30947366;30496390;19088443;30571592;7736582;29574456;21310316;15673388;15828882;31049424;28491588;25335996;19340359;31072576,Cardiac,LQT2,6251,"2022-04-25 12:45:21",,,,"Expert review done on 21/07/2021",missense_variant,MONDO:0012312
