DiseaseID	DiseaseName
OMIM:100300	ADAMS-OLIVER SYNDROME 1
OMIM:100800	ACHONDROPLASIA
OMIM:101000	NEUROFIBROMATOSIS, TYPE 2
OMIM:101200	APERT SYNDROME
OMIM:101400	SAETHRE-CHOTZEN SYNDROME
OMIM:101600	PFEIFFER SYNDROME
OMIM:101800	ACRODYSOSTOSIS
OMIM:101900	Acrokeratosis verruciformis
OMIM:102500	HAJDU-CHENEY SYNDROME
OMIM:102700	ADENOSINE DEAMINASE DEFICIENCY
OMIM:103050	ADENYLOSUCCINASE DEFICIENCY
OMIM:103285	ADULT SYNDROME
OMIM:103470	WAARDENBURG SYNDROME TYPE 2 WITH OCULAR ALBINISM
OMIM:103500	TIETZ SYNDROME
OMIM:103580	ALBRIGHT HEREDITARY OSTEODYSTROPHY
OMIM:104200	ALPORT SYNDROME AUTOSOMAL DOMINANT
OMIM:104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD
OMIM:105120	Amyloidosis, Finnish type
OMIM:105200	Amyloidosis, familial visceral
OMIM:105830	ANGELMAN SYNDROME
OMIM:106210	ANIRIDIA
OMIM:106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE
OMIM:107250	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS
OMIM:107480	TOWNES-BROCKS SYNDROME
OMIM:108120	ARTHROGRYPOSIS, DISTAL, TYPE 1
OMIM:108720	ATELOSTEOGENESIS TYPE 1
OMIM:108721	ATELOSTEOGENESIS TYPE 3
OMIM:108900	ATRIAL SEPTAL DEFECT WITH ATRIOVENTRICULAR CONDUCTION DEFECTS
OMIM:108985	Sveinsson chorioretinal atrophy
OMIM:109400	BASAL CELL NEVUS SYNDROME
OMIM:109730	LEFT VENTRICULAR OUTFLOW TRACT OBSTRUCTION
OMIM:110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS SYNDROME
OMIM:112240	COLE-CARPENTER SYNDROME
OMIM:112500	BRACHYDACTYLY, TYPE A1
