DiseaseID	DiseaseName
DOID:0050156	idiopathic pulmonary fibrosis 
DOID:0050211	H1N1 
DOID:0050589	inflammatory bowel disease 
DOID:0050696	fetal alcohol spectrum disorder 
DOID:0050700	cardiomyopathy 
DOID:0050742	nicotine dependence 
DOID:0050745	diffuse large B-cell lymphoma 
DOID:0050851	glomerulosclerosis 
DOID:0050861	colorectal adenocarcinoma 
DOID:0050872	large cell neuroendocrine carcinoma 
DOID:0050908	myelodysplastic syndrome 
DOID:0050912	colon adenoma 
DOID:0050933	low-grade serous ovarian carcinomas 
DOID:0060041	autism spectrum disorder 
DOID:0060074	ductal carcinoma in situ 
DOID:0060180	colitis 
DOID:0060201	amyotrophic lateral sclerosis type 10 
DOID:10223	dermatomyositis 
DOID:10283	prostate cancer 
DOID:10325	silicosis 
DOID:1040	chronic lymphocytic leukemia 
DOID:10534	stomach cancer 
DOID:10588	adrenoleukodystrophy 
DOID:1059	mental retardation 
DOID:10632	Wolfram Syndrome 
DOID:10652	Alzheimer's disease 
DOID:10923	sickle-cell anemia 
DOID:10941	intracranial aneurysm 
DOID:11335	sarcoidosis 
DOID:11432	endometriosis of ovary 
DOID:11612	polycystic ovary syndrome 
DOID:11664	nephrosclerosis 
DOID:11722	myotonic dystrophy type 1 
DOID:11723	Duchenne muscular dystrophy 
DOID:11726	Emery-Dreifuss muscular dystrophy 
DOID:11727	facioscapulohumeral muscular dystrophy 
DOID:11981	morbid obesity 
DOID:12205	dengue disease 
DOID:12206	Dengue Fever 
DOID:12217	Lewy body dementia 
DOID:12351	Alcoholic Hepatitis 
DOID:1240	Leukemia 
DOID:12712	nephronophthisis 
DOID:12849	autistic disorder 
DOID:12858	Huntington's disease 
DOID:12894	Sjogren's syndrome 
DOID:12930	dilated cardiomyopathy 
DOID:1324	lung cancer 
DOID:1328	Rift Valley fever 
DOID:1339	Diamond-Blackfan anaemia 
DOID:13406	pulmonary sarcoidosis 
DOID:1380	endometrial cancer 
DOID:13809	familial combined hyperlipidemia 
DOID:13810	familial hypercholesterolemia 
DOID:14250	Down syndrome 
DOID:14261	fragile X syndrome 
DOID:14330	Parkinson's disease 
DOID:14504	Niemann-Pick Type C 
DOID:14749	methylmalonic acidemia 
DOID:1485	cystic fibrosis 
DOID:1520	colon carcinoma 
DOID:1555	idiopathic urticaria 
DOID:1574	Schizophrenia 
DOID:1595	Depression 
DOID:1596	Depression 
DOID:1612	Breast Cancer 
DOID:1686	glaucoma associated with systemic syndromes 
DOID:1793	pancreatic cancer 
DOID:1826	Epilepsy 
DOID:1883	hepatitis C 
DOID:1909	melanoma 
DOID:1928	Williams-Beuren syndrome 
DOID:1936	atherosclerosis 
DOID:1969	cerebral palsy 
DOID:219	colon cancer 
DOID:2355	anemia 
DOID:2366	West Nile fever 
DOID:2377	multiple sclerosis 
DOID:2378	relapsing-remitting multiple sclerosis 
DOID:2394	ovarian cancer 
DOID:2513	basal cell carcinoma 
DOID:2841	asthma 
DOID:289	endometriosis 
DOID:2908	Treacher Collins syndrome 
DOID:2957	pulmonary tuberculosis 
DOID:3008	invasive ductal carcinoma 
