DiseaseID	DiseaseName
MONDO:0002974	Cervical cancer
ORPHANET:199315	Clubfoot
EFO:0004701	Alcohol dependence or heroin dependence or methamphetamine dependence
tamine dependence
EFO:0004705	Hypothyroidism
EFO:0004704	Age at menopause
EFO:0004703	Age at menarche
EFO:0000341	Asthma or chronic obstructive pulmonary disease
MONDO:0008277	Gastric polyp
EFO:0000342	Chronic pancreatitis (PheCode 577.2)
EFO:0004708	ICD10 C81.1: Nodular sclerosis classical Hodgkin lymphoma
EFO:0004707	Infantile hypertrophic pyloric stenosis
EFO:0004713	FEV1 FVC ratio Z score (UKB data field 20258)
EFO:0004712	Podoconiosis
EFO:0004710	ICD10 N814: vaginal prolapse uterine prolapse
EFO:0004715	Brain infarct
EFO:0004714	Sexual dysfunction (SSRI/SNRI-related)
HP:0002829	ICD10 M25.50: Pain in unspecified joint
EFO:0000352	ICD10 Z87: Personal history of other diseases and conditions
ORPHANET:2573	Moyamoya disease
EFO:0011002	Succinate levels
EFO:0011003	Trimethylamine levels
EFO:0011004	Trimethylamine oxide levels
EFO:0011005	Urea levels
EFO:0011007	Estrogen level change in anastrozole-treated breast cancer
EFO:0011008	Pregnanediol-3-glucuronide levels
EFO:0011009	Fasting plasma glycochenodeoxycholate 3-O-glucuronide concentration
EFO:0004719	Pemphigus vulgaris
EFO:0004718	Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD+)
EFO:0011000	Proline betaine levels
EFO:0011001	Scyllo-inositol levels
EFO:0000326	Glioblastoma
ORPHANET:1253	ICD10 H02.3: Blepharochalasis
MONDO:0021230	ICD10 C53.9: Malignant neoplasm of cervix uteri, unspecified
EFO:0008296	TN X plasma levels
EFO:0008292	Stem cell growth factor beta levels
EFO:0008291	Blood protein levels
EFO:0008293	Cytokine levels
EFO:0008290	Blood protein levels in cardiovascular risk
MONDO:0001618	Balanoposthitis (PheCode 601.4)
EFO:0001666	Aneurysm of artery of lower extremity (PheCode 442.3)
EFO:0001663	Aggressive prostate cancer
ORPHANET:136	White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy
EFO:0000339	Cancer code, self-reported: chronic myeloid (UKB data field 20001_1056)
EFO:0001668	Cervical high-risk human papilloma virus infection
EFO:0000337	Chronic gastritis
ORPHANET:130	Brugada syndrome
MONDO:0002959	ICD10 M54.1: Radiculopathy
EFO:0000389	Cutaneous malignant melanoma
EFO:0004746	Lipoprotein phospholipase A2 activity in cardiovascular disease
EFO:0004745	N-terminal pro B-type natriuretic peptide levels
EFO:0004744	Cerebrospinal fluid levels of Alzheimer's disease-related proteins
EFO:0004743	Facial morphology
EFO:0004749	Cerebrospinal fluid levels of Alzheimer's disease-related proteins
MP:0001914	Hemorrhage or hematoma complicating a procedure (PheCode 850)
EFO:0004748	Hormone measurements
EFO:0004747	Adrenomedullin levels
EFO:0004742	Beta-trace protein levels
EFO:0004741	Blood urea nitrogen levels
EFO:0000384	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)
EFO:0011035	TP segment duration
EFO:0011036	Serum type 1 collagen metabolite levels
EFO:0011037	Human herpes virus 6 IE1A antibody levels
EFO:0011038	Human herpes virus 7 U14 antibody levels
EFO:0011039	Myeloperoxidase-DNA complexes
ORPHANET:141136	Craniofacial microsomia
HP:0030016	Dyspareunia (PheCode 625.1)
EFO:0011031	Intestinal permeability measurement
EFO:0011033	ST segment duration
EFO:0011034	T wave duration
EFO:0000398	Dermatomyositis
EFO:0004754	Inflammatory biomarkers
HP:0001537	ICD10 K42.9: Umbilical hernia without obstruction or gangrene
EFO:0004753	Blood protein levels
EFO:0004752	Intact parathyroid hormone levels in type 2 diabetes
EFO:0004751	Blood protein levels
EFO:0004750	Cytokine levels
EFO:0011049	Methods of self-harm used: Ingesting alcohol or a recreational or illicit drug (UKB data field 20553_6)
HP:0000202	Nonsyndromic cleft lip with or without cleft palate
MONDO:0056799	ICD10 M67.8: Other specified disorders of synovium and tendon
EFO:0011041	treatment failure in response to intravesical BCG therapy in non-muscle invasive bladder cancer
EFO:0011043	Neck circumference
EFO:0011044	Neck circumference (BMI adjusted)
EFO:0011045	fetal weight (maternal genotype effect)
EFO:0004724	Aortic stiffness
EFO:0004723	Coronary artery calcification
EFO:0000365	Colorectal cancer x BMI interaction (2df)
