DiseaseID	DiseaseName
EFO:0000093	chronic kidney disease, Proteinuria
EFO:0000094	B-cell acute lymphoblastic leukemia
EFO:0000095	rheumatoid arthritis, chronic lymphocytic leukemia
EFO:0000096	neoplasm of mature B-cells
EFO:0000132	uterine fibroid, Menorrhagia
EFO:0000174	Ewing sarcoma
EFO:0000178	gastric carcinoma
EFO:0000180	HIV-1 infection
EFO:0000181	head and neck squamous cell carcinoma
EFO:0000182	hepatocellular carcinoma
EFO:0000183	Hodgkins lymphoma
EFO:0000195	metabolic syndrome
EFO:0000198	myelodysplastic syndrome
EFO:0000203	multiple myeloma, monoclonal gammopathy
EFO:0000217	gastritis
EFO:0000220	acute lymphoblastic leukemia
EFO:0000222	acute myeloid leukemia
EFO:0000266	aortic stenosis
EFO:0000274	atopic eczema
EFO:0000275	atrial fibrillation
EFO:0000278	pancreatitis
EFO:0000279	azoospermia
EFO:0000280	esophageal adenocarcinoma, Barrett's esophagus
EFO:0000284	lower urinary tract symptom, benign prostatic hyperplasia
EFO:0000289	bipolar disorder
EFO:0000305	breast carcinoma
EFO:0000311	cancer
EFO:0000319	cardiovascular disease
EFO:0000326	central nervous system cancer
EFO:0000339	chronic myelogenous leukemia
EFO:0000341	chronic obstructive pulmonary disease
EFO:0000373	congestive heart failure
EFO:0000384	Crohn's disease
EFO:0000389	neuroblastoma, cutaneous melanoma
EFO:0000398	dermatomyositis
EFO:0000400	diabetes mellitus
EFO:0000401	diabetic nephropathy
EFO:0000403	diffuse large B-cell lymphoma
EFO:0000404	diffuse scleroderma
EFO:0000407	dilated cardiomyopathy
EFO:0000409	disease free survival
EFO:0000464	emphysema
EFO:0000474	epilepsy
EFO:0000478	esophageal adenocarcinoma
EFO:0000483	exercise
EFO:0000493	family history
EFO:0000503	gastric adenocarcinoma
EFO:0000516	glaucoma
EFO:0000519	glioblastoma multiforme
EFO:0000537	hypertension
EFO:0000538	hypertrophic cardiomyopathy
EFO:0000540	immune system disease
EFO:0000545	age at onset, Myopia
EFO:0000555	irritable bowel syndrome
EFO:0000557	dermatomyositis, juvenile dermatomyositis
EFO:0000571	lung adenocarcinoma
EFO:0000574	lymphoma
EFO:0000589	metabolic disease
EFO:0000612	myocardial infarction
EFO:0000616	neoplasm
EFO:0000621	neuroblastoma
EFO:0000625	nevus
EFO:0000637	osteosarcoma
EFO:0000638	overall survival
EFO:0000641	papillary thyroid carcinoma
EFO:0000649	periodontitis
EFO:0000660	polycystic ovary syndrome
EFO:0000668	preeclampsia
EFO:0000676	psoriasis
