DiseaseID	DiseaseName
MONDO:0000030	sleep-related hypermotor epilepsy
MONDO:0000088	precocious puberty
MONDO:0000107	auriculocondylar syndrome
MONDO:0000119	congenital heart defects, multiple types
MONDO:0000127	geleophysic dysplasia
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000136	keratosis follicularis spinulosa decalvans
MONDO:0000141	mosaic variegated aneuploidy syndrome
MONDO:0000144	pregnancy loss, recurrent, susceptibility
MONDO:0000166	encephalopathy, acute, infection-induced
MONDO:0000170	microphthalmia, isolated, with coloboma
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A
MONDO:0000179	Neu-Laxova syndrome
MONDO:0000188	GLUT1 deficiency syndrome
MONDO:0000193	cortisone reductase deficiency
MONDO:0000200	Zimmermann-Laband syndrome
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO:0000211	striatal degeneration, autosomal dominant
MONDO:0000355	Ullrich congenital muscular dystrophy
MONDO:0000359	spondylocostal dysostosis
MONDO:0000453	short QT syndrome
MONDO:0000455	cone dystrophy
MONDO:0000463	Ochoa syndrome
MONDO:0000465	atrioventricular block
MONDO:0000473	arterial disorder
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000508	syndromic intellectual disability
MONDO:0000572	recombinase activating gene 1 deficiency
MONDO:0000591	intrinsic cardiomyopathy
MONDO:0000665	apraxia
MONDO:0000736	dyschromatosis universalis hereditaria
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy
MONDO:0000903	myoclonus-dystonia syndrome
MONDO:0000904	complex cortical dysplasia with other brain malformations
MONDO:0000908	arrhythmogenic right ventricular dysplasia 13
MONDO:0000909	Bartter disease type 4B
MONDO:0000913	hereditary spherocytosis type 2
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1
MONDO:0000992	heart conduction disease
MONDO:0001056	gastric cancer
MONDO:0001071	intellectual disability
MONDO:0001149	microcephaly
MONDO:0001150	hydrocephalus
MONDO:0001197	qualitative platelet defect
MONDO:0001347	facioscapulohumeral muscular dystrophy
MONDO:0001475	neutropenia
MONDO:0001516	spinal muscular atrophy
MONDO:0001586	mucopolysaccharidosis type 1
MONDO:0001595	choreatic disease
MONDO:0001700	megaloblastic anemia
MONDO:0001734	tuberous sclerosis
MONDO:0001751	cholestasis
MONDO:0001909	renal tubular acidosis
MONDO:0001913	oligospermia
MONDO:0001982	Niemann-Pick disease
MONDO:0001999	primary pulmonary hypertension
MONDO:0002050	depressive disorder
MONDO:0002108	thyroid cancer
MONDO:0002146	hypogonadism
MONDO:0002244	factor VII deficiency
MONDO:0002305	thrombophilia
MONDO:0002442	long QT syndrome
MONDO:0002457	Treacher-Collins syndrome
MONDO:0002612	frontal lobe epilepsy
MONDO:0002771	pulmonary fibrosis
MONDO:0003111	gastric neuroendocrine neoplasm
MONDO:0003233	essential tremor
MONDO:0003582	hereditary breast ovarian cancer syndrome
MONDO:0003664	hemolytic anemia
MONDO:0003900	connective tissue disorder
MONDO:0004183	axonal neuropathy
MONDO:0004675	mitochondrial encephalomyopathy
MONDO:0004691	autosomal dominant polycystic kidney disease
MONDO:0004955	metabolic syndrome
MONDO:0004976	amyotrophic lateral sclerosis
MONDO:0004982	pancreatitis
MONDO:0004983	azoospermia
MONDO:0004985	bipolar disorder
MONDO:0004994	cardiomyopathy
MONDO:0005010	coronary artery disorder
MONDO:0005015	diabetes mellitus
MONDO:0005021	dilated cardiomyopathy
MONDO:0005027	epilepsy
MONDO:0005041	glaucoma
MONDO:0005045	hypertrophic cardiomyopathy
MONDO:0005046	immune system disorder
MONDO:0005058	leiomyosarcoma
MONDO:0005071	nervous system disorder
MONDO:0005075	thyroid gland papillary carcinoma
MONDO:0005086	renal cell carcinoma
MONDO:0005089	sarcoma
MONDO:0005090	schizophrenia
MONDO:0005115	temporal lobe epilepsy
MONDO:0005144	familial amyotrophic lateral sclerosis
MONDO:0005148	type 2 diabetes mellitus
MONDO:0005172	skeletal system disorder
MONDO:0005180	Parkinson disease
MONDO:0005206	renal carcinoma
MONDO:0005210	uterine corpus sarcoma
MONDO:0005212	rhabdomyosarcoma
MONDO:0005233	non-small cell lung carcinoma
MONDO:0005244	peripheral neuropathy
MONDO:0005258	autism spectrum disorder
MONDO:0005265	inflammatory bowel disease
MONDO:0005283	retinal disorder
MONDO:0005298	osteoporosis
MONDO:0005306	ankylosing spondylitis
MONDO:0005308	ciliopathy
MONDO:0005321	Fuchs' endothelial dystrophy
MONDO:0005336	myopathy
MONDO:0005338	open-angle glaucoma
MONDO:0005345	hypospadias
MONDO:0005347	hypertriglyceridemia
MONDO:0005363	focal segmental glomerulosclerosis
MONDO:0005365	hearing loss disorder
MONDO:0005372	male infertility
MONDO:0005377	nephrotic syndrome
MONDO:0005395	movement disorder
MONDO:0005396	thoracic aortic aneurysm
MONDO:0005420	hypothyroidism
MONDO:0005453	congenital heart disease
MONDO:0005484	colorectal adenoma
MONDO:0005486	tooth agenesis
MONDO:0005500	congenital disorder of glycosylation type I
MONDO:0005501	congenital disorder of glycosylation type II
MONDO:0005508	hereditary multiple osteochondromas
MONDO:0005514	nanophthalmia
MONDO:0005516	osteochondrodysplasia
MONDO:0005520	rickets
MONDO:0005575	colorectal cancer
MONDO:0005579	epilepsy, idiopathic generalized
MONDO:0005620	cerebral amyloid angiopathy
MONDO:0005627	head and neck cancer
MONDO:0005711	congenital diaphragmatic hernia
MONDO:0005803	hyperinsulinemic hypoglycemia
MONDO:0005835	Lynch syndrome
