DiseaseID	DiseaseName
HP:0010975	Abnormality of B cell number
HP:0010976	B lymphocytopenia
HP:0003563	Hypobetalipoproteinemia
HP:0002589	Gastrointestinal atresia
HP:0003561	Birth length less than 3rd percentile
HP:0002586	Peritonitis
HP:0002585	Abnormality of the peritoneum
HP:0002583	Colitis
HP:0002580	Volvulus
HP:0003565	Elevated erythrocyte sedimentation rate
HP:0000722	Obsessive-compulsive behavior
HP:0000726	Dementia
HP:0100738	Abnormal eating behavior
HP:0002909	Generalized aminoaciduria
HP:0002908	Conjugated hyperbilirubinemia
HP:0003560	Muscular dystrophy
HP:0002902	Hyponatremia
HP:0002901	Hypocalcemia
HP:0002900	Hypokalemia
HP:0100735	Hypertensive crisis
HP:0002905	Hyperphosphatemia
HP:0002904	Hyperbilirubinemia
HP:0003180	Flat acetabular roof
HP:0009129	Upper limb amyotrophy
HP:0003187	Breast hypoplasia
HP:0003189	Long nose
HP:0009120	Aplasia/Hypoplasia involving the sinuses
HP:0003368	Abnormality of the femoral head
HP:0003298	Spina bifida occulta
HP:0003363	Abdominal situs inversus
HP:0011885	Hemorrhage of the eye
HP:0004327	Abnormality of the vitreous humor
HP:0003160	Abnormal isoelectric focusing of serum transferrin
HP:0003165	Elevated circulating parathyroid hormone (PTH) level
HP:0011794	Embryonal renal neoplasm
HP:0011403	Abnormal umbilical cord blood vessels
HP:0002345	Action tremor
HP:0002344	Progressive neurologic deterioration
HP:0011409	Abnormality of placental membranes
HP:0002342	Intellectual disability, moderate
HP:0002166	Impaired vibration sensation in the lower limbs
HP:0002162	Low posterior hairline
HP:0008981	Calf muscle hypertrophy
HP:0002168	Scanning speech
HP:0012056	Cutaneous melanoma
HP:0100806	Sepsis
HP:0002019	Constipation
HP:0002018	Nausea
HP:0009906	Aplasia/Hypoplasia of the earlobes
HP:0002013	Vomiting
HP:0002015	Dysphagia
HP:0100732	Pancreatic fibrosis
HP:0007843	Attenuation of retinal blood vessels
HP:0001669	Transposition of the great arteries
HP:0001663	Ventricular fibrillation
HP:0001662	Bradycardia
HP:0002179	Opisthotonus
HP:0001660	Truncus arteriosus
HP:0009617	Abnormality of the distal phalanx of the thumb
HP:0006466	Ankle contracture
HP:0007440	Generalized hyperpigmentation
HP:0012303	Abnormality of the aortic arch
HP:0006488	Bowing of the arm
HP:0006481	Abnormality of primary teeth
HP:0006486	Abnormality of the dental root
HP:0001598	Concave nail
HP:0001591	Bell-shaped thorax
HP:0001592	Selective tooth agenesis
HP:0009728	Neoplasm of striated muscle
HP:0001065	Striae distensae
HP:0009720	Adenoma sebaceum
HP:0001061	Acne
HP:0001063	Acrocyanosis
HP:0009725	Bladder neoplasm
HP:0006000	Ureteral obstruction
HP:0006009	Broad phalanx
HP:0008057	Aplasia/Hypoplasia affecting the fundus
