DiseaseID	DiseaseName	has_db_xref
GO:0000016	lactase activity	
GO:0000052		
GO:0000096		
GO:0000819		
GO:0001503		
GO:0001573		
GO:0001659		
GO:0001676		
GO:0001764		
GO:0001816		
GO:0001843		
GO:0001958		
GO:0001964		
GO:0002185		
GO:0002250		
GO:0002526		
GO:0002544		
GO:0003008		
GO:0003010		
GO:0003014		
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	
GO:0004035		
GO:0004095		
GO:0004333		
GO:0004494		
GO:0004565		
GO:0004658		
GO:0004736		
GO:0005604		
GO:0005622		
GO:0005623		
GO:0005739		
GO:0005746		
GO:0005753		
GO:0005764		
GO:0005975		
GO:0005976		
GO:0006000		
GO:0006012		
GO:0006094		
GO:0006096		
GO:0006144		
GO:0006206		
GO:0006281		
GO:0006486		
GO:0006487		
GO:0006493		
GO:0006520		
GO:0006525		
GO:0006534		
GO:0006541		
GO:0006544		
GO:0006547		
GO:0006549		
GO:0006551		
GO:0006553		
GO:0006555		
GO:0006558		
GO:0006560		
GO:0006563		
GO:0006566		
GO:0006568		
GO:0006570		
GO:0006573		
GO:0006582		
GO:0006591		
GO:0006600		
GO:0006629		
GO:0006631		
GO:0006664		
GO:0006687		
GO:0006693		
GO:0006766		
GO:0006776		
GO:0006783		
GO:0006801		
GO:0006909		
GO:0006954		
GO:0006955		
GO:0006956		
GO:0007049		
GO:0007059		
GO:0007268		
GO:0007283		
GO:0007565		
GO:0007567		
GO:0007585		
GO:0007597		
GO:0007598		
GO:0007601		
GO:0007605		
GO:0007608		
GO:0008015		
GO:0008152		
GO:0008203		
GO:0008283		
GO:0008482		
GO:0008483		
GO:0009064		
GO:0009066		
GO:0009069		
GO:0009072		
GO:0009081		
GO:0009112		
GO:0009235		
GO:0009437		
GO:0009790		
GO:0010960		
GO:0014831		
GO:0016049		
GO:0016137		
GO:0016234		
GO:0016477		
GO:0019172		
GO:0019221		
GO:0019226		
GO:0019230		
GO:0019752		
GO:0019814		
GO:0019852		
GO:0022010		
GO:0022011		
GO:0022410		
GO:0030097		
GO:0030183		
GO:0030203		
GO:0030218		
GO:0030252		
GO:0030261		
GO:0030282		
GO:0030421		
GO:0030424		
GO:0030431		
GO:0030432		
GO:0031052		
GO:0031424		
GO:0031514		
GO:0031594		
GO:0032098		
GO:0032286		
GO:0032289		
GO:0032602		
