DiseaseID	DiseaseName
ICD10:A04.2	Enteroinvasive Escherichia coli 
ICD10:A04.8	Enterobacter infection
ICD10:A04.9	Colonic spirochetosis
ICD10:A08.1	Enteritis due to Norovirus
ICD10:A41	Enterococcal infection
ICD10:A41.4A	Vancomycin-resistant enterococci infection
ICD10:A49	Anaerobic infection
ICD10:A49.8	Citrobacter infection
ICD10:A82	Lyssavirus infection
ICD10:A83	Mosquito-borne viral encephalitis
ICD10:A83.4	Murray Valley encephalitis
ICD10:A92	Mosquito-borne viral fever
ICD10:A93.8	Severe fever with thrombocytopenia syndrome
ICD10:A96	South American hemorrhagic fever
ICD10:A96.8	Venezuelan hemorrhagic fever
ICD10:B00.4A	B virus infection
ICD10:B20	Acquired immunodeficiency syndrome 
ICD10:B30.2	Pharyngoconjunctival fever
ICD10:B33.1	Ross River fever
ICD10:B88.8	Pentastomiasis
ICD10:B95	Methicillin-resistant Staphylococcus epidermidis 
ICD10:C83.8	Lymphoplasmacytic lymphoma
ICD10:D68.4	Autoimmune hemorrhaphilia XIII
ICD10:F42	Obsessive-Compulsive and Related Disorder
ICD10:F48.9	Excoriation disorder
ICD10:G04.8	Atopic myelitis
ICD10:G04.9	Acute encephalitis
ICD10:G40.5	Hemiconvulsion-hemiplegia-epilepsy syndrome
ICD10:G61.0	Bickerstaff brainstem encephalitis
ICD10:G93.4	Acute encephalopathy with biphasic seizures and late reduced diffusion
ICD10:I27.2	Chronic thromboembolic pulmonary hypertension
ICD10:I40	Viral myocarditis
ICD10:I81	Extrahepatic portal vein obstruction
ICD10:J02.0	Group A streptococcal pharyngitis
ICD10:J32.8	Eosinophilic sinusitis
ICD10:J67	Saccharomonospora viridis infection
ICD10:K63.3	Chronic nonspecific multiple ulcers of the small intestine
ICD10:K75.8	Non-alcoholic fatty liver disease
ICD10:L13.0	Dermatitis herpetiformis
ICD10:L74.4	Acquired idiopathic generalized anhidrosis
ICD10:M35.9	Immunoglobulin G4-related disease
ICD10:N02.9	Henoch-Schonlein purpura nephritis
ICD10:Q20.4	Univentricular heart
ICD10:Q27.3	Peripheral arteriovenous malformation
ICD10:Q43.7	Persistent cloaca
ICD10:T86	Allograft rejection
ICD10:U82.8	Carbapenem-resistant bacterial infection
ICD11:1C80	Cache Valley virus infection
ICD11:1C86	Saint Louis encephalitis
ICD11:1C87	Rocio viral encephalitis
ICD11:1D41	Colorado tick fever
ICD11:1D43	Oropouche fever
ICD11:1D45	Sandfly fever
ICD11:1D61	Arenaviral hemorrhagic fever
ICD11:1F2H	Scedosporiosis
ICD11:1F2K	Talaromycosis
ICD11:1F6C	Syngamosis
ICD11:1G03	Phthiriasis
ICD11:1G06	Cimicosis
ICD11:2A81.5	Primary central nervous system lymphoma
ICD11:4A00.3	NK cell defects
ICD11:CA40.13	Human metapneumovirus infection
ICD11:LD24.03	Diastrophic dysplasia
