Previous_CUI	Current_CUI	Date_Of_Action
C0002170	C1720189	30 Aug 2022
C0003706	CN001387	30 Aug 2022
C0007131	C2749659	30 Aug 2022
C0007194	C0340427	30 Aug 2022
C0009447	C0023449	30 Aug 2022
C0009917	CN001256	02 May 2022
C0010273	C3888198	30 Aug 2022
C0011854	C0206042	30 Aug 2022
C0014474	C0751122	30 Aug 2022
C0017689	C0265210	30 Aug 2022
C0018054	C2936694	30 Aug 2022
C0018553	C0553586	30 Aug 2022
C0019555	C1840555	30 Aug 2022
C0020217	C4049090	30 Aug 2022
C0020305	C0011581	30 Aug 2022
C0020445	C0020445	30 Aug 2022
C0023465	C0023479	30 Aug 2022
C0026764	C0268350	30 Aug 2022
C0027877	C1842983	30 Aug 2022
C0028081	C1546180	30 Aug 2022
C0028960	C0268980	30 Aug 2022
C0029454	CN074214	30 Aug 2022
C0030044	C0546264	02 May 2022
C0030590	C2108093	30 Aug 2022
C0035078	CN000083	02 May 2022
C0036069	C0950123	30 Aug 2022
C0037889	C0162809	30 Aug 2022
C0040582	C0040582	30 Aug 2022
C0042514	C2108113	30 Aug 2022
C0042798	CN130048	30 Aug 2022
C0455988	C1839988	30 Aug 2022
C1708350	C4225404	30 Aug 2022
C1800706	C3280660	02 May 2022
C1832409	CN240835	30 Aug 2022
C1832433	C0265318	09 Aug 2016
C1832526	C1861832	09 Aug 2016
C1832814	C1832814	23 Jun 2019
C1833022	C0034960	30 Aug 2022
C1833563	C1833563	30 Aug 2022
C1834120	C1868392	30 Aug 2022
C1834673	C0238288	17 Jun 2021
C1835223	C1835223	30 Aug 2022
C1835851	C2751310	30 Aug 2022
C1836031	C1836031	30 Aug 2022
C1836704	C1832370	30 Aug 2022
C1837023	C1861832	09 Aug 2016
C1837657	C1424647	30 Aug 2022
C1837687	CN000706	09 Aug 2016
C1837818	C0014518	24 Nov 2018
C1838009	C1849409	09 Aug 2016
C1838257	C0950123	05 Oct 2020
C1838652	C1858279	30 Aug 2022
C1839080	C2752078	28 Aug 2018
C1839282	C1861219	17 Feb 2015
C1839311	C1866294	30 Aug 2022
C1839580	C1839580	30 Aug 2022
C1839840	C0012236	30 Aug 2022
C1839885	C0034345	28 Aug 2018
C1840235	C0151721	30 Aug 2022
C1840365	C0950123	30 Aug 2022
C1840547	C1840547	30 Aug 2022
C1840644	C1840644	23 Jun 2019
C1842984	C4551774	30 Aug 2022
C1843772	C1835223	30 Aug 2022
C1844568	C1844568	30 Aug 2022
C1844676	C1844677	09 Aug 2016
C1844908	C2752078	28 Aug 2018
C1845026	C0031269	30 Aug 2022
C1845078	C0796254	09 Aug 2016
C1845667	C1848295	30 Aug 2022
C1846248	C0574083	09 Aug 2016
C1846720	C1832175	05 Nov 2017
C1847014	C0019069	30 Aug 2022
C1847132	C1856761	30 Aug 2022
C1848030	C0342790	30 Aug 2022
C1848174	C0574083	09 Aug 2016
C1848201	C1859081	30 Aug 2022
C1848587	C0024748	30 Aug 2022
C1850363	C0268247	09 Aug 2016
C1850442	C1426912	30 Aug 2022
C1850599	C3502630	30 Aug 2022
C1851443	C0268141	30 Aug 2022
C1851479	C0265961	09 Aug 2016
C1852488	C1838347	08 Sep 2016
C1853256	C1876187	09 Aug 2016
C1853710	C0023976	30 Aug 2022
C1853800	CN033288	09 Aug 2016
C1854414	C1832827	09 Aug 2016
C1855396	C0024748	30 Aug 2022
C1856304	CN074207	30 Aug 2022
C1856796	C1856796	30 Aug 2022
C1856797	C1856796	20 Jan 2021
C1857718	C1855179	09 Aug 2016
C1858133	C1858142	30 Aug 2022
C1858211	C1847874	09 Aug 2016
C1858279	C1858280	30 Aug 2022
C1858517	C0043116	30 Aug 2022
C1858674	C1858674	30 Aug 2022
C1859305	C0950123	30 Aug 2022
C3665382	C0268120	09 Aug 2016
C0220711	C3887523	30 Aug 2022
C0221355	C0020640	30 Aug 2022
C0221757	CN186215	30 Aug 2022
C0236038	C0236038	30 Aug 2022
C0239064	CN117467	30 Aug 2022
C0242287	C0950123	30 Aug 2022
C0265233	CN032291	30 Aug 2022
C0265251	C2678408	30 Aug 2022
C0265292	C0268323	30 Aug 2022
C0265341	C1292292	30 Aug 2022
C0266539	C3805373	30 Aug 2022
C0266617	CN001810	30 Aug 2022
C0268060	C4551624	30 Aug 2022
C0268131	C0268128	22 Nov 2018
C0268136	C1970808	30 Aug 2022
C0268226	C0950123	30 Aug 2022
C0268255	C1706004	30 Aug 2022
C0268281	C0950123	30 Aug 2022
C0268357	C0023931	02 Nov 2019
C0268358	C1841657	30 Aug 2022
C0268407	C2751492	30 Aug 2022
C0268490	C1861098	30 Aug 2022
C0268601	C1836542	30 Aug 2022
C0270853	C0950123	30 Aug 2022
C0276742	C0950123	30 Aug 2022
C0678202	C0678202	02 May 2022
C0745103	C0020445	30 Aug 2022
C0750384	CN078029	30 Aug 2022
C0795934	C0034960	30 Aug 2022
C0796079	C1291490	02 May 2022
C0796083	C0796031	02 May 2022
C0878682	C0272167	30 Aug 2022
C1313961	C0795690	30 Aug 2022
C1333991	C1333991	30 Aug 2022
C0079294	C0027819	30 Aug 2022
C0085413	C0950123	30 Aug 2022
C0085547	C1835672	30 Aug 2022
C0162311	C0162311	02 May 2022
C0162569	C0040582	30 Aug 2022
C0175693	C1835192	30 Aug 2022
C0424230	CN001164	19 Jan 2022
C0432197	C0950123	12 Jul 2022
C0432250	C1853162	29 Oct 2019
C0432284	C0950123	30 Aug 2022
C0432357	C5393125	30 Aug 2022
C1510586	C1510586	30 Aug 2022
C1608393	C0745103	30 Aug 2022
C2677776	C1849409	09 Aug 2016
C2678416	C2678416	30 Aug 2022
C2720293	C1970028	30 Aug 2022
C2748571	C0950123	30 Aug 2022
C2751492	C4746575	30 Aug 2022
C2751780	C1858677	22 Nov 2018
C2752015	C1866078	30 Aug 2022
C2930989	C1855369	30 Aug 2022
C2931206	C1848638	30 Aug 2022
C2931207	C1848604	02 May 2022
C2931212	C1854237	09 Aug 2016
C2931228	C1848201	30 Aug 2022
C2931299	C1849236	30 Aug 2022
C2931402	C0406557	02 May 2022
C2931792	C0795836	09 Aug 2016
C2936777	C2675525	05 Oct 2020
C2936858	C0036572	30 Aug 2022
C3149841	C0085413	30 Aug 2022
C3152055	C3152055	30 Aug 2022
CN221544	C0005426	30 Aug 2022
CN224075	C1868170	30 Aug 2022
C0339537	C1858378	30 Aug 2022
C0342336	C0271690	02 May 2022
C0392514	C0392514	30 Aug 2022
C0398791	C1840335	30 Aug 2022
C0406557	C0950123	30 Aug 2022
C0949691	C0038013	02 May 2022
C1860315	C0950123	10 Dec 2019
C1861098	C1861099	30 Aug 2022
C1861303	C0950123	02 May 2022
C1861454	C0272051	09 Aug 2016
C1861821	C0266537	30 Aug 2022
C1861829	C0950123	05 Oct 2020
C1861922	C1426930	30 Aug 2022
C1862138	C1862139	15 May 2019
C1862229	C1862229	23 Jun 2019
C1862898	C1275084	08 Sep 2016
C1863203	C3809250	30 Aug 2022
C1863239	C1863239	30 Aug 2022
C1863769	C0272051	09 Aug 2016
C1863921	C0796081	09 Aug 2016
C1864878	C1864879	09 Aug 2016
C1864970	C1862177	09 Aug 2016
C1866119	C1866119	30 Aug 2022
C1866259	C1866259	30 Aug 2022
C1866775	C0017495	09 Aug 2016
C1867315	C1857299	08 Sep 2016
C1867610	C0085261	09 Aug 2016
C1868114	C3552343	30 Aug 2022
C1868677	C0393720	30 Aug 2022
C1868690	C1868690	04 Mar 2021
C1876203	C1857252	30 Aug 2022
C1969665	C1969665	30 Aug 2022
C1969783	C1857299	30 Aug 2022
C1970808	C1970808	23 Jun 2019
C2012260	C1854678	30 Aug 2022
C2608079	CN078029	01 Nov 2020
C2608081	C1970109	30 Aug 2022
C2674127	C2697933	02 May 2022
C2674218	C0037889	30 Aug 2022
C2674574	C2674876	30 Aug 2022
C2674616	C0950123	30 Aug 2022
C2675519	C2675519	30 Aug 2022
C2675521	C2675520	09 Aug 2016
C2675525	C2675525	30 Aug 2022
C2675747	CN078029	23 Jun 2019
C2676233	C2676233	30 Aug 2022
C2676677	C2676676	09 Aug 2016
