DiseaseID	DiseaseName
UMLS:C0000744	Abetalipoproteinaemia
UMLS:C0000768	Congenital abnormality
UMLS:C0000772	Multiple congenital anomalies
UMLS:C0000774	Gastrin secretion abnormality
UMLS:C0000832	Placental abruption
UMLS:C0000833	Abscess
UMLS:C0000880	Acanthamoeba keratitis
UMLS:C0000887	Acantholysis
UMLS:C0000889	Acanthosis nigricans
UMLS:C0001075	Achlorhydria
UMLS:C0001079	Achondrogenesis
UMLS:C0001080	Achondroplasia
UMLS:C0001118	Abnormality of acid-base homeostasis
UMLS:C0001122	Acidosis
UMLS:C0001125	Lactic acidosis
UMLS:C0001126	Renal tubular acidosis
UMLS:C0001127	Respiratory acidosis
UMLS:C0001139	Acinetobacter infectious disease
UMLS:C0001145	Acne keloid
UMLS:C0001163	Vestibulocochlear nerve disorder
UMLS:C0001169	Acquired coagulation factor deficiency
UMLS:C0001193	Acrocephalosyndactyly type I
UMLS:C0001202	Acrokeratosis
UMLS:C0001206	Acromegaly
UMLS:C0001231	Ectopic ACTH secretion syndrome
UMLS:C0001255	Actinomycetales infectious disease
UMLS:C0001261	Actinomycotic infection
UMLS:C0001264	Cervicofacial actinomycosis
UMLS:C0001309	Angelucci syndrome
UMLS:C0001311	Acute bronchiolitis
UMLS:C0001314	Acute disease
UMLS:C0001327	Acute laryngitis
UMLS:C0001339	Acute pancreatitis
UMLS:C0001342	Acute pericementitis
UMLS:C0001344	Acute pharyngitis
UMLS:C0001360	Acute thyroiditis
UMLS:C0001363	Acute intestinal ischemia
UMLS:C0001396	Adams-Stokes syndrome
UMLS:C0001403	Primary adrenocortical insufficiency
UMLS:C0001418	Adenocarcinoma
UMLS:C0001420	Papillary adenocarcinoma
UMLS:C0001422	Adenofibroma
UMLS:C0001427	Adenoiditis
UMLS:C0001429	Warthin tumor
UMLS:C0001430	Adenoma
UMLS:C0001431	Pituitary gland basophil adenoma
UMLS:C0001432	Chromophobe adenoma
UMLS:C0001433	Pituitary gland acidophil adenoma
UMLS:C0001442	Adenosarcoma
UMLS:C0001486	Adenoviridae infectious disease
UMLS:C0001519	Holmes-Adie syndrome
UMLS:C0001529	Lipomatosis dolorosa
UMLS:C0001539	adjustment disorder with depressed mood
UMLS:C0001541	adjustment disorder with mixed disturbance of emotions and conduct
UMLS:C0001546	adjustment disorder
UMLS:C0001614	Adrenal cortex disorder
UMLS:C0001618	Neoplasm of the adrenal cortex
UMLS:C0001622	Hypercortisolism
UMLS:C0001623	Adrenal insufficiency
UMLS:C0001624	Neoplasm of the adrenal gland
UMLS:C0001627	Congenital adrenal hyperplasia
UMLS:C0001630	Adrenal rest tumor
UMLS:C0001727	Afferent loop syndrome
UMLS:C0001733	Afibrinogenemia
UMLS:C0001768	Agammaglobulinemia
UMLS:C0001815	Myelofibrosis
UMLS:C0001816	Agnosia
UMLS:C0001818	Agoraphobia
UMLS:C0001824	Agranulocytosis
UMLS:C0001825	Agraphia
UMLS:C0001857	AIDS related complex
UMLS:C0001860	Ainhum
UMLS:C0001883	Airway obstruction
UMLS:C0001889	Akinetic mutism
UMLS:C0001906	Variola minor infection
UMLS:C0001916	Albinism
UMLS:C0001940	Alcohol amnestic disorder
UMLS:C0001957	Alcohol withdrawal delirium
UMLS:C0001973	Alcohol dependence
UMLS:C0002016	Aleutian mink disease
UMLS:C0002018	Alexia
UMLS:C0002020	Alexithymia
UMLS:C0002063	Alkalosis
UMLS:C0002064	Respiratory alkalosis
UMLS:C0002066	Alkaptonuria
UMLS:C0002170	Alopecia
UMLS:C0002171	Alopecia areata
UMLS:C0002173	Alopecia mucinosa
UMLS:C0002176	Endocrine alopecia
UMLS:C0002312	alpha Thalassemia
UMLS:C0002390	Hypersensitivity pneumonitis
UMLS:C0002395	Alzheimer disease
UMLS:C0002418	Amblyopia
UMLS:C0002447	Amelia
UMLS:C0002448	Ameloblastoma
UMLS:C0002452	Amelogenesis imperfecta
UMLS:C0002453	Amenorrhea
UMLS:C0002514	Disorder of amino acid metabolism
UMLS:C0002534	Renal aminoaciduria
UMLS:C0002624	Retrograde amnesia
UMLS:C0002625	Amnestic disorder
UMLS:C0002631	Amnionitis
UMLS:C0002726	Amyloidosis
UMLS:C0002735	Amyotonia congenita
UMLS:C0002736	Amyotrophic lateral sclerosis
UMLS:C0002757	Anal gland neoplasm
UMLS:C0002768	Congenital Indifference to Pain
UMLS:C0002797	Anaplasmosis
UMLS:C0002831	Ancylostomiasis
UMLS:C0002871	Anemia
UMLS:C0002873	Anemia due to chronic disorder
UMLS:C0002874	Aplastic anemia
UMLS:C0002875	Beta-thalassemia major
UMLS:C0002876	Congenital dyserythropoietic anemia
UMLS:C0002878	Hemolytic anemia
UMLS:C0002880	Autoimmune hemolytic anemia
UMLS:C0002881	Congenital hemolytic anemia
UMLS:C0002882	Congenital nonspherocytic hemolytic anemia
UMLS:C0002884	Hypochromic anemia
UMLS:C0002886	Macrocytic anemia
UMLS:C0002888	Megaloblastic anemia
UMLS:C0002890	Myelophthisic anemia
UMLS:C0002891	Neonatal anemia
UMLS:C0002892	Pernicious anemia
UMLS:C0002893	Refractory anemia
UMLS:C0002894	Myelodysplastic syndrome with excess blasts
UMLS:C0002895	Hb SS disease
UMLS:C0002896	Sideroblastic anemia
UMLS:C0002902	Anencephalus
UMLS:C0002940	Vascular dilatation
UMLS:C0002949	Arterial dissection
UMLS:C0002959	Vascular ectasia
UMLS:C0002962	Angina pectoris
UMLS:C0002965	Intermediate coronary syndrome
UMLS:C0002982	Angioid streaks
UMLS:C0002983	Angioid streaks of choroid
UMLS:C0002985	Angiokeratoma
UMLS:C0002986	Fabry disease
UMLS:C0002989	Skin epithelioid hemangioma
UMLS:C0002991	Cutaneous fibrous histiocytoma
UMLS:C0002992	Angiomatosis
UMLS:C0002994	Angioedema
UMLS:C0003028	Anhidrosis
UMLS:C0003076	Congenital aniridia
UMLS:C0003079	Anisocoria
UMLS:C0003081	Anisometropia
UMLS:C0003090	Ankylosis
UMLS:C0003113	Anomic aphasia
UMLS:C0003119	Anophthalmia
UMLS:C0003123	Anorexia
UMLS:C0003125	Anorexia nervosa
UMLS:C0003126	Anosmia
UMLS:C0003128	Anovulation
UMLS:C0003152	Anterior compartment syndrome
UMLS:C0003164	Anthracosilicosis
UMLS:C0003165	Anthracosis
UMLS:C0003175	Anthrax infection
UMLS:C0003177	Cutaneous anthrax
UMLS:C0003460	Anuria
UMLS:C0003463	Anus neoplasm
UMLS:C0003466	Imperforate anus
UMLS:C0003467	Anxiety
UMLS:C0003469	anxiety disorder
UMLS:C0003486	Aortic aneurysm
UMLS:C0003492	Coarctation of aorta
UMLS:C0003493	Aortic disorder
UMLS:C0003499	Supravalvar aortic stenosis
UMLS:C0003504	Aortic regurgitation
UMLS:C0003505	Aortic valve prolapse
UMLS:C0003507	Aortic valve stenosis
UMLS:C0003509	Aortitis
UMLS:C0003511	Syphilitic aortitis
UMLS:C0003516	Aortopulmonary window
UMLS:C0003537	Aphasia
UMLS:C0003614	Appendiceal neoplasm
UMLS:C0003615	Appendicitis
UMLS:C0003635	Apraxia
UMLS:C0003650	APUdoma
UMLS:C0003706	Arachnodactyly
UMLS:C0003708	Arachnoiditis
UMLS:C0003723	Arbovirus infection
UMLS:C0003742	Arcus senilis
UMLS:C0003803	Chiari malformation
UMLS:C0003810	Ovarian Sertoli-Leydig cell tumor
UMLS:C0003811	Cardiac arrhythmia
UMLS:C0003850	Arteriosclerosis
UMLS:C0003851	Arteriosclerosis obliterans
UMLS:C0003855	Arteriovenous fistula
UMLS:C0003857	Arteriovenous malformation
UMLS:C0003860	Arteritis
UMLS:C0003864	Arthritis
UMLS:C0003869	Infective arthritis
UMLS:C0003872	Psoriatic arthritis
UMLS:C0003873	Rheumatoid arthritis
UMLS:C0003886	Arthrogryposis multiplex congenita
UMLS:C0003892	Neuropathic arthropathy
UMLS:C0003907	Arthus reaction
UMLS:C0003910	articulation disorder
UMLS:C0003949	Asbestosis
UMLS:C0003950	Ascariasis
UMLS:C0003952	Ascaridiasis
