DiseaseID	DiseaseName
OMIM:100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1
OMIM:100100	PRUNE BELLY SYNDROME
OMIM:100300	ADAMS-OLIVER SYNDROME 1
OMIM:100600	FANCE GENE
OMIM:100650	ALDEHYDE DEHYDROGENASE 2 FAMILY
OMIM:100675	ENCEPHALOPATHY, AXONAL, WITH NECROTIZING MYOPATHY, CARDIOMYOPATHY, AND CATARACTS
OMIM:100690	CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1
OMIM:100700	FRIEDREICH ATAXIA, SO-CALLED, WITH OPTIC ATROPHY AND SENSORINEURAL DEAFNESS
OMIM:100725	INTEGRIN, ALPHA-2B
OMIM:100730	HAWKINSINURIA
OMIM:100740	CULLIN 4B
OMIM:100790	SEPTOOPTIC DYSPLASIA
OMIM:100800	SOLUTE CARRIER FAMILY 30 (ZINC TRANSPORTER), MEMBER 8
OMIM:100850	ACONITASE, MITOCHONDRIAL
OMIM:101000	NEUROFIBROMATOSIS, TYPE II
OMIM:101120	MYELOCYTIC LEUKEMIA-LIKE SYNDROME, FAMILIAL, CHRONIC
OMIM:101200	APERT SYNDROME
OMIM:101400	AMYLOID P COMPONENT, SERUM
OMIM:101840	MEPRIN, BETA SUBUNIT
OMIM:101850	MYOCLONUS, CEREBELLAR ATAXIA, AND DEAFNESS
OMIM:101900	ACROKERATOSIS VERRUCIFORMIS
OMIM:102200	PITUITARY ADENOMA 1, MULTIPLE TYPES
OMIM:102300	BONE MORPHOGENETIC PROTEIN/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 1
OMIM:102500	HAJDU-CHENEY SYNDROME
OMIM:102540	ACTIN, ALPHA, CARDIAC MUSCLE
OMIM:102545	ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC
OMIM:102565	FILAMIN C
OMIM:102573	ACTININ, ALPHA-2
OMIM:102574	ACTININ, ALPHA-3
OMIM:102576	ACTIVIN A RECEPTOR, TYPE I
OMIM:102578	ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF
OMIM:102582	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3
OMIM:102600	ADENINE PHOSPHORIBOSYLTRANSFERASE
OMIM:102610	ACTIN, ALPHA, SKELETAL MUSCLE 1
OMIM:102620	ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA
OMIM:102630	ISCHIOCOXOPODOPATELLAR SYNDROME WITH OR WITHOUT PULMONARY ARTERIAL HYPERTENSION
OMIM:102642	STEROL O-ACYLTRANSFERASE 1
OMIM:102680	ADDUCIN 1
OMIM:102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY
OMIM:102720	DIPEPTIDYL PEPTIDASE IV
OMIM:102730	FUCOSYLTRANSFERASE 3
OMIM:102771	DNAJ/HSP40 HOMOLOG, SUBFAMILY A, MEMBER 3
OMIM:102775	ADENOSINE A1 RECEPTOR
OMIM:102776	ADENOSINE A2A RECEPTOR
OMIM:102910	THROMBOSPONDIN III
OMIM:103050	VERTEBRAL, CARDIAC, TRACHEOESOPHAGEAL, RENAL, AND LIMB DEFECTS
OMIM:103100	ADIE PUPIL
OMIM:103200	ADIPOSIS DOLOROSA
OMIM:103220	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4
OMIM:103230	ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL
OMIM:103400	FACTOR VIII AND FACTOR IX, COMBINED DEFICIENCY OF
OMIM:103580	LETHAL CONGENITAL CONTRACTURE SYNDROME 5
OMIM:103600	SOLUTE CARRIER ORGANIC ANION TRANSPORTER FAMILY, MEMBER 2A1
OMIM:103710	AROMATASE EXCESS SYNDROME
OMIM:103720	LIMB DEVELOPMENT MEMBRANE PROTEIN 1
OMIM:103730	ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE
OMIM:103780	ANIRIDIA 1
OMIM:103850	ALDOLASE A, FRUCTOSE-BISPHOSPHATE
OMIM:103880	CATARACT 8, MULTIPLE TYPES
OMIM:103900	SHOC2 LEUCINE-RICH REPEAT SCAFFOLD PROTEIN
OMIM:103950	ALPHA-2-MACROGLOBULIN
OMIM:104000	ALOPECIA AREATA 1
OMIM:104100	LONG QT SYNDROME 10
OMIM:104150	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME
OMIM:104160	GLUCOSIDASE, ALPHA, NEUTRAL AB
OMIM:104170	N-ACETYL-ALPHA-D-GALACTOSAMINIDASE
OMIM:104180	RIBOSOMAL PROTEIN L28
OMIM:104200	ALPORT SYNDROME 3, AUTOSOMAL DOMINANT
OMIM:104225	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10
OMIM:104250	APLASIA CUTIS CONGENITA, NONSYNDROMIC
OMIM:104300	ALZHEIMER DISEASE, FAMILIAL, 1
OMIM:104310	ALZHEIMER DISEASE 2
OMIM:104311	PRESENILIN 1
OMIM:104500	ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES
OMIM:104510	SLC2A4 REGULATOR
OMIM:104610	HEMOCHROMATOSIS, TYPE 3
OMIM:104614	SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1
OMIM:104620	SWI/SNF-RELATED, MATRIX-ASSOCIATED, ACTIN-DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY D, MEMBER 2
OMIM:104700	GUANYLATE CYCLASE 2C
OMIM:104701	X-RAY REPAIR CROSS COMPLEMENTING 3
OMIM:104702	AMYLASE, SALIVARY, B
OMIM:104760	AMYLOID BETA A4 PRECURSOR PROTEIN
OMIM:104770	KINESIN FAMILY MEMBER 22
OMIM:104775	AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 1
OMIM:104776	CHRONIC LYMPHOCYTIC LEUKEMIA UPREGULATED GENE 1
OMIM:105120	AMYLOIDOSIS, FINNISH TYPE
OMIM:105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED
OMIM:105200	UROCORTIN III
OMIM:105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED
OMIM:105250	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 2
OMIM:105400	AMYOTROPHIC LATERAL SCLEROSIS 1
OMIM:105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1
OMIM:105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1
OMIM:105590	ANAPLASTIC LYMPHOMA KINASE
OMIM:105650	DIAMOND-BLACKFAN ANEMIA 1
OMIM:105800	CEROID LIPOFUSCINOSIS, NEURONAL, 10
OMIM:105830	ANGELMAN SYNDROME
OMIM:105850	ANGIOGENIN
OMIM:106050	TRANS-2,3-ENOYL-CoA REDUCTASE
OMIM:106100	ANGIOEDEMA, HEREDITARY, 1
OMIM:106150	ANGIOTENSINOGEN
OMIM:106165	NATRIURETIC PEPTIDE RECEPTOR 2
OMIM:106180	ANGIOTENSIN I-CONVERTING ENZYME
OMIM:106210	POTASSIUM CHANNEL, CALCIUM-ACTIVATED, LARGE CONDUCTANCE, SUBFAMILY M, ALPHA MEMBER 1
OMIM:106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1
OMIM:106400	ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS
OMIM:106410	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 ENHANCER-BINDING PROTEIN 2
OMIM:106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1
OMIM:107250	PRA1 DOMAIN FAMILY, MEMBER 2
OMIM:107265	DNA DAMAGE-BINDING PROTEIN 1
OMIM:107269	CD44 ANTIGEN
OMIM:107271	NESCAV SYNDROME
OMIM:107280	SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3
OMIM:107300	SERPIN PEPTIDASE INHIBITOR, CLADE C (ANTITHROMBIN), MEMBER 1
OMIM:107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL
OMIM:107400	SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 1
OMIM:107470	INTERFERON-GAMMA RECEPTOR 1
OMIM:107480	HYPERLIPOPROTEINEMIA, TYPE ID
OMIM:107500	AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION
OMIM:107600	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE
OMIM:107650	RETINITIS PIGMENTOSA 92
OMIM:107670	STATHMIN 1
OMIM:107680	APOLIPOPROTEIN A-I
OMIM:107710	CARDIOMYOPATHY, DILATED, 2C
OMIM:107720	APOLIPOPROTEIN C-III
OMIM:107730	APOLIPOPROTEIN B
OMIM:107741	APOLIPOPROTEIN E
