DiseaseID	DiseaseName
OMIM:100050	AARSKOG SYNDROME, AUTOSOMAL DOMINANT
OMIM:100070	AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1
OMIM:100100	PRUNE BELLY SYNDROME
OMIM:100300	ADAMS-OLIVER SYNDROME 1
OMIM:100600	ACANTHOSIS NIGRICANS
OMIM:100650	ALDEHYDE DEHYDROGENASE 2 FAMILY
OMIM:100675	ACETAMINOPHEN METABOLISM
OMIM:100690	CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1
OMIM:100700	ACHARD SYNDROME
OMIM:100725	CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE
OMIM:100730	CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE
OMIM:100740	ACETYLCHOLINESTERASE
OMIM:100790	ACHAETE-SCUTE FAMILY bHLH TRANSCRIPTION FACTOR 1
OMIM:100800	ACHONDROPLASIA
OMIM:100850	ACONITASE, MITOCHONDRIAL
OMIM:101000	NEUROFIBROMATOSIS, TYPE II
OMIM:101120	ACROCEPHALOPOLYSYNDACTYLY TYPE III
OMIM:101200	APERT SYNDROME
OMIM:101400	SAETHRE-CHOTZEN SYNDROME
OMIM:101840	ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT
OMIM:101850	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III
OMIM:101900	ACROKERATOSIS VERRUCIFORMIS
OMIM:102200	PITUITARY ADENOMA 1, MULTIPLE TYPES
OMIM:102300	RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1
OMIM:102500	HAJDU-CHENEY SYNDROME
OMIM:102540	ACTIN, ALPHA, CARDIAC MUSCLE
OMIM:102545	ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC
OMIM:102565	FILAMIN C
OMIM:102573	ACTININ, ALPHA-2
OMIM:102574	ACTININ, ALPHA-3
OMIM:102576	ACTIVIN A RECEPTOR, TYPE I
OMIM:102578	ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF
OMIM:102582	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3
OMIM:102600	ADENINE PHOSPHORIBOSYLTRANSFERASE
OMIM:102610	ACTIN, ALPHA, SKELETAL MUSCLE 1
OMIM:102620	ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA
OMIM:102630	ACTIN, BETA
OMIM:102642	STEROL O-ACYLTRANSFERASE 1
OMIM:102680	ADDUCIN 1
OMIM:102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY
OMIM:102720	DIPEPTIDYL PEPTIDASE IV
OMIM:102730	ADENOSINE DEAMINASE, ELEVATED, HEMOLYTIC ANEMIA DUE TO
OMIM:102771	ADENOSINE MONOPHOSPHATE DEAMINASE 2
OMIM:102775	ADENOSINE A1 RECEPTOR
OMIM:102776	ADENOSINE A2A RECEPTOR
OMIM:102910	ATP SYNTHASE F1, SUBUNIT BETA
OMIM:103050	ADENYLOSUCCINASE DEFICIENCY
OMIM:103100	ADIE PUPIL
OMIM:103200	ADIPOSIS DOLOROSA
OMIM:103220	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4
OMIM:103230	ADRENOCORTICAL HYPOFUNCTION, CHRONIC PRIMARY CONGENITAL
OMIM:103400	AINHUM
OMIM:103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA
OMIM:103600	ALBUMIN
OMIM:103710	ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE
OMIM:103720	ALCOHOL DEHYDROGENASE 1B, CLASS I, BETA POLYPEPTIDE
OMIM:103730	ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE
OMIM:103780	ALCOHOL DEPENDENCE
OMIM:103850	ALDOLASE A, FRUCTOSE-BISPHOSPHATE
OMIM:103880	ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1
OMIM:103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I
OMIM:103950	ALPHA-2-MACROGLOBULIN
OMIM:104000	ALOPECIA AREATA 1
OMIM:104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1
OMIM:104150	ALPHA-FETOPROTEIN
OMIM:104160	GLUCOSIDASE, ALPHA, NEUTRAL AB
OMIM:104170	N-ACETYL-ALPHA-D-GALACTOSAMINIDASE
OMIM:104180	GLUCOSIDASE, ALPHA, NEUTRAL C
OMIM:104200	ALPORT SYNDROME 3, AUTOSOMAL DOMINANT
OMIM:104225	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN-ASSOCIATED PROTEIN 1
OMIM:104250	ALPHA-2C-ADRENERGIC RECEPTOR
OMIM:104300	ALZHEIMER DISEASE, FAMILIAL, 1
OMIM:104310	ALZHEIMER DISEASE 2
OMIM:104311	PRESENILIN 1
OMIM:104500	AMELOGENESIS IMPERFECTA, TYPE IB
OMIM:104510	AMELOGENESIS IMPERFECTA, TYPE IV
OMIM:104610	AMILORIDE-BINDING PROTEIN 1
OMIM:104614	SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1
OMIM:104620	AMINOACYLASE 1
OMIM:104700	AMYLASE, SALIVARY, A
OMIM:104701	AMYLASE, SALIVARY, B
OMIM:104702	AMYLASE, SALIVARY, C
OMIM:104760	AMYLOID BETA A4 PRECURSOR PROTEIN
OMIM:104770	AMYLOID P COMPONENT, SERUM
OMIM:104775	AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 1
OMIM:104776	AMYLOID BETA A4 PRECURSOR-LIKE PROTEIN 2
OMIM:105120	AMYLOIDOSIS, FINNISH TYPE
OMIM:105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED
OMIM:105200	AMYLOIDOSIS, FAMILIAL VISCERAL
OMIM:105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED
OMIM:105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1
OMIM:105400	AMYOTROPHIC LATERAL SCLEROSIS 1
OMIM:105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1
OMIM:105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1
OMIM:105590	ANAPLASTIC LYMPHOMA KINASE
OMIM:105650	DIAMOND-BLACKFAN ANEMIA 1
OMIM:105800	ANEURYSM, INTRACRANIAL BERRY, 1
OMIM:105830	ANGELMAN SYNDROME
OMIM:105850	ANGIOGENIN
OMIM:106050	ANGIOMA SERPIGINOSUM, AUTOSOMAL DOMINANT
OMIM:106100	ANGIOEDEMA, HEREDITARY, 1
OMIM:106150	ANGIOTENSINOGEN
OMIM:106165	ANGIOTENSIN II RECEPTOR, TYPE 1
OMIM:106180	ANGIOTENSIN I-CONVERTING ENZYME
OMIM:106210	ANIRIDIA 1
OMIM:106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1
OMIM:106400	ANKYLOSING VERTEBRAL HYPEROSTOSIS WITH TYLOSIS
OMIM:106410	ANKYRIN 2
OMIM:106700	TOTAL ANOMALOUS PULMONARY VENOUS RETURN 1
OMIM:107250	ANTERIOR SEGMENT DYSGENESIS 1
OMIM:107265	CD19 ANTIGEN
OMIM:107269	CD44 ANTIGEN
OMIM:107271	CD59 ANTIGEN
OMIM:107280	SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3
OMIM:107300	SERPIN PEPTIDASE INHIBITOR, CLADE C (ANTITHROMBIN), MEMBER 1
OMIM:107320	ANTIPHOSPHOLIPID SYNDROME, FAMILIAL
OMIM:107400	SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 1
OMIM:107470	INTERFERON-GAMMA RECEPTOR 1
OMIM:107480	TOWNES-BROCKS SYNDROME 1
OMIM:107500	AORTIC ARCH ANOMALY WITH PECULIAR FACIES AND MENTAL RETARDATION
OMIM:107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC
OMIM:107650	APNEA, OBSTRUCTIVE SLEEP
OMIM:107670	APOLIPOPROTEIN A-II
OMIM:107680	APOLIPOPROTEIN A-I
OMIM:107710	APOLIPOPROTEIN C-I
OMIM:107720	APOLIPOPROTEIN C-III
OMIM:107730	APOLIPOPROTEIN B
OMIM:107741	APOLIPOPROTEIN E
OMIM:107748	APEX NUCLEASE 1
OMIM:107770	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1
OMIM:107773	NUCLEAR RECEPTOR SUBFAMILY 2, GROUP F, MEMBER 2
OMIM:107776	AQUAPORIN 1
OMIM:107800	ARCUS CORNEAE
OMIM:107820	ARGINYL-tRNA SYNTHETASE 1
OMIM:107910	CYTOCHROME P450, FAMILY 19, SUBFAMILY A, POLYPEPTIDE 1
OMIM:107930	DOPA DECARBOXYLASE
OMIM:107940	ARRESTIN, BETA, 1
OMIM:107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1
