DiseaseID	DiseaseName
DOID:11054	Urinary bladder cancer
DOID:5041	Esophageal cancer
DOID:1324	Lung cancer
DOID:3907	Lung squamous cell carcinoma
DOID:1781	Thyroid cancer
DOID:263	Kidney cancer
DOID:4465	Papillary renal cell carcinoma
DOID:3571	Liver cancer
DOID:263	Kidney cancer
DOID:10534	Stomach cancer
DOID:219	Colon cancer
DOID:234	Colon adenocarcinoma
DOID:1324	Lung cancer
DOID:3910	Lung adenocarcinoma
DOID:11934	Head and neck cancer
DOID:263	Kidney cancer
DOID:4471	Chromophobe adenocarcinoma
DOID:1612	Breast cancer
DOID:10283	Prostate cancer
DOID:9256	Colorectal cancer
DOID:0050861	Colorectal adenocarcinoma
DOID:8618	Oral cavity cancer
DOID:0050866	Oral squamous cell carcinoma
DOID:2531	Hematologic cancer
DOID:0060058	Lymphoma
DOID:1612	Breast cancer
DOID:0060075	Estrogen-receptor positive breast cancer
DOID:2531	Hematologic cancer
DOID:1040	Chronic lymphocytic leukemia
DOID:1107	Esophageal carcinoma
DOID:2531	Hematologic cancer
DOID:1240	Leukemia
DOID:363	Uterine cancer
DOID:1380	Endometrial cancer
DOID:1793	Pancreatic cancer
DOID:1909	Melanoma
DOID:2394	Ovarian cancer
DOID:2152	Epithelial ovarian cancer
DOID:219	Colon cancer
DOID:2394	Ovarian cancer
DOID:10283	Prostate cancer
DOID:2526	Prostate adenocarcinoma
DOID:2596	Larynx cancer
DOID:2600	Laryngeal carcinoma
DOID:4362	Cervical cancer
DOID:2893	Cervix carcinoma
DOID:3070	Malignant glioma
DOID:3069 	Astrocytoma
DOID:3119	Gastrointentinal system cancer
DOID:4159	Skin cancer
DOID:3151	Skin squamous cell carcinoma
DOID:1612	Breast cancer
DOID:3459	Breast carcinoma
DOID:263	Kidney cancer
DOID:3672	Rhabdoid cancer
DOID:10534	Stomach cancer
DOID:3717	Stomach adenocarcinoma
DOID:1324	Lung cancer
DOID:3905	Lung carcinoma
DOID:3908	Non-small cell lung carcinoma
DOID:1781	Thyroid cancer
DOID:3963	Thyroid carcinoma
DOID:11054	Urinary bladder cancer
DOID:4007	Bladder carcinoma
DOID:1793	Pancreatic cancer
DOID:4074	Pancreas adenocarcinoma
DOID:4362	Cervical cancer
DOID:263	Kidney cancer
DOID:4450	Renal cell carcinoma
DOID:4467	Renal clear cell carcinoma
DOID:1324	Lung cancer
DOID:5409	Lung small cell carcinoma
DOID:3571	Liver cancer
DOID:684	Hepatocellular carcinoma
DOID:11054	Urinary bladder cancer
DOID:7244	Bladder urachal urothelial carcinoma
DOID:2531	Hematologic cancer
DOID:8552	Chronic myeloid leukemia
DOID:9119	Acute myeloid leukemia
DOID:9256	Colorectal cancer
DOID:1319	Brain cancer
DOID:5082	Liver cirrhosis
