DiseaseID	DiseaseName
DOID:0050890	synucleinopathy
DOID:10113	trypanosomiasis
DOID:10718	giardiasis
DOID:13406	pulmonary sarcoidosis
DOID:1947	trichomoniasis
DOID:7551	gonorrhea
EFO:0000094	B-cell acute lymphoblastic leukemia
EFO:0000095	chronic lymphocytic leukemia
EFO:0000096	neoplasm of mature B-cells
EFO:0000174	Ewing sarcoma
EFO:0000178	gastric carcinoma
EFO:0000180	HIV-1 infection
EFO:0000181	head and neck squamous cell carcinoma
EFO:0000182	hepatocellular carcinoma
EFO:0000183	Hodgkins lymphoma
EFO:0000186	invasive breast ductal carcinoma
EFO:0000191	MALT lymphoma
EFO:0000195	metabolic syndrome
EFO:0000196	metastatic prostate cancer
EFO:0000197	mucinous carcinoma
EFO:0000198	myelodysplastic syndrome
EFO:0000199	oral squamous cell carcinoma
EFO:0000200	plasma cell neoplasm
EFO:0000203	monoclonal gammopathy
EFO:0000205	stage I endometrioid carcinoma
EFO:0000206	stage II endometrioid carcinoma
EFO:0000209	T-cell acute lymphoblastic leukemia
EFO:0000211	unspecified peripheral T-cell lymphoma
EFO:0000216	acinar cell carcinoma
EFO:0000217	gastritis
EFO:0000218	acute erythroleukemia
EFO:0000220	acute lymphoblastic leukemia
EFO:0000221	acute monocytic leukemia
EFO:0000222	acute myeloid leukemia
EFO:0000223	acute myelomonocytic leukemia
EFO:0000224	acute promyelocytic leukemia
EFO:0000225	acute quadriplegic myopathy
EFO:0000228	adenocarcinoma
EFO:0000231	adenoid cystic carcinoma
EFO:0000232	adenoma
EFO:0000233	adenosquamous lung carcinoma
EFO:0000239	adrenal gland pheochromocytoma
EFO:0000246	age
EFO:0000248	alveolar rhabdomyosarcoma
EFO:0000255	angioimmunoblastic T-cell lymphoma
EFO:0000266	aortic stenosis
EFO:0000272	astrocytoma
EFO:0000274	atopic eczema
EFO:0000275	atrial fibrillation
EFO:0000278	pancreatitis
EFO:0000279	azoospermia
EFO:0000280	Barrett's esophagus
EFO:0000281	basal-like breast carcinoma
EFO:0000284	benign prostatic hyperplasia
EFO:0000287	biopsy number
EFO:0000289	bipolar disorder
EFO:0000294	bladder tumor
EFO:0000304	breast adenocarcinoma
EFO:0000305	breast carcinoma
EFO:0000306	breast tumor luminal
