DiseaseID	DiseaseName
MONDO:0000004	adrenocortical insufficiency
MONDO:0000009	inherited bleeding disorder, platelet-type
MONDO:0000022	nocturnal enuresis
MONDO:0000050	isolated congenital growth hormone deficiency
MONDO:0000088	precocious puberty
MONDO:0000104	anemia, hypochromic microcytic with iron overload
MONDO:0000107	auriculocondylar syndrome
MONDO:0000110	bifid nose
MONDO:0000115	Chiari malformation
MONDO:0000127	geleophysic dysplasia
MONDO:0000128	giant axonal neuropathy
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000141	mosaic variegated aneuploidy syndrome
MONDO:0000153	transposition of the great arteries
MONDO:0000156	trigonocephaly
MONDO:0000159	bone marrow failure syndrome
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A
MONDO:0000179	Neu-Laxova syndrome
MONDO:0000190	ventricular fibrillation
MONDO:0000193	cortisone reductase deficiency
MONDO:0000200	Zimmermann-Laband syndrome
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1
MONDO:0000211	striatal degeneration, autosomal dominant
MONDO:0000212	hypercalcemia, infantile
MONDO:0000214	hypermanganesemia with dystonia
MONDO:0000248	dengue shock syndrome
MONDO:0000257	acute diarrhea
MONDO:0000265	aspiration pneumonia
MONDO:0000284	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type
MONDO:0000313	hypophosphatemia
MONDO:0000327	Buruli ulcer disease
MONDO:0000328	hyperphosphatemia
MONDO:0000334	multinodular goiter
MONDO:0000351	disorder of methionine catabolism
MONDO:0000355	Ullrich congenital muscular dystrophy
MONDO:0000359	spondylocostal dysostosis
MONDO:0000365	primary congenital glaucoma
MONDO:0000384	bladder benign neoplasm
MONDO:0000387	hypochromic microcytic anemia
MONDO:0000389	atelosteogenesis
MONDO:0000390	vitelliform macular dystrophy
MONDO:0000393	partial fetal alcohol syndrome
MONDO:0000395	alcohol-related birth defect
MONDO:0000396	spastic cerebral palsy
MONDO:0000400	mixed cerebral palsy
MONDO:0000402	small cell carcinoma
MONDO:0000408	fetal alcohol spectrum disorder
MONDO:0000409	chorioamnionitis
MONDO:0000410	funisitis
MONDO:0000424	inborn vitamin B12 deficiency
MONDO:0000425	X-linked disease
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma
MONDO:0000432	lymphoplasmacytic lymphoma
MONDO:0000437	cerebellar ataxia
MONDO:0000440	metabolic acidosis
MONDO:0000447	autosomal dominant polycystic liver disease
MONDO:0000448	paraganglioma
MONDO:0000451	primary progressive multiple sclerosis
MONDO:0000453	short QT syndrome
MONDO:0000455	cone dystrophy
MONDO:0000461	nutritional biotin deficiency
MONDO:0000463	Ochoa syndrome
MONDO:0000465	atrioventricular block
MONDO:0000473	arterial disorder
MONDO:0000476	generalized dystonia
MONDO:0000477	focal dystonia
MONDO:0000481	cervical dystonia
MONDO:0000495	oppositional defiant disorder
MONDO:0000499	non-arteritic anterior ischemic optic neuropathy
MONDO:0000500	tongue squamous cell carcinoma
MONDO:0000507	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000509	non-syndromic intellectual disability
MONDO:0000544	mucosal melanoma
MONDO:0000550	extra-adrenal sympathetic paraganglioma
MONDO:0000568	autoimmune disease of central nervous system
MONDO:0000577	congenital anemia
MONDO:0000594	pervasive developmental disorder
MONDO:0000598	aphasia
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma
MONDO:0000608	familial juvenile hyperuricemic nephropathy
MONDO:0000651	thoracic disease
MONDO:0000654	benign connective and soft tissue neoplasm
MONDO:0000665	apraxia
MONDO:0000675	pain agnosia
MONDO:0000688	inherited organic acidemia
MONDO:0000693	bipolar II disorder
MONDO:0000694	seasonal affective disorder
MONDO:0000700	familial hemiplegic migraine
MONDO:0000709	Crohn ileitis
MONDO:0000722	non-syndromic synpolydactyly
MONDO:0000723	stutter disorder
MONDO:0000724	specific language impairment
MONDO:0000726	idiopathic scoliosis
MONDO:0000727	scapuloperoneal myopathy
MONDO:0000728	ptosis
MONDO:0000732	combined oxidative phosphorylation deficiency
MONDO:0000733	cornea plana
MONDO:0000734	Ohdo syndrome and variants
MONDO:0000736	dyschromatosis universalis hereditaria
MONDO:0000745	cardiac arrest
MONDO:0000750	dental abscess
MONDO:0000755	ectopic pregnancy
MONDO:0000766	corneal endothelial dystrophy
MONDO:0000775	drug allergy
MONDO:0000809	purpura fulminans
MONDO:0000812	vertebral column disease
MONDO:0000816	abdominal obesity-metabolic syndrome
MONDO:0000819	anencephaly
MONDO:0000820	cerebral cavernous malformation
MONDO:0000827	salmonellosis
MONDO:0000831	thrombotic disease
MONDO:0000837	bone resorption disease
MONDO:0000839	congenital abnormality
MONDO:0000845	fibrous dysplasia
MONDO:0000858	neuronal intestinal dysplasia
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia
MONDO:0000866	myoglobinuria
MONDO:0000870	childhood acute lymphoblastic leukemia
MONDO:0000888	gastrointestinal mucositis
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy
MONDO:0000903	myoclonus-dystonia syndrome
MONDO:0000908	arrhythmogenic right ventricular dysplasia 13
MONDO:0000909	Bartter disease type 4B
MONDO:0000913	hereditary spherocytosis type 2
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1
MONDO:0000918	endometritis
MONDO:0000942	corneal disease
MONDO:0000958	neuroretinitis
MONDO:0000960	diabetic peripheral angiopathy
MONDO:0000966	pleomorphic lipoma
MONDO:0000984	thalassemia
MONDO:0000986	pleurisy
MONDO:0000989	mumps infectious disease
MONDO:0000994	malignant prostate phyllodes tumor
MONDO:0000995	familial periodic paralysis
MONDO:0001008	blepharophimosis
MONDO:0001029	Klippel-Feil syndrome
MONDO:0001046	imperforate anus
MONDO:0001056	gastric cancer
MONDO:0001068	osteomalacia
MONDO:0001071	intellectual disability
MONDO:0001074	chronic tic disorder
MONDO:0001076	glucose intolerance
MONDO:0001083	Fanconi renotubular syndrome
MONDO:0001085	interstitial nephritis
MONDO:0001098	separation anxiety disorder
MONDO:0001103	giardiasis
MONDO:0001105	renal hypertension
MONDO:0001106	kidney failure
MONDO:0001115	familial polycythemia
MONDO:0001117	methemoglobinemia
MONDO:0001119	premature menopause
MONDO:0001126	gastric ulcer
MONDO:0001133	malignant essential hypertension
MONDO:0001134	essential hypertension
MONDO:0001149	microcephaly
MONDO:0001150	hydrocephalus
MONDO:0001152	amnestic disorder
MONDO:0001162	impulse control disorder
MONDO:0001164	antisocial personality disorder
MONDO:0001166	nephritis
MONDO:0001167	spastic diplegia
MONDO:0001169	spastic monoplegia
MONDO:0001170	hemiplegia
MONDO:0001176	lens disease
MONDO:0001185	dissociative amnesia
MONDO:0001187	urinary bladder cancer
MONDO:0001198	acquired thrombocytopenia
MONDO:0001209	common wart
MONDO:0001220	hypoparathyroidism
MONDO:0001221	esophageal varices
MONDO:0001225	opioid abuse
MONDO:0001240	neonatal anemia
MONDO:0001243	disseminated intravascular coagulation
MONDO:0001244	vitamin K deficiency hemorrhagic disease
MONDO:0001245	microcytic anemia
MONDO:0001247	social phobia
MONDO:0001250	keratomalacia
MONDO:0001256	arteriovenous hemangioma/malformation
MONDO:0001265	schizophreniform disorder
MONDO:0001273	megacolon
MONDO:0001275	spinal meningioma
MONDO:0001280	choroiditis
MONDO:0001292	autonomic nervous system disease
MONDO:0001297	cardiac tamponade
MONDO:0001298	congenital mitral valve insufficiency
MONDO:0001299	diabetic autonomic neuropathy
MONDO:0001300	autonomic neuropathy
MONDO:0001308	corneal deposit
MONDO:0001314	chondrocalcinosis
MONDO:0001315	neurocirculatory asthenia
MONDO:0001323	infant gynecomastia
MONDO:0001324	hyperandrogenism
MONDO:0001325	penile cancer
