"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
1,"11-Beta-hydroxylase deficiency",,,1,1,
2,"12q14 microdeletion syndrome",,,2,2,"MONDO:0019784"
3,"14q12 microdeletion syndrome",,,1,1,"MONDO:0016833"
4,"15q11q13 microduplication syndrome",,,1,1,"MONDO:0012081"
5,"15q14 microdeletion syndrome",,,1,1,"MONDO:0014822"
6,"15q24 Microdeletion",,,1,1,
7,"16q24.3 microdeletion syndrome",,,6,6,"MONDO:0016838"
8,"17-Hydroxysteroid Dehydrogenase Deficiency",,,1,1,
9,"17,20-Lyase Deficiency, Isolated",,,1,1,
10,"17p11.2 Monosomy",,,1,1,
11,"17q11.2 microduplication syndrome",,,1,1,"MONDO:0015350"
12,"18-Hydroxylase deficiency",,,1,1,
13,"1p21.3 microdeletion syndrome",,,1,1,"MONDO:0017405"
14,"1q44 microdeletion syndrome",,,1,1,"MONDO:0016561"
15,"2-aminoadipic 2-oxoadipic aciduria",,"A metabolic disorder characterized by increased levels of 2-oxoadipate and 2-hydroxyadipate in the urine, and elevated 2-aminoadipate in the plasma. Patients can have mild to severe intellectual disability, muscular hypotonia, developmental delay, ataxia, and epilepsy. Most cases are asymptomatic.",1,1,"MONDO:0008774"
16,"2-hydroxyglutaric aciduria","An amino acid metabolic disorder that is an autosomal recessive neurometabolic disorder characterized by the significant elevation of urinary levels of hydroxyglutaric acid causing progressive brain damage.",,4,4,"MONDO:0016001"
17,"2-methyl-3-hydroxybutyric aciduria",,,1,1,
18,"2-methylbutyryl-CoA dehydrogenase deficiency",,"Autosomal recessive disorder and consists of a defect in catabolism of L-isoleucine which is characterized by an increase of 2-methylbutyrylglycine and 2-methylbutyrylcarnitine in blood and urine. Affected individuals have seizures and psychomotor delay as the main clinical features.",1,1,"MONDO:0012392"
19,"2,8-Dihydroxyadenine Urolithiasis",,,1,1,
20,"20p12.3 microdeletion syndrome",,,1,1,"MONDO:0016841"
21,"22q11 Deletion Syndrome",,,10,10,
22,"22q11 partial monosomy syndrome",,,9,9,
23,"22q11.2 deletion syndrome",,,16,8,"MONDO:0018923"
24,"2p21 microdeletion syndrome",,,4,4,"MONDO:0015583"
25,"2q23.1 microdeletion syndrome",,,1,1,"MONDO:0016459"
26,"2q37 microdeletion syndrome",,"A syndrome resembling the physical anomalies found in Albright hereditary osteodystrophy. Common features are mild facial dysmorphism, congenital heart defects, distinct brachydactyly type E, mental retardation, developmental delay, seizures, autism spectrum disorder, and stocky build. Soft tissue ossification is absent, and there are no abnormalities in parathyroid hormone or calcium metabolism.",4,4,"MONDO:0010886"
27,"3 beta-Hydroxysteroid dehydrogenase deficiency",,,1,1,
28,"3-alpha-hydroxyacyl-CoA dehydrogenase deficiency",,"An autosomal recessive, metabolic disorder with various clinical presentations including hypoglycemia, hepatoencephalopathy, myopathy or cardiomyopathy, and in some cases sudden death.",1,1,
29,"3-hydroxy-3-methylglutaric aciduria",,"An autosomal recessive disease affecting ketogenesis and L-leucine catabolism. The disease usually appears in the first year of life after a fasting period and its clinical acute symptoms include vomiting, seizures, metabolic acidosis, hypoketotic hypoglycemia and lethargy. These symptoms sometimes progress to coma, with fatal outcome in some cases.",1,1,"MONDO:0009520"
30,"3-hydroxy-3-methylglutaryl-CoA synthase deficiency",,"A metabolic disorder characterized by severe hypoketotic hypoglycemia, encephalopathy, and hepatomegaly.",1,1,"MONDO:0011614"
31,"3-hydroxyacyl-CoA dehydrogenase deficiency",,,4,1,"MONDO:0017715"
32,"3-hydroxyisobutyryl-CoA hydrolase deficiency",,"An autosomal recessive inborn error of valine metabolism. It causes severely delayed psychomotor development, neurodegeneration, increased lactic acid, and brain lesions in the basal ganglia.",1,1,"MONDO:0009603"
33,"3-M syndrome","An autosomal recessive disease characterized by dwarfism, facial dysmorphia and skeletal abnormalities.",,3,3,"MONDO:0007477"
34,"3-methylcrotonyl CoA carboxylase 2 deficiency",,,1,1,
35,"3-methylcrotonyl-CoA carboxylase 1 deficiency",,"An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.",2,2,"MONDO:0008861"
36,"3-methylcrotonyl-CoA carboxylase 2 deficiency",,"An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.",1,1,"MONDO:0008862"
37,"3-methylcrotonyl-CoA carboxylase deficiency","An amino acid metabolic disorder that has_material_basis_in mutations in the MCCC1 and MCCC2 genes causing inadequate levels of the enzyme 3-methylcrotonyl-CoA carboxylase that helps break down proteins containing the amino acid leucine. This disease has_symptom muscular hypotonia (weak muscle tone), has_symptom muscular atrophy, has_symptom feeding difficulties, has_symptom recurrent episodes of vomiting and diarrhea, and has_symptom lethargy.",,2,2,"MONDO:0018950"
38,"3-methylglutaconic aciduria","An organic acidemia that is characterized by elevated levels of 3-methylglutaconic acid and 3-methylglutaric acid in the urine.",,10,1,"MONDO:0017359"
39,"3-methylglutaconic aciduria type 1","A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the AUH gene on chromosome 9q22.","An inborn error of leucine metabolism. It leads to an autosomal recessive syndrome with variable clinical phenotype, ranging from delayed speech development to severe psychomotor retardation, coma, failure to thrive, metabolic acidosis and dystonia. MGA1 can be distinguished from other forms of MGA by the pattern of metabolite excretion: 3-methylglutaconic acid levels are higher than those detected in other forms, whereas methylglutaric acid levels are usually only slightly elevated and there is a high level of 3-hydroxyisovaleric acid excretion (not present in other MGA forms).",1,1,"MONDO:0009610"
40,"3-methylglutaconic aciduria type 3","A 3-methylglutaconic aciduria that has_material_basis_in mutation in the OPA3 gene.","An autosomal recessive metabolic disorder that causes a neuro-ophthalmologic syndrome consisting of early-onset bilateral optic atrophy, spasticity, extrapyramidal dysfunction and cognitive deficit. Urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid is increased. MGA3 can be distinguished from MGA1 by the absence of increase of 3-hydroxyisovaleric acid levels.",2,2,"MONDO:0009787"
41,"3-methylglutaconic aciduria type 5","A 3-methylglutaconic aciduria that has_material_basis_in homozygous mutation in the DNAJC19 gene on chromosome 3q26.","An autosomal recessive disorder characterized by early-onset dilated cardiomyopathy, growth failure, cerebellar ataxia causing significant motor delays, testicular dysgenesis, growth failure and significant increases in urine organic acids, particularly 3-methylglutaconic acid and 3-methylglutaric acid.",1,1,"MONDO:0012435"
42,"3-methylglutaconic aciduria type 8","A 3-methylglutaconic aciduria that has_material_basis_in homozygous mutation in the HTRA2 gene on chromosome 2p13.","An autosomal recessive inborn error of metabolism resulting in early death. Clinical features include extreme hypertonia observed at birth, alternating with hypotonia, subsequent appearance of extrapyramidal symptoms, lack of psychomotor development, microcephaly, and intractable seizures. Patients show lactic acidemia, 3-methylglutaconic aciduria, intermittent neutropenia, and progressive brain atrophy.",1,1,"MONDO:0044723"
43,"3-methylglutaconic aciduria type 9",,"An autosomal recessive disease characterized by early-onset seizures, severely delayed psychomotor development and intellectual disability. Patients have hypotonia or spasticity, and laboratory investigations show increased serum lactate and 3-methylglutaconic aciduria.",1,1,"MONDO:0044724"
44,"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia","A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the CLPB gene on chromosome 11q13.","An autosomal recessive inborn error of metabolism with a highly variable phenotype. Primary disease symptoms are increased levels of 3-methylglutaconic acid, neurologic deterioration and neutropenia. Other common features include progressive encephalopathy, movement abnormalities, delayed psychomotor development, cataracts, seizures, and recurrent infections.",1,1,"MONDO:0014561"
