DiseaseID	DiseaseName
UMLS:C0000810	Incomplete spontaneous abortion
UMLS:C0000814	Missed abortion
UMLS:C0001126	Renal tubular acidosis
UMLS:C0001127	Acidosis, Respiratory
UMLS:C0001144	Acne Vulgaris
UMLS:C0001206	Acromegaly
UMLS:C0001207	Hypersomatotropic gigantism
UMLS:C0001261	Actinomycosis
UMLS:C0001263	Abdominal actinomycosis
UMLS:C0001264	Cervicofacial actinomycosis
UMLS:C0001314	Acute Disease
UMLS:C0001403	Addison Disease
UMLS:C0001418	Adenocarcinoma
UMLS:C0001622	Adrenal Gland Hyperfunction
UMLS:C0001624	Adrenal Gland Neoplasms
UMLS:C0001627	Congenital adrenal hyperplasia
UMLS:C0001723	Affective Disorders, Psychotic
UMLS:C0001815	Primary Myelofibrosis
UMLS:C0001956	alcohol use disorder
UMLS:C0001957	Alcohol Withdrawal Delirium
UMLS:C0001973	Alcoholic Intoxication, Chronic
UMLS:C0002170	Alopecia
UMLS:C0002171	Alopecia Areata
UMLS:C0002351	Altitude Sickness
UMLS:C0002390	Extrinsic allergic alveolitis
UMLS:C0002395	Alzheimer's Disease
UMLS:C0002438	Amebiasis
UMLS:C0002440	Chronic intestinal amebiasis
UMLS:C0002453	Amenorrhea
UMLS:C0002726	Amyloidosis
UMLS:C0002736	Amyotrophic Lateral Sclerosis
UMLS:C0002792	anaphylaxis
UMLS:C0002874	Aplastic Anemia
UMLS:C0002875	Cooley's anemia
UMLS:C0002880	Autoimmune hemolytic anemia
UMLS:C0002888	Anemia, Megaloblastic
UMLS:C0002892	Anemia, Pernicious
UMLS:C0002895	Anemia, Sickle Cell
UMLS:C0002962	Angina Pectoris
UMLS:C0002963	Angina Pectoris, Variant
UMLS:C0002986	Fabry Disease
UMLS:C0002994	Angioedema
UMLS:C0003125	Anorexia Nervosa
UMLS:C0003129	Anoxemia
UMLS:C0003175	Anthrax disease
UMLS:C0003177	Cutaneous anthrax
UMLS:C0003467	Anxiety
UMLS:C0003469	Anxiety Disorders
UMLS:C0003492	Aortic coarctation
UMLS:C0003614	Appendiceal Neoplasms
UMLS:C0003615	Appendicitis
UMLS:C0003811	Cardiac Arrhythmia
UMLS:C0003850	Arteriosclerosis
UMLS:C0003862	Arthralgia
UMLS:C0003864	Arthritis
UMLS:C0003868	Arthritis, Gouty
UMLS:C0003872	Arthritis, Psoriatic
UMLS:C0003873	Rheumatoid Arthritis
UMLS:C0003950	Ascariasis
UMLS:C0003962	Ascites
UMLS:C0004030	Aspergillosis
UMLS:C0004031	Aspergillosis, Allergic Bronchopulmonary
UMLS:C0004093	Asthenia
UMLS:C0004096	Asthma
UMLS:C0004114	Astrocytoma
UMLS:C0004153	Atherosclerosis
UMLS:C0004238	Atrial Fibrillation
UMLS:C0004245	Atrioventricular Block
UMLS:C0004352	Autistic Disorder
UMLS:C0004364	Autoimmune Diseases
UMLS:C0004604	Back Pain
UMLS:C0004610	Bacteremia
UMLS:C0004623	Bacterial Infections
UMLS:C0004626	Pneumonia, Bacterial
UMLS:C0004771	Bartonella Infections
UMLS:C0004779	Basal Cell Nevus Syndrome
UMLS:C0004903	Beckwith-Wiedemann Syndrome
UMLS:C0004945	Bejel
UMLS:C0005138	Berylliosis
UMLS:C0005283	beta Thalassemia
UMLS:C0005424	Biliary Tract Diseases
UMLS:C0005586	Bipolar Disorder
UMLS:C0005587	Depression, Bipolar
UMLS:C0005684	Malignant neoplasm of urinary bladder
UMLS:C0005686	Urinary Bladder Diseases
UMLS:C0005695	Bladder Neoplasm
UMLS:C0005697	Neurogenic Urinary Bladder
UMLS:C0005699	Blast Phase
UMLS:C0005716	Blastomycosis
UMLS:C0005743	Blepharoconjunctivitis
UMLS:C0005779	Blood Coagulation Disorders
UMLS:C0005911	Body Weight Changes
UMLS:C0006057	Botulism
UMLS:C0006060	Boutonneuse Fever
UMLS:C0006105	Brain Abscess
UMLS:C0006111	Brain Diseases
UMLS:C0006114	Cerebral Edema
UMLS:C0006118	Brain Neoplasms
UMLS:C0006181	Brill-Zinsser Disease
UMLS:C0006266	Bronchial Spasm
UMLS:C0006267	Bronchiectasis
UMLS:C0006271	Bronchiolitis
UMLS:C0006272	Bronchiolitis Obliterans
UMLS:C0006277	Bronchitis
UMLS:C0006287	Bronchopulmonary Dysplasia
UMLS:C0006309	Brucellosis
UMLS:C0006413	Burkitt Lymphoma
UMLS:C0006434	Burn injury
UMLS:C0006444	Bursitis
UMLS:C0006664	Calcinosis cutis
UMLS:C0006666	Calciphylaxis
UMLS:C0006840	Candidiasis
UMLS:C0006846	Cutaneous Candidiasis
UMLS:C0006848	Mucocutaneous candidiasis
UMLS:C0006849	Oral candidiasis
UMLS:C0007097	Carcinoma
UMLS:C0007099	Carcinoma in Situ
UMLS:C0007102	Malignant tumor of colon
UMLS:C0007112	Adenocarcinoma of prostate
UMLS:C0007114	Malignant neoplasm of skin
UMLS:C0007115	Malignant neoplasm of thyroid
UMLS:C0007117	Basal cell carcinoma
UMLS:C0007120	Bronchioloalveolar Adenocarcinoma
UMLS:C0007124	Noninfiltrating Intraductal Carcinoma
UMLS:C0007131	Non-Small Cell Lung Carcinoma
UMLS:C0007134	Renal Cell Carcinoma
UMLS:C0007137	Squamous cell carcinoma
UMLS:C0007138	Carcinoma, Transitional Cell
UMLS:C0007194	Hypertrophic Cardiomyopathy
UMLS:C0007273	Carotid Artery Diseases
UMLS:C0007282	Carotid Stenosis
UMLS:C0007286	Carpal Tunnel Syndrome
UMLS:C0007682	CNS disorder
UMLS:C0007771	Intracranial Arteriosclerosis
UMLS:C0007780	Cerebral Embolism
UMLS:C0007786	Brain Ischemia
UMLS:C0007820	Cerebrovascular Disorders
UMLS:C0007847	Malignant tumor of cervix
UMLS:C0007860	Uterine Cervicitis
UMLS:C0007947	Chancroids
UMLS:C0008049	Chickenpox
UMLS:C0008149	Chlamydia Infections
UMLS:C0008311	Cholangitis
UMLS:C0008312	Primary biliary cirrhosis
UMLS:C0008325	Cholecystitis
UMLS:C0008350	Cholelithiasis
UMLS:C0008354	Cholera
UMLS:C0008495	Chorioamnionitis
UMLS:C0008513	Chorioretinitis
UMLS:C0008526	Choroiditis
UMLS:C0008533	Hemophilia B
UMLS:C0008582	Chromoblastomycosis
UMLS:C0008677	Bronchitis, Chronic
UMLS:C0008728	Churg-Strauss Syndrome
UMLS:C0009062	Clostridium Infections
UMLS:C0009088	Cluster Headache
UMLS:C0009186	Coccidioidomycosis
UMLS:C0009324	Ulcerative Colitis
UMLS:C0009375	Colonic Neoplasms
UMLS:C0009402	Colorectal Carcinoma
UMLS:C0009404	Colorectal Neoplasms
UMLS:C0009443	Common Cold
UMLS:C0009663	Condylomata Acuminata
UMLS:C0009766	Allergic Conjunctivitis
UMLS:C0009768	Bacterial conjunctivitis
UMLS:C0009769	Conjunctivitis, Giant Papillary
UMLS:C0009770	Inclusion conjunctivitis
UMLS:C0009773	Conjunctivitis, Vernal
UMLS:C0009806	Constipation
UMLS:C0010032	Corneal abrasion
UMLS:C0010034	Corneal Diseases
UMLS:C0010043	Corneal Ulcer
UMLS:C0010054	Coronary Arteriosclerosis
UMLS:C0010073	Coronary Artery Vasospasm
UMLS:C0010200	Coughing
UMLS:C0010308	Congenital Hypothyroidism
UMLS:C0010340	Critical Illness
UMLS:C0010346	Crohn Disease
UMLS:C0010414	Infection by Cryptococcus neoformans
UMLS:C0010417	Cryptorchidism
UMLS:C0010418	Cryptosporidiosis
UMLS:C0010543	Cyclitis
UMLS:C0010674	Cystic Fibrosis
UMLS:C0010691	Cystinuria
UMLS:C0010692	Cystitis
UMLS:C0010823	Cytomegalovirus Infections
UMLS:C0010930	Dacryocystitis
UMLS:C0011168	Deglutition Disorders
UMLS:C0011206	Delirium
UMLS:C0011334	Dental caries
UMLS:C0011581	Depressive disorder
UMLS:C0011606	Exfoliative dermatitis
UMLS:C0011608	Dermatitis Herpetiformis
UMLS:C0011615	Dermatitis, Atopic
UMLS:C0011616	Contact Dermatitis
UMLS:C0011633	Dermatomyositis
UMLS:C0011644	Scleroderma
UMLS:C0011849	Diabetes Mellitus
UMLS:C0011854	Diabetes Mellitus, Insulin-Dependent
UMLS:C0011860	Diabetes Mellitus, Non-Insulin-Dependent
UMLS:C0011875	Diabetic Angiopathies
UMLS:C0011881	Diabetic Nephropathy
UMLS:C0011882	Diabetic Neuropathies
UMLS:C0011884	Diabetic Retinopathy
UMLS:C0011974	Diaper Rash
UMLS:C0011991	Diarrhea
UMLS:C0012359	Pathological Dilatation
UMLS:C0012546	Diphtheria
UMLS:C0012561	Diphyllobothriasis
UMLS:C0012715	Iron Metabolism Disorders
UMLS:C0012734	Disruptive Behavior Disorder
