DiseaseID	DiseaseName
UMLS:C0000727	Acute abdomen
UMLS:C0000729	Abdominal cramps
UMLS:C0000731	Distended abdomen
UMLS:C0000734	Abdominal mass
UMLS:C0000735	Abdominal neoplasm NOS
UMLS:C0000737	Pain abdominal
UMLS:C0000766	X-ray abnormal
UMLS:C0000767	Reflexes abnormal NEC
UMLS:C0000768	Congenital abnormality NOS
UMLS:C0000770	Abnormalities of size and form of teeth
UMLS:C0000772	Multiple congenital anomalies
UMLS:C0000774	Gastrin secretion disorder
UMLS:C0000786	Spontaneous abortion
UMLS:C0000804	Illegally induced abortion
UMLS:C0000809	Habitual abortion
UMLS:C0000810	Abortion spontaneous incomplete
UMLS:C0000814	Missed abortion
UMLS:C0000817	Septic abortion
UMLS:C0000820	Therapeutic abortion
UMLS:C0000821	Threatened abortion
UMLS:C0000822	Tubal abortion
UMLS:C0000827	Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection
UMLS:C0000832	Abruptio placentae
UMLS:C0000833	Abscess
UMLS:C0000880	Acanthamoeba keratitis
UMLS:C0000887	Acantholysis
UMLS:C0000889	Acanthosis nigricans
UMLS:C0000912	Fire accident
UMLS:C0000924	Accident
UMLS:C0000928	Aircraft accident
UMLS:C0000929	Accident household
UMLS:C0000930	Industrial accident
UMLS:C0000932	Traffic accident
UMLS:C0001075	Achlorhydria
UMLS:C0001079	Achondrogenesis
UMLS:C0001080	Achondroplasia
UMLS:C0001122	Acidosis
UMLS:C0001125	Lactic acidosis
UMLS:C0001126	Renal tubular acidosis
UMLS:C0001127	Respiratory acidosis
UMLS:C0001139	Acinetobacter infection
UMLS:C0001144	Acne vulgaris
UMLS:C0001145	Acne keloid
UMLS:C0001163	Acoustic nerve disorder NOS
UMLS:C0001169	Acquired coagulation factor deficiency
UMLS:C0001170	Acquired deformities of auricle or pinna
UMLS:C0001171	Acquired deformity of chest and rib
UMLS:C0001175	Acquired immunodeficiency syndrome
UMLS:C0001193	Apert's syndrome
UMLS:C0001197	Acrodermatitis
UMLS:C0001198	Acrodynia
UMLS:C0001206	Acromegaly
UMLS:C0001231	Ectopic ACTH syndrome
UMLS:C0001261	Actinomycosis
UMLS:C0001263	Actinomycotic abdominal infection
UMLS:C0001264	Cervicofacial actinomycotic infection
UMLS:C0001265	Actinomycotic infection of other specified sites
UMLS:C0001306	Acute alcoholic hepatitis
UMLS:C0001308	Acute and subacute necrosis of liver
UMLS:C0001309	Acute atopic conjunctivitis
UMLS:C0001311	Acute bronchiolitis
UMLS:C0001317	Acute erythremia and erythroleukemia
UMLS:C0001327	Acute laryngitis
UMLS:C0001339	Pancreatitis acute
UMLS:C0001342	Acute periodontitis
UMLS:C0001344	Acute pharyngitis
UMLS:C0001349	Acute phase reaction
UMLS:C0001355	Acute renal failure with other specified pathological lesion in kidney
UMLS:C0001360	Thyroiditis acute
UMLS:C0001361	Acute tonsillitis
UMLS:C0001363	Acute vascular insufficiency of intestine
UMLS:C0001364	Acute yellow liver atrophy
UMLS:C0001365	Acute, but ill-defined, cerebrovascular disease
UMLS:C0001396	Stokes-Adams syndrome
UMLS:C0001403	Addison's disease
UMLS:C0001416	Adenitis
UMLS:C0001418	Adenocarcinoma
UMLS:C0001422	Adenofibroma
UMLS:C0001425	Adenoidectomy
UMLS:C0001427	Adenoiditis
UMLS:C0001429	Adenolymphoma
UMLS:C0001430	Adenoma
UMLS:C0001485	Adenovirus infection in conditions classified elsewhere and of unspecified site
UMLS:C0001486	Adenovirus infection
UMLS:C0001510	Postoperative adhesion
UMLS:C0001511	Adhesion
UMLS:C0001519	Holmes-Adie syndrome
UMLS:C0001529	Adiposis dolorosa
UMLS:C0001539	Adjustment disorder with depressed mood
UMLS:C0001540	Adjustment disorder with disturbance of conduct
UMLS:C0001541	Adjustment disorder with mixed disturbance of emotion and conduct
UMLS:C0001546	Adjustment disorders
UMLS:C0001548	Adjustment reaction with brief depressive reaction
UMLS:C0001577	Adnexitis
UMLS:C0001578	Adolescence
UMLS:C0001593	Adoption
UMLS:C0001621	Unspecified disorder of adrenal glands
UMLS:C0001622	Hyperadrenocorticism
UMLS:C0001623	Insufficiency adrenal
UMLS:C0001624	Neoplasm adrenal
UMLS:C0001627	Congenital adrenal hyperplasia
UMLS:C0001632	Adrenalectomy
UMLS:C0001678	Adult maltreatment syndrome
UMLS:C0001707	Aerophagy
UMLS:C0001723	Affective psychoses
UMLS:C0001727	Afferent loop syndrome
UMLS:C0001733	Afibrinogenemia
UMLS:C0001762	After images
UMLS:C0001768	Agammaglobulinemia
UMLS:C0001807	Aggressive behavior
UMLS:C0001816	Agnosia
UMLS:C0001818	Agoraphobia
UMLS:C0001819	Agoraphobia without mention of panic attacks
UMLS:C0001824	Agranulocytosis
UMLS:C0001825	Agraphia
UMLS:C0001849	AIDS dementia complex
UMLS:C0001857	AIDS related complex
UMLS:C0001860	Ainhum
UMLS:C0001882	Air sickness
UMLS:C0001883	Airway obstruction NOS
UMLS:C0001889	Akinetic mutism
UMLS:C0001906	Alastrim
UMLS:C0001916	Albinism
UMLS:C0001925	Albuminuria
UMLS:C0001940	Alcohol amnestic syndrome
UMLS:C0001948	Alcohol use
UMLS:C0001950	Idiosyncratic alcohol intoxication
UMLS:C0001957	Alcohol withdrawal delirium
UMLS:C0001969	Alcohol intoxication
UMLS:C0001973	Alcoholism
UMLS:C0002018	Alexia
UMLS:C0002019	Alexia and dyslexia
UMLS:C0002063	Alkalosis
UMLS:C0002064	Respiratory alkalosis
UMLS:C0002066	Alkaptonuria
UMLS:C0002103	Atopic rhinitis
UMLS:C0002104	Allergic rhinitis due to other allergen
UMLS:C0002170	Alopecia
UMLS:C0002171	Alopecia areata
UMLS:C0002173	Follicular mucinosis
UMLS:C0002181	Alopecia syphilitic
UMLS:C0002182	Traction alopecia
UMLS:C0002312	Alpha thalassemia
UMLS:C0002390	Extrinsic allergic alveolitis
UMLS:C0002393	Alveoloplasty
UMLS:C0002395	Alzheimer's disease
UMLS:C0002418	Amblyopia
UMLS:C0002419	Amblyopia tobacco
UMLS:C0002438	Amebiasis
UMLS:C0002447	Amelia
UMLS:C0002448	Ameloblastoma
UMLS:C0002453	Amenorrhea
UMLS:C0002514	Inborn errors of amino acid metabolism
UMLS:C0002622	Amnesia
UMLS:C0002623	Post-traumatic amnesia
UMLS:C0002624	Retrograde amnesia
UMLS:C0002625	Amnestic disorder
UMLS:C0002627	Amniocentesis
UMLS:C0002631	Infection of amniotic cavity
UMLS:C0002632	Amnioscopy
UMLS:C0002636	Amniotic band syndrome
UMLS:C0002688	Amputation
UMLS:C0002689	Limb amputation
UMLS:C0002691	Above knee amputation
UMLS:C0002692	Below knee amputation
UMLS:C0002694	Traumatic amputation
UMLS:C0002726	Amyloidosis
UMLS:C0002736	Amyotrophic lateral sclerosis
UMLS:C0002753	Anal and rectal polyp
UMLS:C0002758	Anal or rectal pain
UMLS:C0002766	Pain management
UMLS:C0002769	Epidural analgesia
UMLS:C0002792	Anaphylaxis
UMLS:C0002831	Ancylostomiasis
UMLS:C0002871	Anemia
UMLS:C0002873	Anemia of chronic disease
UMLS:C0002874	Anemia aplastic
UMLS:C0002875	Cooley's anemia
UMLS:C0002878	Hemolytic anemia
UMLS:C0002879	Acquired hemolytic anemia
UMLS:C0002880	Autoimmune hemolytic anemia
UMLS:C0002881	Congenital hemolytic anemia
