DiseaseID	DiseaseName
UMLS:C0000727	Acute abdomen
UMLS:C0000729	Abdominal Cramps
UMLS:C0000731	Abdomen distended
UMLS:C0000735	Abdominal neoplasm
UMLS:C0000737	Abdominal Pain
UMLS:C0000768	Congenital Abnormality
UMLS:C0000772	Multiple congenital abnormalities
UMLS:C0000786	Spontaneous abortion
UMLS:C0000814	Missed abortion
UMLS:C0000817	Abortion, Septic
UMLS:C0000832	Abruptio Placentae
UMLS:C0000833	Abscess
UMLS:C0000880	Acanthamoeba Keratitis
UMLS:C0000889	Acanthosis nigricans
UMLS:C0000924	Accident
UMLS:C0000932	Traffic accident
UMLS:C0001075	Achlorhydria
UMLS:C0001122	Acidosis
UMLS:C0001125	Acidosis, Lactic
UMLS:C0001126	Renal tubular acidosis
UMLS:C0001127	Acidosis, Respiratory
UMLS:C0001144	Acne Vulgaris
UMLS:C0001175	Acquired Immunodeficiency Syndrome
UMLS:C0001198	Acrodynia
UMLS:C0001206	Acromegaly
UMLS:C0001231	ACTH Syndrome, Ectopic
UMLS:C0001261	Actinomycosis
UMLS:C0001339	Pancreatitis acute
UMLS:C0001344	Acute pharyngitis
UMLS:C0001349	Acute phase reaction
UMLS:C0001361	Acute tonsillitis
UMLS:C0001364	Acute yellow liver atrophy
UMLS:C0001396	Adams-Stokes Syndrome
UMLS:C0001403	Addison Disease
UMLS:C0001416	Adenitis
UMLS:C0001418	Adenocarcinoma
UMLS:C0001430	Adenoma
UMLS:C0001486	Adenovirus infection
UMLS:C0001511	Adhesion
UMLS:C0001546	Adjustment disorder
UMLS:C0001577	Adnexitis
UMLS:C0001621	Adrenal Gland Diseases
UMLS:C0001622	Adrenal Gland Hyperfunction
UMLS:C0001623	Adrenal gland hypofunction
UMLS:C0001624	Adrenal Gland Neoplasms
UMLS:C0001627	Congenital adrenal hyperplasia
UMLS:C0001707	Aerophagia
UMLS:C0001733	Factor I deficiency
UMLS:C0001768	Agammaglobulinemia
UMLS:C0001807	Aggressive behavior
UMLS:C0001816	Agnosia
UMLS:C0001818	Agoraphobia
UMLS:C0001824	Agranulocytosis
UMLS:C0001849	AIDS dementia complex
UMLS:C0001883	Airway Obstruction
UMLS:C0001916	Albinism
UMLS:C0001925	Albuminuria
UMLS:C0001957	Alcohol Withdrawal Delirium
UMLS:C0001969	Alcoholic Intoxication
UMLS:C0001973	Alcoholic Intoxication, Chronic
UMLS:C0002063	Alkalosis
UMLS:C0002064	Respiratory alkalosis
UMLS:C0002103	Atopic rhinitis
UMLS:C0002170	Alopecia
UMLS:C0002171	Alopecia Areata
UMLS:C0002390	Extrinsic allergic alveolitis
UMLS:C0002395	Alzheimer's Disease
UMLS:C0002418	Amblyopia
UMLS:C0002419	Amblyopia tobacco
UMLS:C0002438	Amebiasis
UMLS:C0002447	Amelia
UMLS:C0002453	Amenorrhea
UMLS:C0002514	Amino acid metabolism disorder
UMLS:C0002622	Amnesia
UMLS:C0002624	Retrograde amnesia
UMLS:C0002631	Amniotic cavity infection
UMLS:C0002726	Amyloidosis
UMLS:C0002736	Amyotrophic Lateral Sclerosis
UMLS:C0002792	anaphylaxis
UMLS:C0002871	Anemia
UMLS:C0002874	Aplastic Anemia
UMLS:C0002875	Cooley's anemia
UMLS:C0002878	Anemia, Hemolytic
UMLS:C0002879	Anemia, Hemolytic, Acquired
UMLS:C0002880	Autoimmune hemolytic anemia
UMLS:C0002884	Hypochromic anaemia
UMLS:C0002886	Anaemia macrocytic
UMLS:C0002888	Anemia, Megaloblastic
UMLS:C0002891	Anaemia neonatal
UMLS:C0002892	Anemia, Pernicious
UMLS:C0002893	Refractory anemias
UMLS:C0002894	Refractory anaemia with excess blasts
UMLS:C0002895	Anemia, Sickle Cell
UMLS:C0002896	Sideroblastic anemia
UMLS:C0002902	Anencephaly
UMLS:C0002928	Spinal anaesthesia
UMLS:C0002940	Aneurysm
UMLS:C0002949	Artery dissection
UMLS:C0002957	Anger
UMLS:C0002962	Angina Pectoris
UMLS:C0002963	Angina Pectoris, Variant
UMLS:C0002965	Angina, Unstable
UMLS:C0002994	Angioedema
UMLS:C0003028	Anhidrosis
UMLS:C0003044	Animal bite
UMLS:C0003079	Pupils unequal
UMLS:C0003119	Anophthalmos
UMLS:C0003123	Anorexia
UMLS:C0003125	Anorexia Nervosa
UMLS:C0003126	Anosmia
UMLS:C0003128	Anovulation
UMLS:C0003130	Anoxia
UMLS:C0003175	Anthrax disease
UMLS:C0003431	Antisocial personality disorder
UMLS:C0003460	Anuria
UMLS:C0003462	Anus disorder
UMLS:C0003466	Anal atresia
UMLS:C0003467	Anxiety
UMLS:C0003469	Anxiety Disorders
UMLS:C0003486	Aortic aneurysm
UMLS:C0003492	Aortic coarctation
UMLS:C0003493	Aortic disorder
UMLS:C0003496	Aortic rupture
UMLS:C0003504	Aortic valve incompetence
UMLS:C0003507	Aortic valve stenosis
UMLS:C0003534	Aphakia
UMLS:C0003537	Aphasia
UMLS:C0003564	Aphonia
UMLS:C0003578	Apnea
UMLS:C0003615	Appendicitis
UMLS:C0003621	Appetite disorder
UMLS:C0003635	Apraxia
UMLS:C0003708	Arachnoiditis
UMLS:C0003742	Arcus senilis
UMLS:C0003811	Cardiac Arrhythmia
UMLS:C0003813	Sinus arrhythmia
UMLS:C0003834	Arterial insufficiency
UMLS:C0003838	Arterial Occlusive Diseases
UMLS:C0003850	Arteriosclerosis
UMLS:C0003851	Arteriosclerosis Obliterans
UMLS:C0003855	Arteriovenous fistula
UMLS:C0003857	Congenital arteriovenous malformation
UMLS:C0003860	Arteritis
UMLS:C0003862	Arthralgia
UMLS:C0003864	Arthritis
UMLS:C0003868	Arthritis, Gouty
UMLS:C0003869	Arthritis infective
UMLS:C0003872	Arthritis, Psoriatic
UMLS:C0003873	Rheumatoid Arthritis
UMLS:C0003892	Neuropathic arthropathy
UMLS:C0003910	Phonological disorder
UMLS:C0003950	Ascariasis
UMLS:C0003962	Ascites
UMLS:C0003969	Vitamin C deficiency
UMLS:C0004030	Aspergillosis
UMLS:C0004031	Aspergillosis, Allergic Bronchopulmonary
UMLS:C0004044	Asphyxia
UMLS:C0004063	Assault
UMLS:C0004093	Asthenia
UMLS:C0004095	Asthenopia
UMLS:C0004096	Asthma
UMLS:C0004099	Asthma, Exercise-Induced
UMLS:C0004114	Astrocytoma
UMLS:C0004134	Ataxia
UMLS:C0004144	Atelectasis
UMLS:C0004153	Atherosclerosis
UMLS:C0004158	Athetosis
UMLS:C0004161	Athletic Injuries
UMLS:C0004238	Atrial Fibrillation
UMLS:C0004239	Atrial Flutter
UMLS:C0004245	Atrioventricular Block
UMLS:C0004331	Atrioventricular dissociation
UMLS:C0004352	Autistic Disorder
UMLS:C0004364	Autoimmune Diseases
UMLS:C0004377	Automatism
UMLS:C0004509	Azoospermia
UMLS:C0004576	Babesiosis
UMLS:C0004601	Back injury
UMLS:C0004604	Back Pain
UMLS:C0004606	Background diabetic retinopathy
UMLS:C0004610	Bacteremia
UMLS:C0004623	Bacterial Infections
UMLS:C0004626	Pneumonia, Bacterial
UMLS:C0004659	Bacteriuria
UMLS:C0004690	Balanitis
UMLS:C0004691	Balanoposthitis
UMLS:C0004763	Barrett Esophagus
UMLS:C0004767	Bartholin's cyst
UMLS:C0004771	Bartonella Infections
UMLS:C0004779	Basal Cell Nevus Syndrome
UMLS:C0004812	Basilar artery syndrome
