BiomarkerID	Biomarker_Name	Diseasename	ICD11	ICD10	ICD9
BM003549	Neutrophil gelatinase-associated lipocalin (LCN2)	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM002188	Monocyte chemoattractantprotein-1 (MCP-1)	Amyotrophic lateral sclerosis	ICD-11: 8B60.0	.	ICD-9: 335.2
BM001695	HLA class I histocompatibility antigen, B-8 alpha chain (HLA-B)	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM000711	Muscle-specific kinase (MuSK) antibody	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM002220	Muscle-specific kinase (MuSK) antibody	Myasthenia gravis	ICD-11: 8C6Y	ICD-10: G70.0	ICD-9: 358
BM002933	Vascular cell adhesion molecule (sVCAM)	Cardiovascular disease	ICD-11: BA00-BE2Z	ICD-10: I00-I99	.
BM002691	Sodium/myo-inositol cotransporter (SLC5A3)	Coronary artery disease	ICD-11: BA80	ICD-10: I25.1, I25.4	.
BM002750	Transforming growth factor b (TGF-b)	Asthma	ICD-11: CA23	ICD-10: J45, J45.8	ICD-9: 493
BM001941	Keratin, type II cytoskeletal 1 (KRT1)	Psoriasis vulgaris	ICD-11: EA90	.	ICD-9: 696
BM001696	HLA class I histocompatibility antigen, Cw-6 alpha chain (HLA-C)	Psoriasis vulgaris	ICD-11: EA90	.	ICD-9: 696
BM000396	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	.	.
BM001689	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	.	.
BM001690	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	.	.
BM001691	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	.	.
BM001692	HLA class II histocompatibility antigen, DRB1-12 beta chain (HLA-DRB1)	Rheumatoid arthritis	ICD-11: FA20	.	.
BM001693	HLA class I histocompatibility antigen, B-56 alpha chain (HLA-B)	Psoriatic arthritis	ICD-11: FA21	.	ICD-9: 696
BM002860	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002862	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002868	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002870	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM001759	Interleukin-1 family member 10 (IL1F10)	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002681	Lymphocyte adaptor protein LNK	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002346	Nuclear factor of k light polypeptide gene enhancer in B-cells inhibitor	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002551	Poly(A) binding protein	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM002713	P-selectin	Inflammation	ICD-11: 1A00-CA43.1	.	.
BM000054	I-glutamyl transferase (GGT)	Chronic HCV-1 infection	ICD-11: 1E51.1	ICD-10: B18.2	.
BM000399	Homocysteine	Pre-eclampsia	ICD-11: JA24	ICD-10: O14, O14.9	.
BM002558	Homocysteine	Pre-eclampsia	ICD-11: JA24	ICD-10: O14, O14.9	.
BM000400	Leptin	Pre-eclampsia	ICD-11: JA24	ICD-10: O14, O14.9	.
