DiseaseID	DiseaseName
ICD10:A00	Syphilis
ICD10:A02.0	Salmonella infection
ICD10:A02.8	Salmonella infection
ICD10:A15	Tuberculosis
ICD10:A48.3	Toxic shock syndrome
ICD10:A90	Dengue
ICD10:A92.3	West nile virus infection
ICD10:B02	Zoster
ICD10:B03	Smallpox
ICD10:B17.1	HIV infection
ICD10:B18.1	Hepatitis B
ICD10:B18.2	Chronic HCV-1 infection
ICD10:B44	Aspergillosis
ICD10:B50	Malaria
ICD10:B55	Leishmaniasis
ICD10:B55.0	Visceral leishmaniasis
ICD10:B55.9	Leishmaniasis
ICD10:B56	African trypanosomiasis
ICD10:B56.9	African trypanosomiasis
ICD10:B58	Toxoplasmosis
ICD10:B65	Schistosomiasis
ICD10:B65.9	Schistosomiasis
ICD10:B73	Onchocerciasis
ICD10:B90	Tuberculosis
ICD10:C00	Advanced cancer
ICD10:C19	Metastatic colorectal cancer
ICD10:C22.0	Hepatocellular carcinoma
ICD10:C32.0	Glottic cancer
ICD10:C50	Invasive breast cancer
ICD10:C56	Ovarian cancer
ICD10:C61	Prostate cancer
ICD10:C64	Renal cell carcinoma
ICD10:C71.6	Medulloblastoma
ICD10:C76	Solid tumour/cancer
ICD10:C79.0	Metastatic renal cancer
ICD10:C79.3	Metastatic prostate carcinoma
ICD10:C85.9	B-cell non-hodgkin lymphoma
ICD10:C92.1	Chronic myelogenous leukaemia
ICD10:C92.7	Chronic myeloid leukaemia
ICD10:C92.9	Acute promyelocytic leukaemia
ICD10:E84	Cystic fibrosis
ICD10:E84.9	Cystic fibrosis
ICD10:F06.7	Cognitive impairment
ICD10:G10	Huntington disease
ICD10:G30	Alzheimer disease
ICD10:G30.9	Alzheimer disease
ICD10:G36.0	Neuromyelitis optica
ICD10:G70.0	Myasthenia gravis
ICD10:G93	Myalgic encephalomyelitis
ICD10:I00	Cardiovascular disease
ICD10:I25.1	Coronary artery disease
ICD10:I25.4	Coronary artery disease
ICD10:I26	Pulmonary embolism
ICD10:I26.0	Pulmonary embolism
ICD10:I27	Pulmonary hypertension
ICD10:I27.0	Pulmonary hypertension
ICD10:I50	Chronic heart failure
ICD10:I50.0	Congestive heart failure
ICD10:I50.9	Chronic heart failure
ICD10:I70	Arteriosclerosis
ICD10:I73	Peripheral arterial disease
ICD10:I73.9	Peripheral arterial disease
ICD10:I80	Atherosclerosis
ICD10:I82.4	Deep vein thrombosis
ICD10:J09	Lower respiratory tract infection
ICD10:J40	Chronic obstructive pulmonary disease
ICD10:J44	Chronic obstructive pulmonary disease
ICD10:J44.9	Chronic obstructive pulmonary disease
ICD10:J45	Asthma
ICD10:J45.8	Asthma
ICD10:J47	Chronic obstructive pulmonary disease
ICD10:J84.1	Fibrosing alveolitis
ICD10:K50	Crohn disease
ICD10:K50	Inflammatory bowel disease
ICD10:K50.9	Crohn disease
ICD10:K70.1	Steatohepatitis
ICD10:K75.8	Non-alcoholic steatohepatitis
ICD10:K76.0	Steatohepatitis
ICD10:K90.0	Coeliac disease
ICD10:M15.M19	Knee osteoarthritis
ICD10:M35	Sjogren syndrome
ICD10:M35.0	Sjogren syndrome
ICD10:M47	Knee osteoarthritis
ICD10:M81.0	Postmenopausal osteoporosis
