DiseaseID	DiseaseName
ICD-10:A00-B99	Syphilis
ICD-10:A02.0	Salmonella infection
ICD-10:A15-A19	Tuberculosis
ICD-10:A48.3	Toxic shock syndrome
ICD-10:A90	Dengue
ICD-10:A92.3	West nile virus infection
ICD-10:B02	Zoster
ICD-10:B03	Smallpox
ICD-10:B17.1	HIV infection
ICD-10:B18.1	Hepatitis B
ICD-10:B18.2	Chronic HCV-1 infection
ICD-10:B44	Aspergillosis
ICD-10:B50-B54	Malaria
ICD-10:B55	Leishmaniasis
ICD-10:B55.0	Visceral leishmaniasis
ICD-10:B56	African trypanosomiasis
ICD-10:B58	Toxoplasmosis
ICD-10:B65	Schistosomiasis
ICD-10:B73	Onchocerciasis
ICD-10:C00-C96	Advanced cancer
ICD-10:C19	Metastatic colorectal cancer
ICD-10:C22.0	Hepatocellular carcinoma
ICD-10:C32.0	Glottic cancer
ICD-10:C50	Invasive breast cancer
ICD-10:C56	Ovarian cancer
ICD-10:C61	Prostate cancer
ICD-10:C64	Renal cell carcinoma
ICD-10:C71.6	Medulloblastoma
ICD-10:C76-C80	Solid tumour/cancer
ICD-10:C79.0	Metastatic renal cancer
ICD-10:C79.3	Metastatic prostate carcinoma
ICD-10:C85.9	B-cell non-hodgkin lymphoma
ICD-10:C92.1	Chronic myelogenous leukaemia
ICD-10:C92.7	Chronic myeloid leukaemia
ICD-10:C92.9	Acute promyelocytic leukaemia
ICD-10:E84	Cystic fibrosis
ICD-10:F06.7	Cognitive impairment
ICD-10:G10	Huntington disease
ICD-10:G30	Alzheimer disease
ICD-10:G36.0	Neuromyelitis optica
ICD-10:G70.0	Myasthenia gravis
ICD-10:G93	Myalgic encephalomyelitis
ICD-10:I00-I99	Cardiovascular disease
ICD-10:I25.1	Coronary artery disease
ICD-10:I26	Pulmonary embolism
ICD-10:I27	Pulmonary hypertension
ICD-10:I50	Chronic heart failure
ICD-10:I50.0	Congestive heart failure
ICD-10:I70	Arteriosclerosis
ICD-10:I73	Peripheral arterial disease
ICD-10:I80-I82	Atherosclerosis
ICD-10:I82.4	Deep vein thrombosis
ICD-10:J09-J99	Lower respiratory tract infection
ICD-10:J40-J44	Chronic obstructive pulmonary disease
ICD-10:J44	Chronic obstructive pulmonary disease
ICD-10:J45	Asthma
ICD-10:J84.1	Fibrosing alveolitis
ICD-10:K50	Crohn disease
ICD-10:K50-K52	Inflammatory bowel disease
ICD-10:K70.1	Steatohepatitis
ICD-10:K75.8	Non-alcoholic steatohepatitis
ICD-10:K90.0	Coeliac disease
ICD-10:M15-M19	Knee osteoarthritis
ICD-10:M35	Sjogren syndrome
ICD-10:M81.0	Postmenopausal osteoporosis
ICD-10:N18	Chronic kidney disease
ICD-10:N32.8	Overactive bladder
ICD-10:O11	Chronic hypertension
ICD-10:O14	Pre-eclampsia
ICD-10:P27.1	Bronchopulmonary dysplasia
ICD-10:P29.3	Persistent pulmonary hypertension of the newborn
ICD-10:Q25.0	Patent ductus arteriosus
ICD-10:Q61.2	Autosomal dominant polycystic kidney disease
ICD-10:R09.0	Asphyxia
ICD-10:R50	Rheumatic fever
ICD-10:S27.3	Acute lung injury
ICD-10:S37.0	Kidney injury
ICD-10:T86.0	Acute graft versus host disease
ICD-10:Z49.1	Hemodialysis
ICD-11	
ICD-11:1A00	Vibrio cholerae infection
ICD-11:1A00-1A09	Methicillin-resistant staphylococci infection
ICD-11:1A00-1C4Z	Bacterial infection
ICD-11:1A00-CA43	Postoperative inflammation
ICD-11:1A00-CA43.1	Inflammation
ICD-11:1A02	Bacillary dysentery
ICD-11:1A03	Escherichia coli infection
ICD-11:1A04	C. difficile infection
ICD-11:1A07	Typhoid fever
ICD-11:1A08	Salmonella infection
ICD-11:1A09	Salmonella infection
ICD-11:1A11	Botulism
ICD-11:1A20	Adenovirus infection
ICD-11:1A23	Norovirus infection
ICD-11:1A24-1D9Z	Virus infection
ICD-11:1A2Z	HIV-associated diarrhoea
ICD-11:1A32	Cryptosporidium infection
ICD-11:1A33	Isosporiasis
ICD-11:1A36	Intestinal amebiasis
ICD-11:1A36.0Z	Chronic diarrhoea
