DiseaseID	DiseaseName
AMYCO:16	Localized insulin-derived Amyloidosis
AMYCO:17	Apolipoprotein A-I associated Amyloidosis
AMYCO:19	Hereditary fibrinogen A alpha-chain Amyloidosis
AMYCO:20	Hereditary lysozyme Amyloidosis
AMYCO:22	Apolipoprotein A-II associated Amyloidosis
AMYCO:23	AH Amyloidosis
AMYCO:24	AHL Amyloidosis
AMYCO:25	Apolipoprotein C-II associated Amyloidosis
AMYCO:26	Apolipoprotein C-III associated Amyloidosis
AMYCO:27	Leukocyte chemotactic factor 2 Amyloidosis
AMYCO:28	Apolipoprotein A-IV associated Amyloidosis
AMYCO:29	AA Amyloidosis
AMYCO:30	Wild-type transthyretin-related Amyloidosis
AMYCO:33	Wild type beta-2-microglobulin-related Amyloidosis
AMYCO:35	Calcifying Epithelial Odontogenic Tumor
AMYCO:36	Variably Protease-Sensitive Prionopathy
AMYCO:37	Isolated Atrial Amyloidosis
AMYCO:40	Medin Amyloidosis
AMYCO:63	Enfuvirtide-induced Amyloidosis
AMYCO:67	PrP Systemic Amyloidosis
AMYCO:73	Senile Seminal Vesicle Amyloidosis
AMYCO:75	Hereditary beta-2-microglobulin-related Amyloidosis
AMYCO:8	Immunoglobulin Light-chain Amyloidosis
DOID:0040001	Shrimp allergy
DOID:0040007	abacavir allergy
DOID:0040008	Isoniazide allergy
DOID:0040010	mepivacaine allergy
DOID:0040014	Corticosteroid allergy
DOID:0040016	Sulfamethoxazole allergy
DOID:0040017	suprofen allergy
DOID:0040038	meropenem allergy
DOID:0040040	hexamethylene diisocyanate allergic asthma
DOID:0040041	isocyanates allergic asthma
DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma
DOID:0040043	toluene meta-diisocyanate allergic asthma
DOID:0040044	methyl isocyanate allergic asthma
DOID:0040045	nickel allergic asthma
DOID:0040046	Nickel allergic contact dermatitis
DOID:0040047	trimellitic anhydride allergic asthma
DOID:0040048	phthalic anhydride allergic asthma
DOID:0040049	maleic anhydride allergic asthma
DOID:0040050	tetrachlorophthalic anhydride allergic asthma
DOID:0040051	hexahydrophthalic anhydride allergic asthma
DOID:0040052	diphenylmethane-4,4'-diisocyanate allergic contact dermatitis
DOID:0040053	cobalt allergic contact dermatitis
DOID:0040054	cobalt allergic asthma
DOID:0040055	Palladium allergic contact dermatitis
DOID:0040056	Chromium allergic contact dermatitis
DOID:0040058	1,4-phenylenediamine allergic contact dermatitis
DOID:0040059	potassium dichromate allergic contact dermatitis
DOID:0040061	remazole black respiratory allergy
DOID:0040062	Chloramine T respiratory allergy
DOID:0040063	4-vinylcyclohexene dioxide respiratory allergy
DOID:0040064	carvone allergic contact dermatitis
DOID:0040068	4-tert-butylphenol allergic contact dermatitis
DOID:0040069	1-chloro-2,4-dinitrobenzene allergic contact dermatitis
DOID:0040072	parthenolide allergic contact dermatitis
DOID:0040073	disodium cromoglycate allergy
DOID:0040075	benzo[d]isothiazol-3-one allergic contact dermatitis
DOID:0040077	alcuronium bromide allergy
DOID:0040079	2,4-dinitrophenyl allergic contact dermatitis
DOID:0040080	patent blue V allergy
DOID:0040081	acid anhydride respiratory allergy
DOID:0040082	Oxirane allergy
DOID:0040083	Chlamydia pneumonia
DOID:0040087	Autoimmune peripheral neuropathy
DOID:0040088	autoimmune uveitis
DOID:0040089	autoimmune optic neuritis
DOID:0040090	autoimmune gastritis
DOID:0040094	Autoimmune glomerulonephritis
DOID:0040095	Autoimmune cardiomyopathy
DOID:0040096	Autoimmune atherosclerosis
DOID:0040101	N,N'-diphenylthiourea allergic contact dermatitis
DOID:0040102	N,N'-diethylthiourea allergic contact dermatitis
DOID:0040103	cefotiam allergy
DOID:0040104	toluene 2,4-diisocyanate allergic asthma
DOID:0050013	obsolete carbohydrate metabolism disease
DOID:0050025	Human granulocytic anaplasmosis
DOID:0050026	Human monocytic ehrlichiosis
DOID:0050032	Mineral metabolism disease
DOID:0050035	African tick-bite fever
DOID:0050041	Astrakhan spotted fever
DOID:0050042	Indian tick typhus
DOID:0050043	Israeli tick typhus
DOID:0050046	Far Eastern spotted fever
DOID:0050047	Flinders Island spotted fever
DOID:0050050	Japanese spotted fever
DOID:0050051	Rickettsia parkeri spotted fever
DOID:0050059	Oropharyngeal anthrax
DOID:0050061	Erysipeloid
DOID:0050072	Adiaspiromycosis
DOID:0050073	invasive aspergillosis
DOID:0050096	Tinea barbae
DOID:0050097	ectothrix infectious disease
DOID:0050105	endothrix infectious disease
DOID:0050116	Tinea imbricata
DOID:0050125	Dengue shock syndrome
DOID:0050129	Secretory diarrhea
DOID:0050130	Osmotic diarrhea
DOID:0050131	motility-related diarrhea
DOID:0050132	Inflammatory diarrhea
DOID:0050134	Cutaneous mycosis
DOID:0050135	Subcutaneous mycosis
DOID:0050141	Intestinal botulism
DOID:0050143	Asymptomatic dengue
DOID:0050147	Otomycosis
DOID:0050150	Pontiac fever
DOID:0050155	sensory system disease
DOID:0050159	Lymphoid interstitial pneumonia
DOID:0050160	Inhalation anthrax
DOID:0050174	Kunjin encephalitis
DOID:0050177	Monogenic disease
DOID:0050179	Powassan encephalitis
DOID:0050192	Nipah virus encephalitis
