DiseaseID	DrugID
DOID_10113	CHEMBL830
DOID_10113	CHEMBL3991035
DOID_10113	CHEMBL1330792
DOID_10113	CHEMBL2079699
DOID_10113	CHEMBL110
DOID_10113	CHEMBL125
DOID_10113	CHEMBL1631694
DOID_10113	CHEMBL290960
DOID_10113	CHEMBL869
DOID_10113	CHEMBL361506
DOID_10113	CHEMBL55
DOID_1947	CHEMBL137
DOID_1947	CHEMBL498847
DOID_1947	CHEMBL1220
DOID_7551	CHEMBL1200699
DOID_7551	CHEMBL8
DOID_7551	CHEMBL1010
DOID_7551	CHEMBL161
DOID_7551	CHEMBL3183968
DOID_7551	CHEMBL1082
DOID_7551	CHEMBL1730
DOID_7551	CHEMBL1433
DOID_7551	CHEMBL174
DOID_7551	CHEMBL1541
EFO_0000094	CHEMBL2108611
EFO_0000095	CHEMBL1201587
EFO_0000095	CHEMBL2216870
EFO_0000095	CHEMBL1201734
EFO_0000095	CHEMBL3707348
EFO_0000095	CHEMBL1743048
EFO_0000095	CHEMBL1201576
EFO_0000095	CHEMBL487253
EFO_0000095	CHEMBL1873475
EFO_0000095	CHEMBL1201836
EFO_0000095	CHEMBL1096882
EFO_0000095	CHEMBL3137309
EFO_0000095	CHEMBL3039502
EFO_0000096	CHEMBL3545068
EFO_0000096	CHEMBL487253
EFO_0000096	CHEMBL3218576
EFO_0000096	CHEMBL2216870
EFO_0000096	CHEMBL1743048
EFO_0000096	CHEMBL3039502
EFO_0000096	CHEMBL1201734
EFO_0000180	CHEMBL114
EFO_0000180	CHEMBL1743029
EFO_0000180	CHEMBL129
EFO_0000180	CHEMBL2364637
EFO_0000180	CHEMBL204656
EFO_0000180	CHEMBL1163
EFO_0000180	CHEMBL1229211
EFO_0000180	CHEMBL885
EFO_0000180	CHEMBL2107825
EFO_0000180	CHEMBL444633
EFO_0000180	CHEMBL175691
EFO_0000180	CHEMBL163
EFO_0000180	CHEMBL3301594
EFO_0000180	CHEMBL584
EFO_0000180	CHEMBL1205
EFO_0000180	CHEMBL1201187
EFO_0000180	CHEMBL991
EFO_0000180	CHEMBL223228
EFO_0000180	CHEMBL308954
EFO_0000180	CHEMBL3989866
EFO_0000180	CHEMBL2364608
EFO_0000180	CHEMBL525076
EFO_0000180	CHEMBL518520
EFO_0000180	CHEMBL3137330
EFO_0000180	CHEMBL3301598
EFO_0000180	CHEMBL1201621
EFO_0000180	CHEMBL2403238
EFO_0000180	CHEMBL1486
EFO_0000180	CHEMBL3989867
EFO_0000180	CHEMBL1538
EFO_0000180	CHEMBL141
EFO_0000180	CHEMBL1201127
EFO_0000180	CHEMBL254316
EFO_0000180	CHEMBL57
EFO_0000180	CHEMBL1323
EFO_0000180	CHEMBL2095208
EFO_0000180	CHEMBL1213165
EFO_0000180	CHEMBL729
EFO_0000180	CHEMBL1200678
EFO_0000181	CHEMBL3085504
EFO_0000181	CHEMBL4297723
EFO_0000181	CHEMBL403664
EFO_0000181	CHEMBL1201577
EFO_0000183	CHEMBL2108738
EFO_0000183	CHEMBL514
EFO_0000183	CHEMBL476
EFO_0000183	CHEMBL88
EFO_0000183	CHEMBL53463
EFO_0000183	CHEMBL159
EFO_0000183	CHEMBL378544
EFO_0000183	CHEMBL403664
EFO_0000183	CHEMBL1742994
EFO_0000183	CHEMBL515
EFO_0000183	CHEMBL3085504
EFO_0000183	CHEMBL671
EFO_0000183	CHEMBL1200796
EFO_0000183	CHEMBL513
EFO_0000183	CHEMBL359744
EFO_0000196	CHEMBL1200775
EFO_0000196	CHEMBL271227
EFO_0000196	CHEMBL924
EFO_0000196	CHEMBL1201748
EFO_0000196	CHEMBL1274
EFO_0000196	CHEMBL2111187
EFO_0000196	CHEMBL1201199
EFO_0000196	CHEMBL4297185
EFO_0000196	CHEMBL806
EFO_0000196	CHEMBL2107816
EFO_0000196	CHEMBL3183409
EFO_0000196	CHEMBL1417019
EFO_0000196	CHEMBL58
EFO_0000196	CHEMBL1082407
EFO_0000198	CHEMBL848
EFO_0000198	CHEMBL1489
EFO_0000198	CHEMBL1201129
EFO_0000198	CHEMBL3039545
EFO_0000198	CHEMBL550348
EFO_0000198	CHEMBL3237547
EFO_0000209	CHEMBL1201112
EFO_0000211	CHEMBL343448
EFO_0000211	CHEMBL408513
EFO_0000211	CHEMBL1201746
EFO_0000220	CHEMBL2108611
EFO_0000220	CHEMBL2105708
EFO_0000220	CHEMBL803
EFO_0000220	CHEMBL1742992
EFO_0000220	CHEMBL1750
EFO_0000220	CHEMBL1201576
EFO_0000220	CHEMBL1421
EFO_0000220	CHEMBL1200751
EFO_0000220	CHEMBL2108728
EFO_0000220	CHEMBL2108546
EFO_0000220	CHEMBL34259
EFO_0000220	CHEMBL18442
EFO_0000220	CHEMBL515
EFO_0000220	CHEMBL2108989
EFO_0000220	CHEMBL1171837
EFO_0000220	CHEMBL1863514
EFO_0000220	CHEMBL1425
EFO_0000222	CHEMBL803
EFO_0000222	CHEMBL178
