DiseaseID	DrugCID
UMLS:C0000737	27503
UMLS:C0000737	938
UMLS:C0000737	2882
UMLS:C0000737	3463
UMLS:C0000810	5280360
UMLS:C0000810	5282415
UMLS:C0000810	439302
UMLS:C0000833	443385
UMLS:C0001122	6503
UMLS:C0001126	2735208
UMLS:C0001126	13344
UMLS:C0001175	135413534
UMLS:C0001175	11683
UMLS:C0001175	135413535
UMLS:C0001175	135398740
UMLS:C0001206	383414
UMLS:C0001206	6400441
UMLS:C0001206	44420813
UMLS:C0001206	86289069
UMLS:C0001206	3776
UMLS:C0001206	6918010
UMLS:C0001206	90488715
UMLS:C0001206	155903738
UMLS:C0001206	31101
UMLS:C0001206	6917964
UMLS:C0001206	118753638
UMLS:C0001206	73348210
UMLS:C0001206	31100
UMLS:C0001206	28864
UMLS:C0001206	44311916
UMLS:C0001206	10796238
UMLS:C0001206	138393800
UMLS:C0001206	44270249
UMLS:C0001206	154734381
UMLS:C0001206	6918011
UMLS:C0001206	71349
UMLS:C0001206	122173799
UMLS:C0001206	448601
UMLS:C0001206	134694358
UMLS:C0001207	71349
UMLS:C0001207	6918011
UMLS:C0001207	134694358
UMLS:C0001207	44270249
UMLS:C0001207	10796238
UMLS:C0001207	138393800
UMLS:C0001207	122173799
UMLS:C0001207	154734381
UMLS:C0001261	3000226
UMLS:C0001261	5280965
UMLS:C0001261	54671203
UMLS:C0001261	91819969
UMLS:C0001261	5904
UMLS:C0001261	54680690
UMLS:C0001261	54675783
UMLS:C0001261	54675776
UMLS:C0001261	54675779
UMLS:C0001263	5904
UMLS:C0001264	5904
UMLS:C0001403	5743
UMLS:C0001403	5745
UMLS:C0001403	9782
UMLS:C0001403	31307
UMLS:C0001403	31378
UMLS:C0001403	5865
UMLS:C0001403	5755
UMLS:C0001403	5754
UMLS:C0001403	6741
UMLS:C0001418	3385
UMLS:C0001418	5746
UMLS:C0001418	5453
UMLS:C0001418	60837
UMLS:C0001418	60838
UMLS:C0001430	31100
UMLS:C0001430	31101
