DrugName	CID	
'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	
'5'-O-(N-(L-Prolyl)-Sulfamoyl)Adenosine	
(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine	5287610
(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine	137348916
(1-HYDROXY-1-PHOSPHONO-2-[1,1';3',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID	16086422
(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID	16122554
(1-HYDROXYDODECANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	4395717
(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	5276520
(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	5276507
(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone	446386
(1-Tert-Butyl-5-Hydroxy-1h-Pyrazol-4-Yl)-(6-Methanesulfonyl-4'-Methoxy-2-Methyl-Biphenyl-3-Yl)-Methanone	
(10ALPHA,13ALPHA,14BETA,17ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE	10204
(10R)-10-Formyl-5,8,10-Trideazafolic Acid	135460968
(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one	44631903
(10S)-10-Formyl-5,8,10-Trideazafolic Acid	136245517
(10S,13S,16S,19S,33S,36S,39S,42S)-16,39-Dibenzyl-12,35-bis[(2S)-3-methyl-2-[[(2S)-2-(methylamino)propanoyl]amino]butanoyl]-3,14,17,26,37,40-hexaoxo-2,7,8,9,12,15,18,25,30,31,32,35,38,41-tetradecazaheptacyclo[42.2.2.221,24.16,9.110,13.129,32.133,36]tetrapentaconta-1(47),6(54),7,21,23,29(50),30,44(48),45,51-decaene-19,42-dicarboxylic acid	
(11-BETA)-11,21-DIHYDROXY-PREGN-4-ENE-3,20-DIONE	5753
(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE	9547909
(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE	16046126
