DrugName	CID
(+)-Butaclamol	37461
(+)-Camptothecin	2538
(+)-Isoproterenol	5808
(+)-Tetrabenazine	667453
(+)-Timolol	168613
(+)-alpha-Dihydrotetrabenazine	14580381
(+/-)-Ambrisentan	197712
(+/-)-Eriodictyol	11095
(+/-)-Huperzine A	1633595
(-)-Chlorpheniramine	716121
(-)-Epicatechin gallate	107905
(-)-Epigallocatechin gallate	65064
(-)-Epitaxifolin	712318
(-)-Gallocatechin gallate	199472
(-)-Parthenolide	108068
(-)-Scopolamine	5184
(-)-Tramadol	667511
(1'S,2R,3S,4'S,6S,8'R,13'S,20'S,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one	139032007
(1,2-Dimethyl-3-imidazo[1,2-a]pyridin-4-iumyl)-diphenyl-sulfanylidenephosphorane	3278392
(1,2-Dimethyl-3-imidazo[1,2-a]pyridin-4-iumyl)-diphenylmethanol	44634524
(1,2-Dimethyl-3-indolyl)-diphenyl-sulfanylidenephosphorane	3989078
(1-((1-(4-Bromobenzyl)-1H-imidazol-5-yl)methyl)-4-(naphthalen-1-yl)-1H-pyrrol-3-yl)(morpholino)methanone	10099206
(1-(4-(Naphthalen-2-yl)pyrimidin-2-yl)piperidin-4-yl)methanamine	25199517
(1-Benzyl-1H-quinolin-4-ylidene)-pentyl-amine	656767
(1-Methyl-2-benzo[e]benzofuranyl)-phenylmethanone	2728502
(1-Methyl-3-imidazo[1,2-a]pyridin-4-iumyl)-diphenylmethanol	44634529
(1-Methyl-3-indolyl)-diphenyl-sulfanylidenephosphorane	44634539
(109Cd)Cadmium chloride	24633
(10R,11R)-10-[(dimethylamino)methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835299
(10R,11R)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	60184577
(10R,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638209
(10R,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835232
(10R,11R)-10-[[cyclopropylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835479
(10R,11R)-13-[(2R)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54638106
(10R,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-3-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835286
(10R,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	56835301
(10R,11R)-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-10-[[methyl(pyridin-4-ylmethyl)amino]methyl]-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835469
(10R,11S)-10-[(dimethylamino)methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637987
(10R,11S)-10-[(dimethylamino)methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11,16-dimethyl-9-oxa-13,16-diazatetracyclo[13.7.0.02,7.017,22]docosa-1(15),2,4,6,17,19,21-heptaen-14-one	54637738
(10R,11S)-10-[(dimethylamino)methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835561
(10R,11S)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638024
(10R,11S)-10-[[(3-fluorophenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835268
(10R,11S)-10-[[(3-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835264
(10R,11S)-10-[[(4-fluorophenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637924
(10R,11S)-10-[[(4-fluorophenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835247
(10R,11S)-10-[[(4-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638099
(10R,11S)-10-[[(4-hydroxyphenyl)methyl-methylamino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835234
(10R,11S)-10-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637856
(10R,11S)-10-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835519
(10R,11S)-10-[[3,4-dihydro-2H-1,5-benzodioxepin-6-ylmethyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54637794
(10R,11S)-10-[[3,4-dihydro-2H-1,5-benzodioxepin-6-ylmethyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835218
(10R,11S)-10-[[benzyl(methyl)amino]methyl]-13-[(2R)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	54638195
(10R,11S)-10-[[benzyl(methyl)amino]methyl]-13-[(2S)-1-hydroxypropan-2-yl]-11-methyl-9-oxa-13-azatricyclo[13.4.0.02,7]nonadeca-1(19),2,4,6,15,17-hexaen-14-one	56835551
