DrugName	CID
5-Fluorouracil	3385
ABT737	11228183
AGI-5198	56645356
AGI-6780	71299339
AMG-319	68947304
AT13148	24905401
AZ6102	135905416
AZ960	25099184
AZD1208	58423153
AZD1332	49831044
AZD2014	25262792
AZD3759	78209992
AZD4547	51039095
AZD5153	118693659
AZD5363	25227436
AZD5438	16747683
AZD5582	49847690
AZD5991	131634760
AZD6482	44137675
AZD6738	54761306
AZD7762	11152667
AZD8055	25262965
AZD8186	52913813
Acetalax	8269
Afatinib	10184653
Afuresertib	46843057
Alisertib	24771867
Alpelisib	56649450
Axitinib	6450551
BDP-00009066	
BI-2536	11364421
BIBR-1532	9927531
BIBR-1532	53440640
BMS-345541	9813758
BMS-345541	9926054
BMS-536924	135440466
BMS-754807	24785538
BPD-00008900	
Bortezomib	387447
Buparlisib	16654980
CDK9_5038	
CDK9_5576	
CZC24832	42623951
Camptothecin	24360
Carmustine	2578
Cediranib	9933475
Cisplatin	5702198
Crizotinib	11626560
Cyclophosphamide	2907
Cytarabine	6253
Dabrafenib	44462760
Dactinomycin	457193
Dactolisib	11977753
Daporinad	6914657
Dasatinib	3062316
Dihydrorotenone	243725
Dihydrorotenone	4323685
Dihydrorotenone	73068
Dihydrorotenone	6708575
Dihydrorotenone	13845974
Dinaciclib	46926350
Docetaxel	148124
Doramapimod	156422
EPZ004777	56962336
EPZ5676	57345410
ERK_2440	
ERK_6604	
Eg5_9814	
Elephantin	442205
Entinostat	4261
Entospletinib	59473233
Epirubicin	41867
Erlotinib	176870
Fludarabine	657237
Foretinib	42642645
Fulvestrant	104741
GDC0810	56941241
GNE-317	70676303
GSK1904529A	25124816
GSK2578215A	68107965
GSK2606414	53469448
GSK269962A	16095342
GSK343	71268957
GSK591	117072552
Gallibiscoquinazole	353472
Gefitinib	123631
Gemcitabine	60750
I-BET-762	46943432
I-BRD9	91668541
IAP_5620	
IGF1R_3801	
IRAK4_4710	
IWP-2	2155128
Ibrutinib	24821094
Ipatasertib	24788740
Irinotecan	60838
JAK1_8709	
JAK_8517	
JQ1	46907787
KRAS (G12C) Inhibitor-12	
KU-55933	5278396
LCL161	24737642
LGK974	46926973
LJI308	118704762
LY2109761	11655119
Lapatinib	208908
Leflunomide	3899
Linsitinib	11640390
Luminespib	135539077
MG-132	462382
MIM1	135691163
MIRA-1	227681
MK-1775	24856436
MK-2206	24964624
MK-8776	16224745
MK-8776	46239015
ML323	60167849
MN-64	2802462
Mirin	
Mitoxantrone	4212
NU7441	11327430
NVP-ADW742	9825149
Navitoclax	24978538
Nelarabine	3011155
Nilotinib	644241
Niraparib	24958200
Nutlin-3a (-)	
OF-1	35397514
OSI-027	135398516
OTX015	9936746
Obatoclax Mesylate	16681698
Obatoclax Mesylate	46930996
Obatoclax Mesylate	16727411
Obatoclax Mesylate	71816154
Obatoclax Mesylate	70700268
Obatoclax Mesylate	56843157
Obatoclax Mesylate	56973712
Obatoclax Mesylate	122362431
Olaparib	23725625
Osimertinib	71496458
Oxaliplatin	9887053
P22077	46931953
PAK_5339	
PCI-34051	24753719
PD0325901	9826528
PD173074	1401
PF-4708671	51371303
PFI3	78243717
PLX-4720	24180719
PRIMA-1MET	52918385
PRT062607	44462758
Paclitaxel	36314
Palbociclib	5330286
Pevonedistat	16720766
Picolinici-acid	
Pictilisib	17755052
Podophyllotoxin bromide	234820
Pyridostatin	25227847
RO-3306	135400873
RVX-208	135564749
Rapamycin	5284616
Ribociclib	44631912
Ruxolitinib	25126798
SB216763	176158
SB505124	9858940
SCH772984	24866313
Sabutoclax	46236925
Sapitinib	11488320
Savolitinib	68289010
Selumetinib	10127622
Sepantronium bromide	11178236
Sinularin	5477029
Sinularin	6438436
Sinularin	5458571
Sorafenib	216239
Staurosporine	44259
Staurosporine	7048594
TAF1_5496	
Talazoparib	135565082
Tamoxifen	2733526
Taselisib	51001932
Telomerase Inhibitor IX	10385095
Temozolomide	5394
Teniposide	452548
Topotecan	60700
Tozasertib	5494449
Trametinib	11707110
ULK1_4989	
UMI-77	992586
Ulixertinib	11719003
Uprosertib	51042438
VE-822	59472121
VE821	51000408
VSP34_8731	
VX-11e	11634725
Venetoclax	49846579
Vinblastine	13342
Vinblastine	241903
Vinblastine	3823887
Vinblastine	44417235
Vinblastine	6710780
Vinblastine	133126830
Vinblastine	129009934
Vinblastine	11104792
Vincristine	5978
Vincristine	5388993
Vincristine	45358158
Vincristine	6324671
Vincristine	3717450
Vincristine	71296921
Vincristine	134755071
Vincristine	122172881
Vincristine	62313
Vinorelbine	5311497
Vinorelbine	60780
Vinorelbine	13200033
Vinorelbine	5672
Vinorelbine	44424639
Vinorelbine	71296871
Vinorelbine	73265388
Vorinostat	5311
WEHI-539	71297207
WIKI4	2984337
WZ4003	72200024
Wee1 Inhibitor	10384072
Wnt-C59	57519544
XAV939	135418940
YK-4-279	44632017
ZM447439	9914412
Zoledronate	68740
