DrugName	CID
(+)-ALPHA-TOCOPHERYL SUCCINATE	20353
(+)-EHNA	149790
(+)-EPICATECHIN	182232
(+)-EPITAXIFOLIN	443758
(+)-TAXIFOLIN	439533
(+)-TRANYLCYPROMINE	19493
(+)-TRANYLCYPROMINE	26070
(+/-)-PENTAACETYLCATECHIN	3363314
(+/-)-WIEDENDIOL B	11057066
(-)-CAMPHOR	444294
(-)-EPICATECHIN	72276
(-)-OLEOCANTHAL	11652416
(-)-PROPANOLOL	91536
(-)-ROLIPRAM	448055
(-)-U-50488	6604724
(-)-U-50488 METHANE SULFONATE	9912313
(-)-USNIC ACID	442614
(-)-USNIC ACID	478125
(1R)-TRANS-TETRAMETHRIN	24365
(1S,2R)-PHENYLPROPANOLAMINE	26934
(2-NITROVINYL)BENZENE	5284459
(20S,21R)-FLUOROCAMPTOTHECIN	72714065
(20S,21S)-7-CYCLOHEXYLFLUOROCAMPTOTHECIN	72711035
(20S,21S)-FLUOROCAMPTOTHECIN	72714066
(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE	684261
(CYCLOHEXYLAMINO)METHYLENEDIPHOSPHONIC ACID	57023582
(D)-SERINE	71077
(R)-BICALUTAMIDE	56069
(R)-EDELFOSINE	6918215
(R)-FELODIPINE	636806
(R)-FLECAINIDE	
(R)-IBUPROPHEN	114864
(R)-INDOPROFEN	93283
(R)-MELPHALAN	20189
(R)-MEXILETINE	180621
(R)-MON-97	
(R)-NITRENDIPINE	157704
(R)-PIA	93205
(R)-PINOCEMBRIN	667544
(R)-PROCYCLIDINE	207838
(R)-SARGACHROMENOL	51003424
(R,S)-AMPA	1221
(R,S)-IFENPRODIL	6604117
(R,S)-INDATRALINE	
(RS)-ROSCOVITINE	5097
(S)-(+)-DIMETHINDENE	6604866
(S)-ALAPROCLATE	6603696
(S)-AMPA	158397
(S)-FELODIPINE	941699
(S)-FTY720P	11452022
(S)-ISRADIPINE	
(S)-MEXILETINE	
(S)-MIDODRINE	
(S)-NIMODIPINE	157133
(S)-NITRENDIPINE	157702
(S)-ONDANSETRON	
(S)-PINACIDIL	6603960
(S)-PROMETHAZINE	
(S)-ROSCOVITINE	6603989
(S)-SARGACHROMENOL	51003425
(S)-THIORPHAN	4369380
(S)-VERAPAMIL	92305
(S)-WILLARDIINE	440053
(S)APOMORPHINE	
(S,R)-FIDARESTAT	449157
(S,R)-MEFLOQUINE	40692
(S,R)-MEFLOQUINE	456309
(Z)-PIPLARTINE	643764
.ALPHA.1-PROTEINASE INHIBITOR HUMAN	
0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE	
1,2,4-TRIAZOLE	9257
1,2-NAPHTHOQUINONE	10667
1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	1329
1,3-PROPANEDIOL	10442
1,4-BUTANEDIOL	8064
1,4-DICHLOROBENZENE	4685
1,4-DIETHOXYBENZENE	67150
1,4-DIMETHOXYANTHRAQUINONE	266054
1,6-HEXANEDIOL	12374
1-AMINOCYCLOPROPANE CARBOXYLIC ACID	535
1-HYDROXY-4-ETHOXYBENZENE	
1-HYDROXY-6-(4-HYDROXY-PHENYL)-1-PHENYL-HEXAN-3-ONE (ENANTIOMERIC MIX)	42601470
1-METHYLIMIDAZOLE	1390
1-METHYLXANTHINE	80220
1-NAPHTHOL	7005
1-NAPHTHYLISOTHIOCYANATE	11080
1-NITROPYRENE	21694
1-PHENETHYLPIPERIDINE	9513
1.ALPHA.-HYDROXYVITAMIN D5	10025615
12-EPI-SALVINORIN A	25242485
12-HYDROXY-4,4-BISNOR-4,8,11,13-PODOCARPATETRAEN-3-ONE	6708578
12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE	4620898
13-DEOXYDOXORUBICIN	9829419
1400W	1433
16.ALPHA.-BROMOEPIANDROSTERONE	71613
18-METHOXYCORONARIDINE	15479177
18-METHOXYCORONARIDINE	10248465
18-METHOXYCORONARIDINE	134973519
18-METHOXYCORONARIDINE	46877888
18-METHOXYCORONARIDINE	20642899
1D09C3	
1R,9S-HYDRASTINE	442247
2',2'-DIFLUORODEOXYCYTIDINE 5'-TRIPHOSPHATE	130659
2',3'-DIDEOXYADENOSINE TRIPHOSPHATE	65304
2',4'-DIHYDROXYCHALCONE	5376979
2',BETA-DIHYDROXYCHALCONE	6022229
2'-EPI-TUBERATOLIDE B	50993747
2'-HYDROXYCHALCONE	638276
2'-METHOXYFORMONETIN	5781145
2'H,4H-[2,5'-BICHROMEN]-4-ONE	71662267
2'H,4H-[2,8'-BICHROMEN]-4-ONE	71662266
2,2',4,4',5,5'-HEXACHLOROBIPHENYL	37034
2,3,4'-TRIHYDROXY-4-METHOXYBENZOPHENONE	3908719
2,3,4,4'-TETRAMETHOXYBIPHENYL	165441
2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE	6708739
2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN	15625
2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE	6728940
2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE	1845
2,3-DIHYDROXYBENZOIC ACID	19
2,4,6-TRIHYDROXYACETOPHENONE	68073
2,4-DIHYDROXYBENZOPHENONE	8572
2,4-DINITROPHENOL	1493
2,4-HEXADIENAL	637564
2,6-DIDEHYDROPEPEROMIN B	45267541
2,6-DIMETHOXYQUINONE	68262
2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)	11957505
2-(1-PHENYLETHYLIDENE)HYDRAZINECARBOXIMIDAMIDE	5916478
2-(2'-METHOXYPHENYL)-1H-INDOLE	901191
2-(PHENOXYMETHYL)BENZOTHIAZOLE	700590
2-ACETYLAMINOFLUORENE	5897
