DrugName	CID
(S)-nicardipine	6604415
(S)-nitrendipine	157702
Choline C-11	449688
Florbetapir F-18	24822371
Flutemetamol (18F)	15950376
N-Acetylglucosamine	24139
N-Acetylglucosamine	439174
N-Acetylglucosamine	899
N-Acetylglucosamine	82313
Vitamin E	14985
abacavir	441300
abaloparatide	145705876
abametapir	15664
abarelix	16131215
abatacept	
abciximab	
abemaciclib	46220502
abiraterone acetate	9821849
acalabrutinib	71226662
acamprosate	71158
acarbose	41774
acarbose	444254
acarbose	4432690
acarbose	441184
acarbose	445421
acarbose	122172882
acarbose	134694648
acarbose	163284948
acarbose	18397995
acarbose	129010024
acebutolol	1978
aceclidine	1979
aceclofenac	71771
acediasulfone	66451
acefylline	69550
acemetacin	1981
acenocoumarol	54676537
acepromazine	6077
aceprometazine	26035
acetanilide	904
acetazolamide	1986
acetic acid	176
acetohexamide	1989
acetohydroxamic acid	1990
acetophenazine	17676
acetoxolone	94320
acetylcholine	187
acetylcysteine	12035
acetyldigitoxin	5284512
acetylmethadol	10517
acetylsalicylic acid	2244
acipimox	5310993
acitretin	5284513
aclarubicin	451415
aclatonium	2009
aclidinium bromide	11519741
acotiamide	5282338
acrivastine	5284514
acyclovir	135398513
adalimumab	
adapalene	60164
adefovir dipivoxil	60871
ademetionine	34755
ademetionine	34756
adenine	190
adenosine	60961
adenosine phosphate	6083
adenosine triphosphate	5957
adinazolam	37632
adiphenine	2031
adipic acid	196
afamelanotide	16197727
afamelanotide	16132954
afatinib	10184653
aflibercept	
agomelatine	82148
ajmaline	6100671
alacepril	71992
alatrofloxacin	3086677
alatrofloxacin	5282517
albendazole	2082
albendazole sulfoxide	83969
albiglutide	145994868
albiglutide	155886935
alcaftadine	19371515
alclofenac	30951
alclometasone dipropionate	636374
alcuronium	21158560
alcuronium	5311001
alcuronium	101602193
alcuronium	21917745
alcuronium	90659973
alcuronium	155903687
alcuronium	73754991
alcuronium	44345559
alcuronium	44427888
aldesleukin	
aldesulfone	5351
aldosterone	5839
alectinib	49806720
alefacept	
alemtuzumab	
alendronic acid	2088
alexidine	2090
alfacalcidol	5282181
alfacalcidol	5284515
alfacalcidol	5283718
alfacalcidol	2091
alfacalcidol	443990
alfacalcidol	145705856
alfacalcidol	46780105
alfacalcidol	5283723
alfacalcidol	145705666
alfacalcidol	135391135
alfacalcidol	134688803
alfacalcidol	163285106
alfacalcidol	134694392
alfacalcidol	45073394
alfaxalone	104845
alfentanil	51263
