DrugName	CID
(+)-Bicuculline	10237
(+)-Blebbistatin	6604910
(+)-PD 128907 hydrochloride	11957668
(+)-Usnic acid	24211
(+)-Usnic acid	442614
(+)-catechin	9064
(+/-)-2-AMINOHEPTANE SULFATE	44134533
(+/-)-5'-Chloro-5'-deoxy-ENBA	42636897
(+/-)-MCN 5652	6336338
(+/-)-Norepinephrine (+)-bitartrate salt	5813
(-)-Blebbistatin	5287792
(-)-Epicatechin gallate	107905
(-)-Epigallocatechin gallate	65064
(-)-Eseroline fumarate	16219298
(-)-Ethyl apovincaminate	105066
(-)-MK 801 Maleate	16219612
(-)-Quinpirole hydrochloride	55397
(-)-Rapamycin	5284616
(-)-Threo-Mefloquine	3000506
(-)-U-50488 HYDROCHLORIDE	9931141
(-)-chlorpheniramine	716121
(-)-huperzine A	907504
(1-phenoxypropan-2-yl)hydrazine dihydrochloride	69923706
(1R)-2-(methylamino)-1-phenyl-1-propanol	6710657
(1S,3R)-ACPD	104766
(20S)-Protopanaxadiol	11213350
(20S)-Protopanaxatriol	11468733
(2S)-N-[(2S,3R)-4-[(3S,4aS,8aR)-3-[(tert-butylamino)-oxomethyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[[oxo(2-quinolinyl)methyl]amino]butanediamide	454469
(2S,4R)-4-Methylglutamic acid	95883
(3S,4R)-Tofacitinib	9966538
(4R,4aS,7aR)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one	5702239
(5-fluoropyridin-3-yl)methanol	152449
(E)-3-[4-[[[(E)-(2,3-dihydroxy-4-oxo-cyclohexa-2,5-dien-1-ylidene)methyl]amino]carbamoyl]phenyl]prop-2-enehydroxamic acid	44543714
(E,2S,3S,4S)-2-azaniumyl-3,4-dihydroxy-2-(hydroxymethyl)-14-oxo-icos-6-enoate	25791047
(E/Z)-ferulic acid	709
(Phenylindolyl)maleimide deriv. 79	5327721
(R) -Naproxen sodium salt	23675324
