drugName,cIds,drugNameOfficial,molecularWeight,smilesString
Bendamustine,CIDs00065628,bendamustine,358.26284,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O
Lonidamine,CIDs00039562,lonidamine,321.1581,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O
Lenalidomide,CIDs00216326,lenalidomide,259.26062,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
Cladribine,CIDs00020279,cladribine,285.68698,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
Pentostatin,CIDs00439693,pentostatin,268.26914,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
6-mercaptopurine,CIDs00667490,6-mercaptopurine,152.17706,C1=NC2=C(N1)C(=S)N=CN2
Everolimus,CIDs06442177,everolimus,958.22442,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
Aminoglutethimide,CIDs00002145,aminoglutethimide,232.27834,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
4-Hydroxyandrostenedione,CIDs00011273,17-dione,302.40794,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
Letrozole,CIDs00003902,letrozole,285.30274,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
Pemetrexed disodium,CIDs135413520,#N/A,0,#N/A
Gemcitabine,CIDs00060750,#N/A,0,#N/A
Tamoxifen,CIDs02733526,#N/A,0,#N/A
Vincristine sulfate,CIDs05388992,vincristine sulfate,923.03612,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
Combretastatin A-4,CIDs05351344,combretastatin A-4,316.3484,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
