DrugName	CID
(+)-JQ1	46907787
(+)-Usniacin	442614
(+/-)-SULFINPYRAZONE	5342
(-)-Blebbistatin	5287792
(-)-Gossypol	3503
(-)-Indolactam V	105000
(?-Taxifolin	
(R)-PFI-2	71300326
(S)-(+)-Niguldipine	
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE	400633
10-Deacetylbaccatin	154272
10-hydroxycamptothecin	97226
10-hydroxycamptothecin	4330531
10-hydroxycamptothecin	14440697
10058-F4	1271002
10074-G5	2836600
16,16-dimethyl PGE2	5283066
17 alpha-propionate	11750009
17-Methyltestosterone	6010
17-hydroxy Wortmannin	9867340
17_-hydroxy Wortmannin	3003565
2',3'-Dideoxyinosine	135398739
2-Deoxyglucose	
2-Fluoro Ara-A	657237
2-Fluoro Ara-A	3367
2-Fluoroadenosine	8975
2-Iminobiotin	128878
2-Methoxyestradiol	66414
2-Methoxyestradiol (2-MeOE2)	66414
20-hydroxyecdysone	5459840
3-AMINO-2-OXAZOLIDINONE	65725
3-BDO	16216349
3-Bromopyruvate	70684
3-Bromopyruvate	6994776
3-Deazaneplanocin A	73087
3-Methyladenine	135398661
3-indolebutyric acid	8617
34793-34-5	13988706
4'-Epiadriamycin	41867
4-AMINOSALICYLIC ACID	4649
4-Hydroxyandrostenedione	11273
4-Methylumbelliferone	5280567
4-Quinazolinamine	84759
4SC-202	44217246
4SC-202	15985904
5,7-Dihydroxyflavone	5281607
5-Azacitidine	9444
5-FLUORO-2'-DEOXYURIDINE	5790
5-FLUORO-2'-DEOXYURIDINE	3363
5-FLUORO-2'-DEOXYURIDINE	43834572
5-FLUORO-2'-DEOXYURIDINE	667486
5-FLUORO-2'-DEOXYURIDINE	643968
5-FU	3385
5-Hydroxytryptophan	144
6-Bromoindirubin-3'-acetoxime	135440369
6-Bromoindirubin-3'-acetoxime	135398521
6-HYDROXYBUSPIRONE	9930913
6-Thioguanine	2723601
6-mercaptopurine	667490
7-Aminocephalosporanic acid	441328
7-Ethyl-10-hydroxycamptothecin	104842
7-Hydroxystaurosporine	72271
8-Cl-Ado	147569
8-Cl-Ado	337175
842166X	10253143
9-cis-Retinoic acid	449171
A 438079	11673921
A 804598	53325874
A-1210477	66575373
A-196	117072548
A-366	76285486
A-419259	6539952
A-443654	10172943
A-485	118958122
A-66	42636535
A-66	74832860
A-674563	11314340
A-740003	11351968
A-740003	23232014
A-740003	72812793
A-740003	76967808
A-769662	54708532
A-770041	9549184
A-803467	16038374
A-83-01	16218924
A-839977	53325875
A-922500	24768261
A-966492	16666333
A77 1726	54684141
ABACAVIR	441300
ABC-294640	15604015
ABT-702	1973
ABT-737	11228183
ABT-888	45480520
ABT-888	11960529
AC-261066	11530459
AC-265347	52943938
AC-480	10437018
ACAMPROSATE	71158
ACAMPROSATE CALCIUM	155434
ACC-789	6918616
ACC1 BMS	57519529
ACETAZOLAMIDE	1986
ACETOHEXAMIDE	1989
ACETOHYDROXAMIC ACID	1990
ACPA	5311007
ACTB-1003	23653175
ACY-1215	53340666
ACY-738	57381425
ACY-775	57382288
ADL-5859	46931003
ADL-5859	11417954
ADM HYDROCHLORIDE	32874
ADM HYDROCHLORIDE	443939
ADW-742	9825149
ADX-47273	11383075
AEE-788	10297043
AG-041R	9807431
AG-1024	2044
AG-13958	9934283
AG-14361	9840076
AG-1478	2051
AG-881	117817422
AGI-5198	56645356
AGI-6780	71299339
AGN-194204	9863341
AHPN	135411
AIM-100	11501591
AKT Inhibitor VIII	135398501
AL-8697	25060093
ALBENDAZOLE	2082
ALISKIREN	5493444
ALW-II-41-27	42628503
AM-5992	58299817
AM-630	4302963
AMANTADINE	2130
AMD-3465	483559
AMG PERK 44	121513867
AMG-1	16757524
AMG-208	24864821
AMG-232	58573469
AMG-25	24879368
AMG-319	68947304
AMG-337	44181686
AMG-458	24764449
AMG-47a	16086114
AMG-51	11858109
AMG-511	56947516
AMG-511	59548184
AMG-511	59548201
AMG-548	11167112
AMG-837	46854655
AMG-900	24856041
AMG-925 (FLX925)	60202647
AMG-Tie2-1	16108977
AMILORIDE	16231
AN-2728	44591583
ANTIBIOTIC AD 32	454216
ANTIBIOTIC AY 22989	5284616
ANTIBIOTIC AY 22989	5497196
ANTIBIOTIC AY 22989	5374464
ANTIBIOTIC AY 22989	54600319
AP-26113	68165256
AP-761	45270144
AP-768	9826188
APR-246	52918385
APTO-253	11960271
APY29	42627755
AQX-MN-100	23634362
AR-00341677	25093303
AR-42	6918848
AR-7	44250175
AR-C155858	10226546
ARMODAFINIL	9690109
ARQ-621	25110841
ARRY-162	10288191
ARRY-380	42598643
ARRY-520	44224257
ARS-853	86279165
ARV-771	126619980
ARV-825	92044400
AS-1940477	136173253
AS-1949490	44473434
AS-252424	11630874
AS-602801	10195250
AS-604850	11492951
AS-604850	5287855
AS-604850	53394675
AS-605240	5289247
AS-605240	10377751
AS-605240	24906273
ASENAPINE	3036780
ASENAPINE	163091
ASENAPINE	9903970
ASENAPINE	46780481
ASP-3026	25134326
ASP-9521	25210792
ASR-isobudimer-SO2Ph-4-CH2OC(O)NMe2	44156902
AST-1306	24739943
AST-487	11409972
AT-13148	24905401
AT-406	25022340
AT-7519	11338033
AT-7867	11175137
AT-9283	135398495
AT-IAP	135397708
AT-IAP	70980530
ATENOLOL	2249
ATN-161	9960285
AV-412	9806229
AV-412	11700696
AV-412	156267898
AVN-944	9918559
AVN944	9918559
AX-024	56949412
AZ-10606120	10310632
AZ-11645373	9804433
AZ-191	72716071
AZ-23	16097523
AZ-3146	56973724
AZ-628	11676786
AZ-82	91885438
AZ-9482	92045137
AZ-960	25099184
AZ-TAK1 Inhibitor	9968854
AZACYTIDINE	9444
AZATADINE	19861
AZD-0156	118502708
AZD-1208	58423153
AZD-1480	16659841
AZD-2461	44199317
AZD-26	56953649
AZD-2858	10138980
AZD-3147	25168990
AZD-3264	91666658
AZD-3463	56599293
AZD-3514	46893585
AZD-3759	78209992
AZD-3965	10369242
AZD-4547	51039095
AZD-5153 6-Hydroxy-2-naphthoic acid	118693658
AZD-5363	25227436
AZD-5438	16747683
AZD-6482	44137675
AZD-6738	54761306
AZD-6738	86660217
AZD-6738	119081226
AZD-7545	16741245
AZD-7762	11152667
AZD-8055	25262965
AZD-8186	52913813
AZD-8330	16666708
AZD-8797	11965767
AZD-8835	76685059
AZD-9496 maleate	92044376
AZD-9496 maleate	86287635
AZD1152	11497983
AZD1775	24856436
AZD9668	46861623
Abametapir	15664
Abemaciclib	46220502
Abexinostat	11749858
Abiraterone	132971
Ac-SAH-p53-8	138403267
Acadesine	17513
Acalabrutinib	71226662
Acalisib	11618268
Acarbose	41774
Acarbose	444254
Acarbose	4432690
Acarbose	441184
Acarbose	445421
Acarbose	163284948
Acarbose	122172882
Acarbose	134694648
Acarbose	129010024
Acarbose	18397995
Acemetacin	1981
Acetaminophen	1983
Acetylcysteine	12035
Aciclovir	135398513
Acipimox	5310993
Acitazanolast	2006
Acitretin	5284513
Aclarubicin	451415
Acolbifene	155435
Actinomycin D	457193
Actinomycin D	2019
Actinomycin D	78357827
Actinomycin D	44415057
Actinomycin D	71306720
