DrugName	CID
(+)-chelidonine	197810
(+)-isoprenaline	5808
(+/-)-catechin	1203
(-)-MK-801	
(-)-atenolol	175540
(-)-catechin	73160
(-)-isoprenaline	443372
0173570-0000	
0175029-0000	
0179445-0000	
0198306-0000	
0225151-0000	
0297417-0002B	
0316684-0000	
0317956-0000	
10-methoxyharmalan	417052
11-deoxy-16,16-dimethylprostaglandin E2	71684386
12,13-EODE	5283014
15(S)-15-methylprostaglandin E2	5283065
15-delta prostaglandin J2	
16,16-dimethylprostaglandin E2	5283066
16-phenyltetranorprostaglandin E2	
2,6-dimethylpiperidine	68843
2-aminobenzenesulfonamide	72894
2-deoxy-D-glucose	
3-acetamidocoumarin	136620
3-acetylcoumarin	77553
3-aminobenzamide	1645
3-hydroxy-DL-kynurenine	89
3-nitropropionic acid	1678
4,5-dianilinophthalimide	1697
4-hydroxyphenazone
1-(4-ethoxyphenyl)-3-hydroxy-3-(4-nitrophenyl)-2,5,6,7,8,9-hexahydro-3H-imidazo[1,2-a]azepin-1-ium	5109870
2-cyano-2-(1,4-dioxaspiro[4.5]dec-8-ylidene)Acetic acid ethyl ester	5114445
2-[2-Ethoxy-4-[[3-ethyl-2-(3-methoxycarbonylphenyl)imino-4-oxo-1,3-thiazolidin-5-ylidene]methyl]-6-iodophenoxy]acetic acid	5140203
N-butyl-2-[3-(3-chlorophenyl)-1,2,4-oxadiazol-5-yl]pyrrolidine-1-carboxamide	5149715
2-(3-Fluorophenyl)acetimidamide	5151277
3,4,7-trimethyl-2-oxo-2H-chromen-5-yl N-[(benzyloxy)carbonyl]norvalinate	5152487
(1-Oxo-1-phenylpropan-2-yl) 6-bromo-2-[4-(3,5-dioxo-4-azatetracyclo[5.3.2.02,6.08,10]dodec-11-en-4-yl)phenyl]quinoline-4-carboxylate	5155877
4-methyl-N-[[2-(4-methylpiperidin-1-yl)phenyl]carbamothioyl]benzamide	5162773
2-[1-[(2-chlorophenyl)methyl]benzimidazol-2-yl]sulfanyl-N-[(2,3-dimethoxyphenyl)methylideneamino]acetamide	5182598
propyl 2-(propanoylamino)-5,6,7,8-tetrahydro-4H-cyclohepta[b]thiophene-3-carboxylate	5186223
N-[5-[(2-butan-2-yloxyphenyl)methylidene]-4-oxo-2-sulfanylidene-1,3-thiazolidin-3-yl]-4-methoxybenzamide	5186324
N-[(4-chloro-3-nitrophenyl)methylideneamino]-2-[[3-(4-methoxyphenyl)-4-oxo-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-2-yl]sulfanyl]acetamide	5194442
N-[3-methyl-1-[[5-(methylsulfamoyl)naphthalen-1-yl]amino]-1-oxobutan-2-yl]benzamide	5211181
4-[[1-(2-Methoxy-5-nitrophenyl)-2,5-dimethylpyrrol-3-yl]methylidene]-1-phenylpyrazolidine-3,5-dione	5213008
6-Bromo-3-[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]chromen-2-one	5224221
1-(4,6-Dimethyl-1,3-benzothiazol-2-yl)-4-[hydroxy-(3-methoxyphenyl)methylidene]-5-pyridin-4-ylpyrrolidine-2,3-dione	5230742
4-amino-3,5,6-trichloropiperidin-1-ide-2-carboxylic acid;4-amino-3,5,6-trichloro-2H-pyridin-1-ide-2-carboxylic acid;azanide;manganese;manganese(2+);dihydrate	5248896
1,3-Dithiolan-2-ylmethanediol;manganese;thiolan-2-ylmethanediol;tetradecahydrate	5252917
Benzyl 2-[2-(furan-2-yl)-7-methyl-4-oxochromen-3-yl]oxypropanoate	5253409
3,5-Diisopropylpyrazole	5255229
