DrugName	CID
(R)-(-)-apomorphine	6005
(R)-(-)-rolipram	448055
(R)-baclofen	44602
(S)-(+)-rolipram	158758
1,12-Besm	4283
1,2,3,4,5,6-hexabromocyclohexane	74603
1,3-dipropyl-8-phenylxanthine	128784
1,4-butanediol	8064
1,5-dicaffeoylquinic-acid	6474640
1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium	5846454
1-(1,2-diphenylethyl)piperidine-(+/-)	44574903
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	39359445
1-EBIO	82320
1-acetyl-4-methylpiperazine	550758
1-azakenpaullone	6538897
1-deoxymannojirimycin	72258
1-ethyl-2-pyrrolidone	17595
1-hexadecanal	984
1-hexadecanol	2682
1-naphthyl-PP1	4877
1-octacosanol	68406
1-octanol	957
1-phenylbiguanide	4780
10-DEBC	10521421
10-deacetylbaccatin	154272
10-hydroxycamptothecin	97226
10-hydroxycamptothecin	4330531
10-hydroxycamptothecin	14440697
10058-F4	1271002
12-O-tetradecanoylphorbol-13-acetate	27924
1400W	1433
16,16-dimethylprostaglandin-e2	5283066
17-PA	25068278
17-hydroxyprogesterone-caproate	169870
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	155903680
1S,2R-phenylpropanolamine	26934
2'-C-methylguanosine	135433495
2'-MeCCPA	44292754
2'-MeCCPA	10475082
2'-MeCCPA	122173097
2,3-DCPE	2250975
2,3-DCPE	52913859
2,3-DCPE	46861542
2,3-cis/exo-camphanediol	11768995
2,3-cis/exo-pinanediol	10219606
2,3-cis/exo-pinanediol	12518181
2,4-dinitrochlorobenzene	6
2,4-dinitrophenol	1493
2,5-furandimethanol	74663
2,6-dimethylpiperidine	68843
2-(1-adamantylamino)benzoic-acid	2847479
2-(3-mercaptopropyl)pentanedioic-acid	11735892
2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one	146058
2-APB	1598
2-BFI	3080926
2-CMDO	71296946
2-CMDO	6433834
2-CMDO	66694743
2-CMDO	32224
2-PMDQ	4367545
2-TEDC	6069552
2-[1-(4-piperonyl)piperazinyl]benzothiazole	127902
2-aminobenzenesulfonamide	72894
2-chloro-N6-cyclopentyladenosine	123807
2-chloroadenosine	8974
2-chloropyrazine	73277
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	155903682
2-deoxyglucose	
2-ethoxybenzoic-acid	67252
2-ethyl-1,3-hexanediol	7211
2-fluoro-2-deoxy-D-galactose	
2-fluorofucose	
2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione	155903684
2-hydroxyethyl-salicylate	6880
2-hydroxyflutamide	91649
2-hydroxysaclofen	1564
2-iminobiotin	128878
2-iodohippuric-acid	8614
2-iodomelatonin	115348
2-methoxyestradiol	66414
2-methyl-5-hydroxytryptamine	1574
2-methyl-5-nitrophenol	93576
2-methylimidazole	12749
2-octyldodecan-1-ol	21414
2-oleoylglycerol	5319879
2-oxoglutaric-acid	51
2-oxopropanoate	107735
2-oxopropanoate	1060
2-phenylmelatonin	4018512
2-pyridylethylamine	75919
2-thiouracil	1269845
20-HETE	5283157
20-hydroxyecdysone	5459840
3'-fluorobenzylspiperone	3248000
3,3'-dichlorobenzaldazine	5374032
3,3'-dichlorobenzaldazine	6861557
3,3'-diindolylmethane	3071
3,4-DCPG-(+/-)	6604849
3,4-DCPG-(R)	6604849
3,4-DCPG-(S)	16062593
3,4-methylenedioxy-beta-nitrostyrene	672296
3,5-DHPG-(S)	443586
3-(4-methylbenzylidene)camphor	6434217
3-(4-methylbenzylidene)camphor	7019255
3-(4-methylbenzylidene)camphor	6440721
3-(4-methylbenzylidene)camphor	38988322
3-AQC	11567402
3-AQC	57369165
3-AQC	87671288
3-AQC	3073499
3-CPMT	203135
3-CPMT	21127271
3-CPMT	124081001
3-MATIDA	10398360
3-MPPI	4013695
3-alpha-bis-(4-fluorophenyl)-methoxytropane	6604776
3-alpha-hydroxy-5-beta-androstan-17-one	6420080
3-alpha-hydroxy-5-beta-androstan-17-one	5880
3-alpha-hydroxy-5-beta-androstan-17-one	225
3-amino-benzamide	1645
3-anilinopropan-1-ol	410467
3-bromo-7-nitroindazole	1649
3-bromocamphor	6438
3-bromopyruvate	70684
3-bromopyruvate	6994776
3-carboxy-4-hydroxyphenylglycine-(R)	6604713
3-carboxy-4-hydroxyphenylglycine-(S)	5311460
3-deazaadenosine	23190
3-deazaneplanocin-A	73087
3-deazauridine	54684286
3-hydroxy-3-phenylpentanamide	64814
3-indolebutyric-acid	8617
3-methyl-GABA	57369841
3-methyladenine	135398661
3PO	5720233
4,4'-DDT	3036
4,4-pentamethylenepiperidine	417412
4,5,6,7-tetrabromobenzotriazole	1694
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	5234410
4-(aminomethyl)benzoic-acid	65526
4-CMTB	4307629
4-DAMP	3014059
4-HQN	135408753
4-IBP	132995
4-P-PDOT	3976006
4-PPBP	3035672
4-acetyl-1,1-dimethylpiperazinium	4392675
4-aminohippuric-acid	2148
4-carboxy-3-hydroxyphenylglycine-(RS)	6604709
4-carboxy-3-hydroxyphenylglycine-(S)	5311455
4-chlorophenylguanidine	2757788
4-galactosyllactose	10874809
4-hydroxy-phenazone	
4-iodo-6-phenylpyrimidine	817368
4-iodo-L-phenylalanine	134497
4-methylgenistein	5280373
4-methylhistamine	37463
4-mu-8C	12934390
4-phenolsulfonic-acid	4765
4-phenyl-1,2,3,4-tetrahydroisoquinoline	4236593
4-propylbenzoic-acid	137601
4-pyrimidinecarbonitrile	10313094
4-tert-butylphenol	7393
4BP-TQS	2857838
4E1RCat	78357788
4E1RCat	16195554
4E1RCat	6617612
4EGI-1	5717952
4EGI-1	6911989
4EGI-1	2831024
4SC-202	44217246
4SC-202	15985904
5'-chloro-5'-deoxy-ENBA-(+/-)	15599149
5,7-dichlorokynurenic-acid	1779
5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one	35793
5-BDBD	9841560
5-FP	101498
5-HMF	237332
5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione	135409474
5-aminolevulinic-acid	137
5-carboxamidotryptamine	1809
5-fluoro-3-pyridyl-methanol	152449
5-fluoropyrimidine	69605
5-fluorouracil	3385
5-hydroxydecanoic-acid	13309539
5-hydroxyectoine	12011795
5-hydroxymethyl-tolterodine	9819382
5-hydroxytryptophan	144
5-iodo-A-85380	6604876
5-methylfurmethiodide	70973
5-methylhydantoin-(D)	1615267
5-methylhydantoin-(L)	6419931
5-octanoylsalicylic-acid	9838158
6,7-dehydro-17-acetoxy-progesterone	
6-aminochrysene	17534
6-aminopenicillanic-acid	11082
6-benzylaminopurine	62389
6-chloromelatonin	1858
6-diazo-5-oxo-L-norleucine	9087
6-iodo-nordihydrocapsaicin	
7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one	78144
7-aminocephalosporanic-acid	441328
7-chlorokynurenic-acid	1884
7-hydroxy-DPAT	23928184
7-hydroxy-DPAT	11957566
7-hydroxy-PIPAT	6305587
7-hydroxystaurosporine	72271
7-keto-DHEA	193313
7-keto-DHEA	126963482
7-methoxytacrine	119053
7-methylxanthine	68374
7-nitroindazole	1893
8-M-PDOT	5170952
8-M-PDOT	6604799
8-M-PDOT	92211535
8-bromo-cAMP	32014
8-bromo-cAMP	23702958
8-bromo-cAMP	23712387
8-bromo-cAMP	1913
8-bromo-cAMP	133109985
8-bromo-cAMP	121540648
8-bromo-cGMP	135419186
8-hydroxy-DPAT	1220
8-hydroxy-PIPAT	6142670
80841-78-7	9855518
9-aminoacridine	7019
9-aminocamptothecin	72402
9-anthracenecarboxylic-acid	2201
A-1070722	49830684
A-1120	25138295
A-317491	9829395
A-33903	2729103
A-366	76285486
A-381393	11301655
A-412997	10425450
A-438079	11673921
A-485	118958122
A-582941	11173546
A-582941	44190553
A-61603	9865178
A-674563	11314340
A-7	5463010
A-7	54601194
A-769662	54708532
A-784168	11420211
A-803467	16038374
A-804598	53325874
A-839977	53325875
A-867744	23642319
A-887826	46919335
A-922500	24768261
A-939572	
A-967079	60150207
A-987306	44538833
A-987306	25109291
A0001	2734086
A12B4C3	6610064
A205804	9839311
A61603	4038180
A66	42636535
A740003	11351968
A740003	72812793
A740003	98050091
A77636	6603703
A77636	9951033
A922500	24768261
AA-29504	23188887
AAI101	23653540
AB-423	90259477
ABBV-744	132010322
ABC-294640	15604015
ABT-072	57775240
ABT-202	11457866
ABT-202	17928441
ABT-202	39220800
ABT-239	9818903
ABT-491	154086
ABT-491	154087
ABT-639	46851313
ABT-702	1973
ABT-724	5025739
ABT-737	11228183
ABT-751	3035714
ABX-1431	71657619
ABX464	49846599
AC-186	71245042
AC-261066	11530459
AC-264613	25108278
AC-264613	73014011
AC-264613	25108343
AC-264613	73154192
AC-264613	102282938
AC-264613	124250486
AC-55541	9589606
AC-55541	5749287
AC-55541	25749922
AC-55649	1714884
AC-710	54760053
AC-7954-(+/-)	10937426
AC1NDSS5	4581100
AC260584	9928284
ACDPP	16759169
ACPC	
ACT-132577	25099191
ACT-462206	40924317
ACTB-1003	23653175
ACY-1215	53340666
AD-5467	197383
ADD-233089	3083511
ADL5859	11417954
ADX-10059	10331863
ADX-47273	11383075
AEE788	10297043
AEG3482	698112
AF38469	72706115
AFN-1252	10407120
AG-1024	2044
AG-14361	9840076
AG-490	5328779
AG-555	5328770
AG-556	5328775
AGI-5198	56645356
AGI-6780	71299339
AGM-1470	369976
AGN-192403	67153403
AGN-192403	124581813
AGN-194310	9867046
AGN-195183	9867758
AGP-103	8215
AH-7614	233085
AH11110	9907616
AH11110	6604792
AH6809	119461
AI-10-49	49806644
AIM-100	11501591
AJ76-(+)	122334
AK-7	1328033
AKBA	11168203
AL-8697	25060093
ALS-8112	71621663
ALS-8176	89658382
ALX-40-4C	25077385
ALX-5407	6604909
ALX-5407	5311283
AM-1241	10141893
AM-24	11862
AM-251	2125
AM-281	4302962
AM-404	6604822
AM-580	2126
AM-630	4302963
AM-92016	133104
AM-92016	2129
AM095	53303875
AM095	46213949
AM211	44158492
AM679	44627267
AM679	71308150
AMD-3465	483559
AMD11070	11256587
AMG-176	118910268
AMG-208	24864821
AMG-232	58573469
AMG-319	68947304
AMG-337	44181686
AMG-487	24957182
AMG-487-(+/-)	24957182
AMG-510	137278711
AMG-517	16007367
AMG-548	11167112
AMG-837	46854655
AMG-925	60202647
AMG-9810	680502
AMG-PERK-44	86583045
AMG319	68947304
AMG458	24764449
AMG900	24856041
AMI-1	88489
AMI-1	67254
AMI-1	121540646
AMI-1	16760626
AMN-082	1894361
AMPA-(RS)	6604707
AMPA-(S)	158397
AMZ30	44607965
AN2718	11845944
ANA-12	2799722
ANR-94	11805896
AP-18	5716410
AP1903	16135625
AP26113	57390074
APC-100	99479
APD597	11691484
APD668	11705608
API-001	44247568
API-1	24773090
APR-246	52918385
APTO-253	11960271
APY-29	42627755
APY0201	56927660
APcK-110	24786010
AQ-13	9820475
AQ-13	3805581
AQ-13	76848957
AQ-RA741	129989
AQW-051	50914822
AR-12	10027278
AR-42	6918848
AR-A014418	448014
AR-C155858	10226546
ARC-239	
ARQ-092	53262401
ARQ-621	25110841
ARRY-334543	42642648
ARV-825	92044400
AS-1269574	5332859
AS-1892802	46911016
AS-1949490	44473434
AS-2034178	24808572
AS-2444697	52913874
AS-252424	11630874
AS-604850	11492951
AS-604850	5287855
AS-604850	53394675
AS-703026	44187362
AS-77	11302540
ASA-404	123964
ASC-J9	6477182
ASP-2535	9800113
ASP-6537	9922739
ASP-9521	25210792
ASP3026	25134326
AST-1306	24739943
ASTX660	118169620
AT-1015	18431527
AT-406	25022340
AT-7519	11338033
AT-9283	135398495
AT13148	24905401
AT13387	11955716
AT7867	11175137
ATB-346	25065981
ATN-161	9960285
ATPA	2253
AUT-1	53230344
AV-412	9806229
AV-412	11700696
AV-412	156267898
AV-608	9917079
AVE-0991	9851724
AVE-3085	3510704
AVL-292	59174488
AVN-492	56655571
AVN-944	9918559
AVex-73	9882189
AX-024	56949412
AY-9944	9704
AY-9944	54602908
AY-9944	9705
