DrugID	CID	
CHEMBL830	3009
CHEMBL3991035	
CHEMBL1330792	1985
CHEMBL2079699	
CHEMBL110	31593
CHEMBL125	3599
CHEMBL1631694	68792
CHEMBL290960	6842999
CHEMBL869	5447130
CHEMBL361506	8813
CHEMBL55	4735
CHEMBL137	4173
CHEMBL498847	71815
CHEMBL1220	5479
CHEMBL1200699	54684461
CHEMBL8	2764
CHEMBL1010	10695961
CHEMBL161	5479530
CHEMBL3183968	60196280
CHEMBL1082	33613
CHEMBL1730	5742673
CHEMBL1433	54671203
CHEMBL174	6249
CHEMBL1541	5362065
CHEMBL2108611	
CHEMBL1201587	
CHEMBL2216870	11625818
CHEMBL1201734	77082
CHEMBL3707348	71226662
CHEMBL1743048	
CHEMBL1201576	
CHEMBL487253	65628
CHEMBL1873475	24821094
CHEMBL1201836	
CHEMBL1096882	30751
CHEMBL3137309	49846579
CHEMBL3039502	50905713
CHEMBL3545068	135565785
CHEMBL487253	65628
CHEMBL3218576	135565596
CHEMBL2216870	11625818
CHEMBL1743048	
CHEMBL3039502	50905713
CHEMBL1201734	77082
CHEMBL114	441243
CHEMBL1743029	
CHEMBL129	35370
CHEMBL2364637	71492247
CHEMBL204656	5277135
CHEMBL1163	148192
CHEMBL1229211	54726191
CHEMBL885	60877
CHEMBL2107825	9574768
CHEMBL444633	135415564
CHEMBL175691	6451164
CHEMBL163	392622
CHEMBL3301594	11319217
CHEMBL584	64143
CHEMBL1205	64142
CHEMBL1201187	3002977
CHEMBL991	18283
CHEMBL223228	64139
CHEMBL308954	193962
CHEMBL3989866	90311989
CHEMBL2364608	58460047
CHEMBL525076	16130199
CHEMBL518520	23668479
CHEMBL3137330	46215800
CHEMBL3301598	46892186
CHEMBL1201621	
CHEMBL2403238	54713659
CHEMBL1486	6398764
CHEMBL3989867	102593990
CHEMBL1538	5481350
CHEMBL141	60825
CHEMBL1201127	23725083
CHEMBL254316	54671008
CHEMBL57	4463
CHEMBL1323	213039
CHEMBL2095208	25151504
CHEMBL1213165	46216142
CHEMBL729	92727
CHEMBL1200678	158550
CHEMBL3085504	71587153
CHEMBL4297723	
CHEMBL403664	5460769
CHEMBL1201577	
CHEMBL2108738	
CHEMBL514	3950
CHEMBL476	135398738
