DrugName	CID
( -)-Candoxatrilat	
(+)-5-deoxyadeenophorine	10559165
(+)-Butaclamol	37459
(+)-Butaclamol	37461
(+)-Butaclamol	1224
(+)-EHNA	149790
(+)-MK 801 Maleate	6420042
(+)-MK-801 hydrogen maleate	6420042
(+)-NIGULDIPINE	6918097
(+)-NIGULDIPINE	101603711
(+)-Quisqualic acid	40539
(+)-chelidonine_HL60_DOWN	
(+)-chelidonine_HL60_UP	
(+)-chelidonine_MCF7_DOWN	
(+)-chelidonine_MCF7_UP	
(+)-chelidonine_PC3_DOWN	
(+)-chelidonine_PC3_UP	
(+)-isoprenaline_HL60_DOWN	
(+)-isoprenaline_HL60_UP	
(+)-isoprenaline_PC3_DOWN	
(+)-isoprenaline_PC3_UP	
(+/-)-CGP-12177A	11957517
(+/-)-Daedalin A	46230831
(+/-)-Epibatidine	1204
(+/-)-Huperzine A	1253
(+/-)-Huperzine A	5912039
(+/-)-Huperzine A	1633595
(+/-)-debromoflustramine B	496015
(-)-3-O-acetylspectaline	10474155
(-)-Bicuculline methbromide, 1(S), 9(R)	6852386
(-)-Catechin gallate	6419835
(-)-Cymserine	9864626
(-)-Cymserine	9907847
(-)-Epicatechin	72276
(-)-Epicatechin gallate	107905
(-)-Epigallocatechin gallate	65064
(-)-Huperzine B	23645296
(-)-Huperzine B	5462442
(-)-MK-801_MCF7_DOWN	
(-)-MK-801_MCF7_UP	
(-)-Maackiain	91510
(-)-Phenethylcymserine	11385845
(-)-Phenserine	192706
(-)-Quinpirole hydrochloride	55397
(-)-Terbuclomine	12807731
(-)-Tolserine	9906452
(-)-atenolol_HL60_DOWN	
(-)-atenolol_PC3_UP	
(-)-clusin	44575398
(-)-cubebinin	44575401
(-)-cubebininolide	13916150
(-)-cyclorphan	5359966
(-)-cyclorphan	44299063
(-)-dihydroclusin	332806
(-)-isoelaeocarpiline	44583898
(-)-isoprenaline_HL60_DOWN	
(-)-isoprenaline_HL60_UP	
(-)-isoprenaline_MCF7_DOWN	
(-)-isoprenaline_PC3_DOWN	
(-)-isoprenaline_PC3_UP	
(-)-menthol	16666
(-)-uniflorine A	9794258
(-)-yatein	442835
(-)-zileuton	10220327
(1,2,3,4-Tetrahydro-isoquinolin-3-yl)-methanol	3752277
(1,2-Dihydroxyethyl)oxirane	108199
(1-aminobutyl)phosphonic acid	272986
(10xi)-3,17-dioxoestr-4-en-10-yl formate	
(11R)-11-(4-dimethylaminophenyl)-17-hydroxy-17-(3-hydroxypropyl)-13-methyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one	
(12E,20Z,18S)-8-hydroxyvariabilin	54726845
(17S)-17-hydroxy-13,17-dimethyl-1,2,6,7,8,14,15,16-octahydrocyclopenta[a]phenanthren-3-one	
(19Z)-Halichondramide	44575767
(19Z)-Halichondramide	6443267
(19|A)-16-(methoxycarbonyl)-19-methyl-3,4,5,6,16,17-hexadehydro-18-oxayohimban-4-ium	
(1R)-MENTHYL HEXYL PHOSPHONATE GROUP	446980
(1R,2R)-(+)-1,2-Diphenylethylenediamine	2724998
(1R,2S)-1,2-diphenylethane-1,2-diamine	6931234
(1R,2S)-N-Arachidonoylcyclopropanolamide	42617989
(1S)-MENTHYL HEXYL PHOSPHONATE GROUP	446981
(2-methyl-5-phenylpyrazol-3-yl)sulfamic acid	
(2-methylphenyl)-(4-nitropyrazol-1-yl)methanone	
(2-methylphenyl)-pyrazol-1-ylmethanone	
(2-oxooxolan-3-yl)azanium	
(2E,4E,6E,8E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-3-OXO-1-CYCLOHEXENYL)NONA-2,4,6,8-TETRAENOIC ACID	6437063
(2R)-1-(2,6-dimethylphenoxy)propan-2-amine	180621
(2R)-2-Methyl-4,5-dideoxy	
(2R,3R)-iodoreboxetine	44578857
(2R,3S,4S,5R)-2-propylpiperidine-3,4,5-triol	46884602
(2R,4R)-4-aminopyrrolidine-2,4-dicarboxylic acid	5310984
(2S)-2'-methoxykurarinone	11982641
(2S)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid	11483970
(2S)-2-ETHYL-8-METHYL-1-THIA-4,8-DIAZASPIRO[4,5]DECAN-3-ONE	10013505
(2S)-2-azaniumyl-4-(butylsulfonimidoyl)butanoate	
(2S,3S)-iodoreboxetine	44579601
(2S,3S,4R)-2-(HYDROXYMETHYL)-3,4-PYRROLIDINEDIOL	
(2S,3S,4S,5R)-2,3,4,5-tetrahydroxy-6-oxohexanoic acid	65041
(2e)-3-(2-Oct-1-Yn-1-Ylphenyl)acrylic Acid	10308106
(2s)-1-fluoro-3-(1h-imidazol-5-yl)propan-2-amine	
(2s)-2-{[(2s)-4-(carboxymethyl)-5-oxo-2-(thiophen-2-yl)-1,4-thiazepan-6-yl]amino}-4-phenylbutanoic acid	
(2s,5r,6r)-3,3-dimethyl-6-[(2-methylalanyl)amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	
(2|A,3|A,5xi,18|A)-2,3-dihydroxyurs-12-en-28-oic acid	
(3,4-dimethylphenyl)(4-phenoxyphenyl)methanone	3342765
(3-Chloro-phenyl)-piperazin-1-yl-methanone	1074765
(3-Pyridylmethylene)indane 11b	6539770
(3-Pyridylmethylene)indane 19a	6539773
(3-Pyridylmethylene)indane 1a	6539759
(3-Pyridylmethylene)indane 24a	6539783
(3-Pyridylmethylene)indane 25b	6539785
(3-Pyridylmethylene)indane 26a	6539776
(3-Pyridylmethylene)indane 5a	6539763
(3-Pyridylmethylene)indane 7b	6539766
(3-Pyridylmethylene)indane 9b	6539768
(3-chloro-4-bicyclo[3.2.0]hepta-3,6-dienyl) dimethyl phosphate	
(3-chloro-4-propoxyphenyl)acetic acid	2084
(3-nitropyrazol-1-yl)-phenylmethanone	
(3R)-1-ACETYL-3-METHYLPIPERIDINE	449120
(3S)-3-aminodihydrothiophen-2(3H)-one	134505
(3S)-Vestitol	177149
