DrugName	CID
&Delta;<sup>9</sup>-tetrahydrocannabinol	
&gamma;-hydroxybutyric acid	
(-)-adrenaline	5816
(-)-menthol	16666
(-)-noradrenaline	439260
(-)-pentazocine	441278
(-)-pentazocine	4736
(-)-pentazocine	12259685
(-)-pentazocine	9669
(-)-pentazocine	12259682
(-)-sulpiride	688272
(<i>R</i>)-cetirizine	
1,25-dihydroxyvitamin D3	5280453
1,25-dihydroxyvitamin D3	6437079
1,25-dihydroxyvitamin D3	9953732
1,25-dihydroxyvitamin D3	13019066
1,25-dihydroxyvitamin D3	2524
1,25-dihydroxyvitamin D3	5283740
1,25-dihydroxyvitamin D3	5371993
1,25-dihydroxyvitamin D3	101099404
17&beta;-estradiol	
5&alpha;-pregnan-3&alpha;-ol-20-one	
5-aminolevulinic acid	137
5-fluorouracil	3385
6-aminocaproic acid	564
ACTH	
Alprolix<sup>TM</sup>	
Crotamiton	688020
D-cycloserine	6234
FSH	
G-CSF	
IFN-&alpha;2	
IFN-&alpha;2b (recombinant human)	
IFN-&beta;1a (recombinant human)	
IFN-&beta;1b (recombinant human)	
IFN-&gamma;	
IFN-&gamma;1b (human recombinant)	
IL-2	
L-&alpha;-methyldopa	
L-cycloserine	449215
LH	6992828
LH	341684
Li<sup>+</sup>	
N-methyl scopolamine	71183
NGF	60160600
NO	24822
NaHCO<sub>3</sub><sup>-</sup>	
PDGF BB	
PGE<sub>1</sub>	
PGE<sub>2</sub>	
PGI<sub>2</sub>	
PTH	
SNP	
T<sub>4</sub>	
TRH	638678
TRH	32281
TRH	131841495
TRH	129360500
TSH	1150
abacavir	441300
abaloparatide	145705876
abarelix	16131215
abatacept	
abciximab	
abemaciclib	46220502
abiraterone acetate	9821849
abrocitinib	78323835
acalabrutinib	71226662
acamprosate	71158
acarbose	41774
acarbose	444254
acarbose	4432690
acarbose	441184
acarbose	445421
acarbose	122172882
acarbose	18397995
acarbose	134694648
acarbose	129010024
acarbose	163284948
acebutolol	1978
acenocoumarol	54676537
acetazolamide	1986
acetohexamide	1989
acetylcysteine	12035
acetyldigitoxin	5284512
aciclovir	135398513
acipimox	5310993
acitretin	5284513
aclidinium	11434515
adalimumab	
adapalene	60164
adenosine	60961
adomeglivant	91933867
aducanumab	
afamelanotide	16197727
afamelanotide	16132954
afatinib	10184653
aflibercept	
agomelatine	82148
ajmalicine	441975
albiglutide	145994868
albiglutide	155886935
alcaftadine	19371515
alectinib	49806720
alefacept	
alemtuzumab	
alendronate	2088
alfentanil	51263
alfuzosin	2092
alglucosidase alfa	
alimemazine	5574
alirocumab	
aliskiren	5493444
alitretinoin	449171
alizapride	
allopurinol	135401907
almonertinib	121280087
almotriptan	123606
alogliptin	11450633
alosetron	2099
alpelisib	56649450
alpha-methyltyrosine	441350
alpha1-proteinase inhibitor	
alprazolam	2118
alprenolol	2119
altretamine	2123
alvimopan	5488548
amantadine	2130
ambrisentan	6918493
ambroxol	2132
amcinonide	443958
amfenac	2136
amifampridine	5918
amikacin	37768
amiloride	16231
aminoglutethimide	2145
