DrugName	CID
Abacavir	441300
Abarelix	16131215
Abatacept	
Abciximab	
Abiraterone	132971
Acamprosate	71158
Acarbose	41774
Acarbose	444254
Acarbose	4432690
Acarbose	441184
Acarbose	445421
Acarbose	129010024
Acarbose	163284948
Acarbose	134694648
Acarbose	122172882
Acarbose	18397995
Acebutolol	1978
Aceprometazine	26035
Acetaminophen	1983
Acetazolamide	1986
Acetic acid	176
Acetohydroxamic Acid	1990
Acetophenazine	17676
Acetylcarnitine	7045767
Acetylcarnitine	1
Acetylcysteine	12035
Acetylsalicylic acid	2244
Aciclovir	135398513
Acitretin	5284513
Aclidinium	11434515
Acrivastine	5284514
Adalimumab	
Adapalene	60164
Adefovir Dipivoxil	60871
Adenosine	60961
Adenosine monophosphate	6083
Afamelanotide	16197727
Afamelanotide	16132954
Afatinib	10184653
Aflibercept	
Agalsidase beta	52918379
Agomelatine	82148
Albendazole	2082
Albiglutide	145994868
Albiglutide	155886935
Alcaftadine	19371515
Alclometasone	5311000
Aldesleukin	
Alectinib	49806720
Alefacept	
Alemtuzumab	
Alendronic acid	2088
Alfacalcidol	5282181
Alfacalcidol	5284515
Alfacalcidol	2091
Alfacalcidol	5283718
Alfacalcidol	443990
Alfacalcidol	46780105
Alfacalcidol	145705856
Alfacalcidol	5283723
Alfacalcidol	134688803
Alfacalcidol	134694392
Alfacalcidol	45073394
Alfacalcidol	135391135
Alfacalcidol	163285106
Alfacalcidol	145705666
Alfuzosin	2092
Alglucerase	
Alglucosidase alfa	
Alimemazine	5574
Alirocumab	
Aliskiren	5493444
Alitretinoin	449171
Allopurinol	135401907
Almitrine	33887
Almotriptan	123606
Alogliptin	11450633
Alosetron	2099
Alprazolam	2118
Alprostadil	5280723
Alteplase	
Altretamine	2123
Aluminum hydroxide	
Alvimopan	5488548
Amantadine	2130
Ambenonium	2131
Ambrisentan	6918493
Ambroxol	2132
Amcinonide	443958
Amifostine	2141
Amikacin	37768
Amiloride	16231
Aminoglutethimide	2145
Aminolevulinic acid	137
Aminophylline	9433
Aminosalicylic Acid	4649
Amiodarone	2157
Amisulpride	2159
Amitriptyline	2160
Amlexanox	2161
Amlodipine	2162
Ammonium chloride	25517
Ammonium lactate	62358
Ammonium lactate	10129918
Amobarbital	2164
Amoxapine	2170
Amoxicillin	33613
Amphetamine	3007
Amphotericin B	5280965
Amphotericin B	91819969
Ampicillin	6249
Amprenavir	65016
Amrinone	3698
Amyl Nitrite	10026
Anagrelide	135409400
Anakinra	
Anastrozole	2187
Anidulafungin	166548
Anisotropine Methylbromide	657201
Antazoline	2200
Antipyrine	2206
Apixaban	10182969
Apomorphine	6005
Apraclonidine	2216
Apremilast	11561674
Aprepitant	135413536
Aprindine	2218
Aprobarbital	6464
Aprotinin	156024996
Aprotinin	22833874
Aprotinin	16130295
Aprotinin	53487898
