drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus,drug_name_lower
Lepirudin,DB00001,Heparin-induced thrombocytopenia with thrombosis,C0272275,NA,Approved,NA,NA,lepirudin
Cetuximab,DB00002,Squamous cell carcinoma of mouth,C0585362,NA,Approved,NA,NA,cetuximab
Cetuximab,DB00002,Squamous cell carcinoma of nose,C3163899,NA,Approved,NA,NA,cetuximab
Cetuximab,DB00002,Squamous cell carcinoma of pharynx,C1319317,NA,Approved,NA,NA,cetuximab
Cetuximab,DB00002,Laryngeal Squamous Cell Carcinoma,C0280324,NA,Approved,NA,NA,cetuximab
Cetuximab,DB00002,Malignant tumor of colon,C0007102,NA,Approved,NA,NA,cetuximab
Dornase alfa,DB00003,Cystic Fibrosis,C0010674,NA,Approved,NA,NA,dornase alfa
Denileukin diftitox,DB00004,"Lymphoma, T-Cell, Cutaneous",C0079773,NA,Approved,NA,NA,denileukin diftitox
Etanercept,DB00005,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,etanercept
Etanercept,DB00005,Juvenile arthritis,C3495559,NA,Approved,NA,NA,etanercept
Etanercept,DB00005,"Arthritis, Psoriatic",C0003872,NA,Approved,NA,NA,etanercept
Etanercept,DB00005,Ankylosing spondylitis,C0038013,NA,Approved,NA,NA,etanercept
Etanercept,DB00005,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,etanercept
Leuprolide,DB00007,Precocious Puberty,C0034013,NA,Approved,NA,NA,leuprolide
Leuprolide,DB00007,Endometriosis,C0014175,NA,Approved,NA,NA,leuprolide
Peginterferon alfa-2a,DB00008,"Hepatitis C, Chronic",C0524910,NA,Approved,NA,NA,peginterferon alfa-2a
Peginterferon alfa-2a,DB00008,"Hepatitis B, Chronic",C0524909,NA,Approved,NA,NA,peginterferon alfa-2a
Alteplase,DB00009,Ischemic stroke,C0948008,NA,Approved,NA,NA,alteplase
Alteplase,DB00009,Acute myocardial infarction,C0155626,NA,Approved,NA,NA,alteplase
Alteplase,DB00009,Pulmonary Embolism,C0034065,NA,Approved,NA,NA,alteplase
Sermorelin,DB00010,Pituitary dwarfism,C0013338,NA,Approved,NA,NA,sermorelin
Urokinase,DB00013,Pulmonary Embolism,C0034065,NA,Approved,NA,NA,urokinase
Goserelin,DB00014,Hormone receptor positive malignant neoplasm of breast,C1562029,NA,Approved,NA,NA,goserelin
Goserelin,DB00014,Endometriosis,C0014175,NA,Approved,NA,NA,goserelin
Reteplase,DB00015,Acute myocardial infarction,C0155626,NA,Approved,NA,NA,reteplase
Erythropoietin,DB00016,Anemia in chronic kidney disease,C1561828,NA,Approved,NA,NA,erythropoietin
Erythropoietin,DB00016,Anemia due to chemotherapy,C1998329,NA,Approved,NA,NA,erythropoietin
Salmon Calcitonin,DB00017,"Osteoporosis, Postmenopausal",C0029458,NA,Approved,NA,NA,salmon calcitonin
