DrugName	CID
1,25(OH)2D3	
17-hydroxyprogesterone	6238
18F-FDG	450503
18F-flutemetamol	15950376
2-hydroxysuccinaldehyde	
4-AP	1727
4-PBA	
4-methylpyrazole	3406
5-ASA	4075
5-FU	3385
5-aminolevulinic	
5-aza-2'-deoxycytidine	451668
5-azacytidine	9444
5-fluorocytosine	3366
5-methyltetrahydrofolate	135398561
5-methyltetrahydrofolate	135483998
5-methyltetrahydrofolate	135415868
6-mercaptopurine	667490
6-thioguanine	2723601
68Ga	5488452
8-MOP	4114
A77	64999
AC1O3HA7	
ACTH(1-39	
ALX	
AMD3100	65015
AN2690	11499245
APAs	4649
Abarelix	16131215
Almeta	636374
Anidulafungin	166548
Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2	9833444
Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2	16219094
Azarga	
BCNU	2578
BPTI	16130295
Benicar-HCT	
Bivalirudin	16129704
Brolene	11973
Buscopan	6852391
CAS	
CGP	
Cancidas	6850808
Cancidas	2826718
Cantril	6461
Cantril	4057
Carfilzomib	11556711
Colimycin	
D-cycloserine	6234
D-penicillamine	5852
DFMO	3009
DFMO	441361
DFMO	57004
DMSO	679
Depreotide	9898619
Diane-35	107694
EACA	564
EDTA	6049
Enfuvirtide	16130199
Eptifibatide	448812
Estrofem	3080904
FAMP	30751
FAMP	3368
FK463	23666118
FK463	3081921
FK463	78357831
FK463	477468
FK463	92044397
FP-CIT	10048368
FTY720	107969
FdUrd	5790
FdUrd	3363
FdUrd	643968
Fe(III	
Forteo	16133850
Forteo	132451761
Gd-DTPA	
Gd-EOB-DTPA	56841043
Gd-EOB-DTPA	131704314
Gd-EOB-DTPA	53240376
Ge-132	
Glat	
Goserelin	5311128
HMDP	27304
Histrelin	25077993
Hoe	237755
Humalog	118984450
ICI	
IdUrd	5905
Implanon	6917715
Insulin	
K779	71306834
Kaluril	171558
L-Dmp	
L-threo-DOPS	92974
LMWH	772
LY146032	21585658
LY146032	16134395
LY146032	46930993
Lantus	
Leuprorelin	657181
LiOH	3939
Lisinopril	5362119
Locorten	443980
Lovaza	9831414
Lu	23929
Lutalyse	5282415
Lyxumia	
MDV3100	15951529
MK-462	77997
Madopar	
Meropenem	441130
Mersyndol	5487068
Metrodin	75409771
MnDPDP	6918193
N-acetylcysteine	12035
N-carbamylglutamate	121396
N-methylscopolamine	71183
NSC	71166
NTBC	115355
Nafarelin	25077405
NovoLog	118984445
NuvaRing	9960701
Nuvocid	53297457
Nuvocid	16129632
Octreotide	448601
Octreotide	383414
Octreotide	6400441
Octreotide	44420813
Octreotide	90488715
Octreotide	155903738
Octreotide	44311916
Octreotide	86289069
Oestrogen	
Optison	6432
Org	44631848
PCI-32765	24821094
PEP005	6918670
PGE1	5280723
PGE2	5280360
Paroven	
Photofrin	
Prednefrin	192155
Promacta	135449332
Promacta	135449331
Promacta	136036248
Protirelin	638678
Prussian	
Refludan	118856773
Revasc	
Romidepsin	5352062
Romidepsin	57515973
Romidepsin	3425
Romidepsin	56840936
Romidepsin	90488850
Romidepsin	129905275
Romidepsin	91110640
Romidepsin	123135747
Romidepsin	58708317
Romidepsin	154574495
S-benzoylmercaptoacetyltriglycine	185457
SOM230	9941444
SOM230	70788982
SU5416	5329098
Sativex	44148067
Saxagliptin	11243969
Saxagliptin	11235729
Saxagliptin	58391580
Saxagliptin	66576989
Saxagliptin	98047158
Saxagliptin	129009973
Saxagliptin	129317852
Saxagliptin	134694638
Signifor	9941444
Signifor	70788982
SonoVue	17358
Stalevo	
Supremon	
Symlin	16132446
T-A2-3	16134398
T-A2-3	17748671
TMC207	5388906
TMC435	24873435
TPGS	71406
TR-700	11234049
Tadenan	12620
Terlipressin	72081
Timentin	
TlCl	24642
Triphasil	
Triptorelin	25074470
Trisequens	123634
UDCA	31401
VACV	135398742
Vallergan	441236
Vancocine	6917991
Vitrum	16129665
Westcort	5282494
Westcort	5225092
ZnCl2	3007855
