DrugName	CID	InchiKey
(+)-O-Desmethyl-N,N-bisdesmethyl Tramadol	10220107	MJTYLDGVLFSXDG-YPMHNXCESA-N
(-)-Epigallocatechin gallate	65064	WMBWREPUVVBILR-WIYYLYMNSA-N
(10R,11S,13R,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde	24758425	PQSUYGKTWSAVDQ-SRPWZAMTSA-N
(10Z,13Z)-Nonadecadienoyl-CoA	131819679	QKQLDNFEPOJFDE-DVSZPKTKSA-N
(10s,11s)-10,11-Dihydroxy-10,11-dihydro-5h-dibenzo[b,f]azepine-5-carboxamide	114725	PRGQOPPDPVELEG-KBPBESRZSA-N
(11Z)-Eicosenoyl-CoA	71448924	ZDRKXADSROCWCG-FVLDFCIYSA-N
(11Z,14Z)-Icosadienoyl-CoA	49859713	YCKYOUVXZZJCIU-YGYQDCEASA-N
(13Z,16Z)-Docosadienoyl-CoA	71448927	ZLXWEKYVHIYDIY-HCUKIJCOSA-N
(15Z)-Tetracosenoyl-CoA	71448926	QHZAQVTVYPHLKK-YVBAAGQKSA-N
(1R)-2-{[{[(2S)-2,3-Dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-1-[(palmitoyloxy)methyl]ethyl (11E)-octadec-11-enoate	5289145	ADYWCMPUNIVOEA-GPJPVTGXSA-N
(1R,2R)-2-(Aminomethyl)-1-(3-methoxyphenyl)cyclohexan-1-OL	10105488	QNPPIKMBCJUUTG-OCCSQVGLSA-N
(1R,2S)-1-heptyl-2-octylcyclopentane	107873	UKVVPDHLUHAJNZ-UXHICEINSA-N
