DrugName	CID
(+)-(S)-Methylalpha-[[2-(2-thienyl)ethyl]amino]-alpha-(2-chlorophenyl)acetate	188310
(+)-Aromadendrene	11095734
(+)-Borneol	6552009
(+)-Fenchone	1201521
(+)-Gallocatechin	65084
(+)-N-Methylallosedridine	11972082
(+)-Secobarbital	31143
(+)-Syringaresinol	443023
(+)-alpha-Terpineol	442501
(+)-delta-Cadinene	441005
(-)-Citronellol	7793
(-)-Coreximine	601259
(-)-Epicatechin	72276
(-)-Epigallocatechin gallate	65064
(-)-Gallocatechin gallate	199472
(-)-Linalool	443158
(-)-Norephedrine	10297
(-)-Pulegone	638012
(-)-Scopolamine	5184
(-)-Stephanine; (R)-(-)-Stephanine; 8-Methoxy-1,2-(methylenedioxy)-6abeta-aporphine; Stephanin; l-Stephanine	10335495
(-)-beta-Bourbonene	62566
(-)-beta-Curcumene	14014430
(10R)-7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadeca-2,4-dien-6-one	10246
(10S,23S)-23-amino-10-ethyl-18-fluoro-10-hydroxy-19-methyl-8-oxa-4,15-diazahexacyclo[14.7.1.02,14.04,13.06,11.020,24]tetracosa-1,6(11),12,14,16,18,20(24)-heptaene-5,9-dione;methanesulfonic acid;hydrate	70689343
(11E)-5alpha-Amino-11-ethylidene-5,6,9,10-tetrahydro-7-methyl-5,9beta-methanocycloocta[b]pyridin-2(1H)-one	4369233
(11R)-15-methyl-6-azatetracyclo[8.6.0.01,6.02,13]hexadecan-11-ol	5316027
(11S)-11-chloro-3',4,5-trimethoxy-7-methylspiro[7-azatricyclo[4.3.3.01,6]dodec-4-ene-10,5'-cyclopent-2-ene]-1',3-dione	5316424
(13R,14R)-19-(furan-3-yl)-11-hydroxy-9,9,13,20-tetramethyl-4,8,15,18-tetraoxahexacyclo[11.9.0.02,7.02,10.014,16.014,20]docos-10-ene-5,12,17-trione	5317305
(13S)-5-[(E)-5,6-dimethylhept-3-en-2-yl]-6,10-dimethyl-16,17-dioxapentacyclo[13.2.2.01,9.02,6.010,15]nonadec-18-en-13-ol	6433319
(14R,16R)-4'-(dichloromethyl)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-oxane]-14,16-diol	5315111
(14Z)-14-(2-hydroxyethylidene)-8,16-diazahexacyclo[11.5.2.11,8.02,7.016,19.012,21]henicosa-2,4,6,11-tetraen-9-one	5318675
(15S,16R,18R)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-15,16-diol	5319285
(16S)-6,7,13-trimethyl-7-azapentacyclo[10.8.0.02,9.05,9.013,18]icos-18-en-16-amine	5316031
(16S)-N,6,7,13-tetramethyl-7-azapentacyclo[10.8.0.02,9.05,9.013,18]icos-18-en-16-amine	5318534
