TTD_ID	CID
D00AAN	23643731
D00AAU	100424
D00ABE	
D00ABO	11427553
D00ABW	
D00ACC	9844019
D00ACH	
D00ACL	
D00ACP	
D00ACX	644213
D00ADV	
D00AEQ	169870
D00AES	
D00AEV	
D00AEX	44341439
D00AHD	44435223
D00AHT	
D00AHV	
D00AII	5281727
D00AIO	
D00AIS	
D00AIZ	
D00AJB	73255
D00AJF	
D00AJI	
D00AJS	
D00AKL	
D00AKQ	
D00AKR	
D00AKV	11217901
D00AKY	
D00ALE	
D00ALJ	
D00ALX	
D00AMQ	702
D00ANG	
D00ANJ	1897797
D00AOJ	12620
D00AON	9864028
D00APD	15124
D00AQP	
D00AQR	71529770
D00AQV	
D00AQW	
D00AQY	
D00ARM	54405
D00ARN	71388
D00ARS	
D00ASA	466272
D00ASH	56603744
D00ASJ	
D00ASL	44254244
D00ASX	
D00ASZ	16204411
D00ATA	5908088
D00AUC	6918005
D00AUM	
D00AUX	25230266
D00AUZ	
D00AVG	
D00AVH	
D00AVR	135476741
D00AVS	
D00AVT	1548901
D00AWA	9938355
D00AWM	9826520
D00AWT	4747
D00AXG	
D00AXJ	4189
D00AXT	
D00AXZ	
D00AYA	6918494
D00AYW	
D00BAJ	44237094
D00BBB	
D00BCG	5311128
D00BCO	44388674
D00BCP	2727
D00BCS	
D00BCZ	
D00BDC	72106
D00BEA	107948
D00BEJ	
D00BEM	385181
D00BFF	
D00BFT	16486
D00BGN	24971326
D00BHL	137253359
D00BIE	25084507
D00BIY	135423125
D00BJV	
D00BKV	
D00BLD	162603
D00BLL	6918558
D00BLS	
D00BLY	44157042
D00BMF	24958200
D00BMI	25154729
D00BMM	
D00BND	10287037
D00BNE	135398650
D00BOY	56928194
D00BPA	4592
D00BPE	
D00BPH	
D00BQR	
D00BRD	126
D00BSX	122635
D00BTW	3000926
D00BTZ	
D00BUO	
D00BUR	216327
D00BVB	
D00BVF	
D00BVJ	
D00BVP	11847320
D00BVS	
D00BWF	11287722
D00BWZ	10823903
D00BXG	5311481
D00BXK	
D00BXZ	
D00BYK	
D00BYM	10461508
D00BZJ	
D00BZO	
D00BZS	9577124
D00BZZ	
D00CAF	15938
D00CAO	
D00CAU	10870843
D00CBP	
D00CBY	
D00CCI	39941
D00CCV	11669239
D00CDF	9824562
D00CDI	
D00CDM	115107
D00CED	
D00CEE	
D00CEG	9961556
D00CEI	
D00CEN	9853075
D00CEO	1865
D00CFB	9934451
D00CFU	
D00CGH	6438384
D00CGJ	13547422
D00CGU	13551
D00CGX	
D00CHD	44235171
D00CIF	
D00CIT	
D00CIW	15295
D00CJJ	12016636
D00CKV	
D00CKY	24951315
D00CLB	10120078
D00CLC	
D00CLK	
D00CLM	
D00CMA	
D00CMC	
D00CMV	11256560
D00CMX	
D00COB	6439414
D00COH	
D00COJ	
D00CPI	22397846
D00CPM	3826063
D00CPQ	
D00CQB	9578787
D00CQI	
D00CQL	
D00CQQ	
D00CQR	10511073
D00CQT	277767
D00CQW	5487322
D00CRA	1574
D00CRQ	
D00CSA	
D00CSQ	5564
D00CTS	157920
D00CTZ	
D00CUZ	53325462
D00CVB	13712
D00CVD	252716
D00CVJ	24815904
D00CVT	
D00CWH	3496445
D00CWJ	
D00CWN	135987619
D00CYF	44388587
D00CYX	44397266
D00CZT	
D00DAE	
D00DAU	
D00DBE	9865514
D00DBH	10930
D00DBO	4830
D00DBR	135509070
D00DBU	
D00DBV	11719
D00DCY	
D00DDH	11623159
D00DDJ	17233943
D00DDO	268734
D00DDR	
D00DDT	46882974
D00DDX	
D00DEF	11597698
D00DEH	45483512
D00DFK	
D00DFP	
D00DFR	11809004
D00DHM	14277536
D00DHT	
D00DHV	2760428
D00DIB	
D00DIF	909822
D00DIJ	
D00DIM	
D00DIZ	
D00DJC	
D00DJE	23186964
D00DJX	44597742
D00DKK	5282379
D00DLU	16049480
D00DNT	44452581
D00DNY	3213
D00DPJ	
D00DPP	3035239
D00DPX	3187704
D00DQX	11667893
D00DQZ	11964504
D00DRA	
D00DRL	44137946
D00DRY	
D00DSD	
D00DSE	49864196
D00DSG	
D00DSN	
D00DSQ	3002300
D00DSV	
D00DSW	6035704
D00DTP	
D00DUJ	11687499
D00DXB	10214441
D00DXC	
D00DXH	
D00DXI	135566302
D00DXV	9895647
D00DYI	
D00DYK	10672195
D00DYN	
D00DYQ	
D00DZN	10391
D00DZY	11849201
D00EBH	9885848
D00EBN	
D00ECB	119325
D00ECO	9881989
D00ECV	46880729
D00ECX	
D00EEL	3448
D00EEP	
D00EEU	44434487
D00EFA	73755058
D00EFD	
D00EFO	
D00EFT	21236
D00EGN	
D00EGU	
D00EGV	
D00EHP	22200891
D00EHX	
D00EIB	
D00EIL	6419747
D00EJP	
D00EJS	16054
D00EKM	
D00EMB	
D00EMF	3644637
D00EMH	56597775
D00EML	
D00ENC	5363658
D00ENR	10779243
D00ENU	
D00ENY	33032
D00EOD	44409502
D00EOP	9953271
D00EPB	
D00EPD	9921581
D00EPL	146222
D00EPM	73755217
D00EPS	449051
D00EPT	148189
D00EQD	
D00EQL	66558664
D00EQY	
D00ERI	
D00ERV	1234
D00ERW	44444843
D00ESG	22418783
D00ESH	
D00ETS	3608
D00EUD	43565977
D00EUE	115015
D00EUL	
D00EVC	10197851
D00EVP	46902081
D00EWP	44568336
D00EWR	160024
D00EXZ	
D00EYC	
D00EYF	
D00EYY	45263291
D00EZE	3047810
D00EZO	10176607
D00FAE	44316621
D00FAL	
D00FAW	3661836
D00FAY	13007806
D00FBC	
D00FBM	
D00FCF	44243425
D00FCJ	24901626
D00FCW	
D00FDD	
D00FDS	29293603
D00FEA	9547976
D00FEH	52945557
D00FEY	
D00FGA	73737
D00FGB	11414131
D00FGO	460612
D00FGR	3599
D00FGV	2564
D00FGW	
