DrugName	CID
Opium derivatives and expectorants	
Paracetamol, combinations excl. Psycholeptics (Vicks MediNait Sirup)	
Parathyroid Hormones And Analogues	
Vitamin B-complex with vitamin C	
abacavir	441300
abemaciclib	46220502
acenocoumarol	54676537
acetaminophen / caffeine / dihydrocodeine	56841818
acetaminophen / codeine	
acetaminophen; acetaminophen / tramadol	
acetaminophen; tramadol	
afatinib	10184653
afutuzumab	
alectinib	49806720
alglucosidase alfa	
alirocumab	
aliskiren	5493444
allopurinol	135401907
alpelisib	56649450
amifampridine	5918
amifampridine phosphate	9920716
amitriptyline	2160
amlodipine / atorvastatin / perindopril arginine	
amoxapine	2170
amphetamine	3007
anakinra	
anastrozole	2187
antithrombotic agents	
arformoterol	3083544
aripiprazole	60795
aripiprazole lauroxil	49831411
arsenic trioxide	14888
articaine / epinephrine	56841664
aspirin	2244
atazanavir	148192
atezolizumab	
atomoxetine	54841
atorvastatin	60823
avapritinib	118023034
avatrombopag	9852519
avelumab	
axitinib	6450551
azathioprine	2265
belimumab	
belinostat	6918638
binimetinib	10288191
bisoprolol fumarate / perindopril arginine	
blinatumomab	
boceprevir	10324367
bosutinib	5328940
brentuximab vedotin	
brexpiprazole	11978813
brigatinib	68165256
brivaracetam	9837243
bupivacaine	2474
bupropion	444
busulfan	2478
cabazitaxel	9854073
cabozantinib	25102847
capecitabine	60953
capmatinib	25145656
carbamazepine	2554
carbasalate calcium	21975
carbasalate calcium	46783786
carbasalate calcium	23618458
carbasalate calcium	70377524
carglumic acid	121396
cariprazine	11154555
carisoprodol	2576
carvedilol	2585
casimersen	
ceftriaxone	5479530
ceftriaxone	9570985
ceftriaxone	23679441
ceftriaxone	46173365
celecoxib	2662
cemiplimab-rwlc	
ceritinib	57379345
cerliponase alfa	
cetuximab	
cevimeline	83898
cevimeline	2684
cevimeline	25137844
cevimeline	18642481
cevimeline	132935795
chloroprocaine	8612
chloroquine	2719
chlorpropamide	2727
cholic acid	221493
ciprofloxacin	2764
cisplatin	5702198
citalopram	2771
clobazam	2789
clomipramine	2801
clopidogrel	60606
clozapine	135398737
cobimetinib	16222096
codeine	5284371
crizanlizumab-tmca	
crizotinib	11626560
dabrafenib	44462760
daclatasvir	25154714
dacomitinib	11511120
dapoxetine	71353
dapsone	2955
darifenacin	444031
darunavir	213039
dasabuvir	56640146
dasabuvir / ombitasvir / paritaprevir / ritonavir	86291595
dasatinib	3062316
denileukin diftitox	
desflurane	42113
desipramine	2995
desloratadine	124087
desvenlafaxine	125017
deutetrabenazine	73437646
deutetrabenazine	73442840
deutetrabenazine	45255840
dexlansoprazole	9578005
dextromethorphan	5360696
dextromethorphan / quinidine	71300601
diazepam	3016
dinutuximab	
divalproex sodium	23663956
docetaxel	148124
dolutegravir	54726191
dolutegravir / abacavir / lamivudine	
donepezil	3152
dostarlimab-gxly	
dotatate lutenium lu-177	76966897
dotatate lutenium lu-177	71587735
doxepin	667477
doxepin	3158
doxepin	667468
dronabinol	16078
dronedarone	208898
drospirenone / ethinyl estradiol	
duloxetine	60835
durvalumab	
duvelisib	50905713
eculizumab	
efavirenz	64139
efavirenz / emtricitabine / tenofovir disoproxil	9833525
elagolix	11250647
elbasvir / grazoprevir	91669168
eletriptan	77993
elexacaftor / tezacaftor / ivacaftor	
eliglustat	23652731
elosulfase alfa	
eltrombopag	135449332
emapalumab	
enasidenib	89683805
encorafenib	50922675
enflurane	3226
enfortumab vedotin	
entrectinib	25141092
erdafitinib	67462786
eribulin	11354606
erlotinib	176870
erythromycin ethylsuccinate / sulfisoxazole acetyl	56841553
escitalopram	146570
esomeprazole	9568614
esomeprazole	4594
esomeprazole	9579578
estradiol / progesterone	
eteplirsen	
ethinyl estradiol / norelgestromin	44151751
everolimus	6442177
evinacumab	
evolocumab	
exemestane	60198
ezetimibe / rosuvastatin	
ezetimibe / simvastatin	
fam-trastuzumab deruxtecan-nxki	
fampridine	1727
fenofibrate; simvastatin	
fesoterodine	6918558
flibanserin	6918248
flucloxacillin	21319
flucytosine	3366
fluorouracil	3385
fluorouracil / salicylic acid	
fluoxetine	3386
fluoxetine / olanzapine	
flurbiprofen	3394
flutamide	3397
fluvoxamine	5324346
formoterol	3410
formoterol	3083544
formoterol	3034756
fosamprenavir	131536
fosdenopterin	135463437
fosphenytoin	56339
fulvestrant	104741
galantamine	9651
gamma hydroxybutyric acid	10413
gefitinib	123631
gemtuzumab ozogamicin	
gilteritinib	49803313
givosiran	156323004
glibenclamide	3488
gliclazide	3475
glimepiride	3476
glimepiride; pioglitazone	
glipizide	3478
golodirsen	
goserelin	5311128
haloperidol	3559
homoharringtonine	285033
hydralazine / isosorbide dinitrate	9954530
hydroxychloroquine	3652
ibritumomab	92002593
ibrutinib	24821094
iloperidone	71360
imatinib	5291
imipramine	3696
indacaterol	6918554
indinavir	5362440
inebilizumab-cdon	
infigratinib	53235510
inotersen	
inotuzumab ozogamicin	
ipilimumab	
irinotecan	60838
isatuximab-irfc	
isoflurane	3763
isoniazid	3767
